page 2	社評太平洋形勢之邏輯發展
page 3	晉南我軍加緊掃蕩聞喜附近日受重創長江機動砲隊屢擊沉日艦
page 3	蘇日之間傳又起糾紛蘇機掃射日漁船日軍部機關報重唱反蘇
page 3	國聯同志會等團體歡宴緬記者訪華團該團定七日轉赴成都蓉記者協會去電歡迎
page 3	越南俘獲中發現日本軍官携有軍火及款項等物日輪載軍火往泰
page 3	越南志士向我呼籲加緊協助越南解放
page 3	日機二十三架昨分批襲昆明曾在市區東北投彈外國教堂亦被震毀
page 3	話說當今英格蘭之二並無出奇法寶科學在二次大戰中倫敦航信
page 3	近於諷刺傳德與日談判要求租讓日艦
page 3	馬步芳捐產興學值現金七千餘萬省府已派員接收
page 3	教育部派員視察粵桂高等教育張北海談本年教育設施
page 3	桂省將勉尚實初中頒發獎金二千餘元
page 3	英國援華會賣物籌款共獲二百四十鎊
page 3	滬盜匪橫行兩菜館被劫
page 3	自由法國在滬設機負責宣傳籌款 欵
page 3	滬申報館附近發現三手榴彈
page 3	本多赴平若杉同行
page 3	浙糧食管理在積極改進中縣境內仍准自由流通以鹽易米辦法亦商定
page 3	中美平準基金協定美財部宣布將簽字美國會注視遠東問題
page 3	我大批藝術品續運蘇展覽此次展覽會大受歡迎年來參觀者逾十萬人
page 3	浙閩口岸日方仍加嚴封鎖
page 4	巴爾幹震盪中土國加緊戒備傳義將向土提抗議指土援英破壞中立
page 4	傳德向法要求接管通義鐵路圖加強對義軍事運輸
page 4	阿境義軍反攻失利阿游擊隊乘機活躍
page 4	希艦擊沉義運輸船
page 4	美陸長宣佈售英軍火數字十二個月內約二千萬元
page 4	英國空軍再炸德海港工業區化作火海德機襲倫敦西區
page 4	南京行
page 4	希義飛機發生空戰
page 4	北非巴第亞區英義激戰展開英海陸空軍配合作戰義軍防線被突破九哩
page 4	美國議員敦促充實國防眾院海委會主席文生交調查建艦工程狀況
page 4	印人捐款助英購機
page 4	柔佛蘇丹新婚從英歸國相信英必勝利
page 4	藍格爾將任芬總理以繼李第之職
page 4	猶太人到處遭白眼智利拒絕入境
page 4	北平日軍逞兇案談判決裂日軍毫不悔過
page 4	美議會一般空氣贊成加緊援英惟反對由總統全權辦理
page 4	老希開日本玩
page 4	美陸部擬實施永久募兵制已漸獲國會贊助
page 4	美駐義大使啟程返任
page 4	中國與澳洲互換使節將有實現可能
page 5	廣東省財政概況去年收不敷支發行公債彌補今後開源節流可望渡過難關
page 5	元旦在桂林
page 5	江會日軍蠢動圖犯大小澤被擊退
page 5	中振會在韶辦理貸款優待出征軍人家屬貨款金額分為三項
page 5	連縣紙廠積極擴充日可出紙四十餘擔
page 5	澳門警所破獲殺妻碎屍慘案生活困難妻子又有外遇李興貧羞交迫觸動殺機
page 5	中山日軍強收民穀數達三千萬擔
page 5	桂林簡訊
page 6	學振會籌備慈善遊藝換物會為救濟傷難等工作籌款羅旭龢任大會名譽會長
page 6	歐戰影響糖薑輸出大減英美澳洲各地吸收俱減幸成本廉商人仍能獲利
page 6	灣仔駱克道七匪行劫未遂女童狂呼印人代鳴警笛事後先後拘獲疑犯七人
page 6	商會圖書館發表閱書人數統計全年共十四萬九千餘人未能打破前年最高紀錄
page 6	保送桂軍校回教學生電告平安抵步
page 6	本港之銀行業
page 6	聯美擴充馬新線日內即可開航啟德機場空運情形良好較歐戰前業務更見增加
page 6	娛樂消息
page 6	港九各區將增設廣播機酌量廣播各種常識講演卜公園播音筒成績頗佳
page 6	麗池溜冰賽昨日比賽完畢
page 7	洋水兵士氣可畏星島又遭敗績開戰時海軍四健將將缺陣二比一李比芝奠定勝局
page 7	光華二次奏捷三比二勝蘇軍
page 7	今日學籃
page 7	滬中美籃球義演美蟬聯錦標三十五比三十二相差僅三分上半時中華佔先
page 7	公開女子籃球戰南商上陣鬥星島
page 7	青年團粵支團體育競賽各項成績優良
