page 2	走上立國的坦途
page 3	邱吉爾氏正式宣佈英蘇兩國結成同盟兩國軍事談話已告一段落蘇聯代表團離英返莫斯科
page 3	德軍攻勢顯又受挫步兵一聯隊全部被殲
page 3	歡迎拉第摩先生
page 3	柏林信口宣傳竟謂已佔基輔
page 3	白俄擁護蘇聯團結對德抗戰前帝俄代表發表談話呼籲俄人驅敵軍出境
page 3	戈林已入集中管
page 3	挪人對德復仇傳德軍多食魚中毒
page 3	紀念法國國慶英相致函高爾盛稱法蘭西之靈魂不滅高爾同時發表激昂演說
page 3	蔣委長政治顧問拉第摩氏昨抵港
page 4	美國政府重要表示戰略前線在太平洋要求國會撥款增防根據地
page 4	美內長伊克斯痛斥林白謬論徒予希特勒以鼓勵動搖美國同胞意志
page 4	美海軍部堅持關島必須設防
page 4	美政府暫時放棄派兵至西半球外
page 4	墨禁軍用原料輸往西半球外
page 4	魏德曼將赴上海活動英僑極為注意
page 4	美民眾呼籲速對日禁油
page 4	英機繼續出動轟炸德護航隊海岸防空隊擊落德機
page 4	承認軍事的佔領不承認政治事實維希就範後如此聲明
page 4	敘利亞問題告一結束休戰協定簽字敘伊間沙漠交通恢復
page 4	英商務參贊否認租借品運往南美
page 4	義代辦離渝昨飛桂轉越
page 4	顧孟餘任中大校長行政院會議昨通過
page 4	盧祺新對全美播講稱道中美傳統友誼
page 4	大後方工業奠定基礎日用必需品自給自足漸可不再仰仗舶來品桐油輸出占首位
page 4	阿部導演傀儡戲褚逆居然鼓掌領會
page 4	日注意英蘇協定內閣開重要會議近衛於會後赴葉山謁日皇
page 4	粵東我繼續掃蕩贛北恢復原態勢
page 4	英蘇同盟宣布
page 4	蘇日之幕
page 4	拉第摩氏談話
page 4	粵臨參會閉幕選梁乃賢等為駐會委員
page 4	閩建設廳長陸桂祥視事前任廳長包可永任經建會秘書長
page 4	板垣離滬返日岡村抵達北平
page 5	徐筱蘭認女案童月娟勝訴判決書業已送達兩造一幕趣劇遂告一段落
page 5	私種罌粟判處死刑
page 5	國粹與國學二
page 5	桂士敏土廠全部機器裝置中明年初即可出貨
page 5	我國前駐菲總領王麟閣失蹤經過經偵察結果仍不明真相查驗遺物亦無疑難佐證
page 5	澳門霍亂症再度蔓延當局施行強迫注射
page 5	西江四邑加強防務我各部軍團劃防已竣事
page 5	粵省早造收割各地情形甚良好計劃大量推廣優良稻種省營工廠出品日見增加
page 5	金毓黻演講歷史之謎縱論歷史上的外患與中國
page 5	遂溪廣州灣各界熱烈紀念七七僑胞演劇舞獅籌款捐糧
page 5	遂溪取締旅店增租
page 5	桂省淘金產量甚豐擬於本年底以前籌務兩模範場
page 5	中學生轉學應注意事項
page 5	募債與獻機桂省積極發動
page 5	高雷各屬糧食充足新穀已陸續登場米價有轉低希望
page 5	湘桂鐵路貨車出軌
page 6	海外部長劉維熾昨暢談海外僑政此來宣慰僑胞轉達政府意見昨發表告海外僑胞書
page 6	穀米專員巴利談米價難望減低政府所售米石均屬虧本港存米石尚多來源不絕
page 6	魏道明週內離港經美飛法赴任竭力保持兩國友好關係努力救濟歐陸上我僑胞
page 6	竇學謙女士由美返國談歐美人士援華情形
page 6	燈火管制特准輪船起卸貨物
page 6	蘇商輪決撤銷港蘇間新航線各輪將改航菲澳地兩在港所載貨物已卸下
page 6	市政衛生局昨日會議修改酒樓食物館附則
page 6	港食監貯存已達二百萬磅當局計劃貯五百萬磅
page 6	貧民對典押業深感重利盤剝盼望當局修訂押當法例生活程度高漲押業繁榮
page 6	我經濟專家冀朝鼎返港
page 6	賑聯會促各團體繳交花款
page 6	一元獻機運動即將開始
page 6	華商會募債第二日逾十四萬
page 6	華商總會進行改選董仲偉與冼秉熹作主席競選二十日初選廿二日複選
page 6	人民入境事務局嚴限澳門來客因近日由澳來港者過多請領入境證先呈港核准
page 7	中西游泳慈善賽決定廿六舉行如環境不許將另開會討論展期西代表產生女子實力強
page 7	港啤棒球隊決退出聯賽
page 7	體育記者聯誼會對協會事件斡旋經過的觀感
page 7	美路杯賽文協贏居聯
page 7	夏令籃球賽團結勝仗
page 7	南華屢戰屢北岷甸奴又奏捷
page 7	湘教廳注重體育
page 7	公開渡海泳即日開始報名
page 7	東方體育會響應募債
page 7	星中華隊稱雄大勝曼徹斯隊
page 7	外匯牌價申匯略縮英匯美匯市況均靜
page 7	股票市況靜穩賣戶多欲拋出價格略趨下游昨日成交總值四萬餘元
