page 2	如何紀念婦女節
page 3	日軍冒險深入中山企圖四面圍攻石岐我軍民分路截擊各線起激戰
page 3	定十日出殯厝東華義莊
page 3	中樞各當局紛電唁家屬
page 3	七國立大學學院通電討汪海內外各團體續電聲討
page 3	蕪湖外僑商業無法立足日商洋行林立
page 3	蔣夫人舉辦文學獎金
page 3	滬市中外聞人提倡中國藝術組織委員會舉行展覽鼓勵美國人鑑賞興趣
page 3	北平大火焚去店舖五十家
page 3	派遣川籍學生出國留學案參議會已通過名額定十五人
page 3	無煙煤發動機桂廠仿製成功定於今日公開試驗
page 3	昆明桃源鄉發現煤礦滇建廳派員查勘
page 3	東北紡織廠籌備就緒即可開工開始登記東北難胞
page 3	蘇聯工程師首批抵蘭州將助我發展重工業
page 3	滬槍殺案施連甫被人擊斃
page 3	林主席電唁呂志伊家屬
page 3	物資恐慌已極日本想開倒車時局同志會向眾院提議恢復上古生活藉省電力
page 3	天津各河水漲有再遭水災之虞
page 3	中央人事行政會議通過提案三十三件
page 3	入殮時情形儀式極隆重
page 3	蔡元培遺體昨日入殮吳鐵城代表蔣總裁致祭中央決定褒揚辦法
page 4	英外交當局再聲明遠東政策不變注意淪陷區英利益津存銀問題未決定英報謂決不寬恕日侵略行為
page 4	西線德軍屢犯英軍陣地亞爾薩斯發生砲戰
page 4	大批蘇軍越過維堡灣盛傳芬德蘇瑞代表進行初步和平會議
page 4	斡旋之聲各地盛傳
page 4	英工黨與和戰問題二
page 4	瑞典外部未予證實
page 4	英扣留義輪事件義採慎重態度各報僅載事實不批評英方致義覆牒即送出
page 4	塞林加事件不久可解決該輪載有鎢鑛後被截解香港
page 4	世界最大郵船伊麗莎白皇后號不聲不響落成下水開到紐約以避戰氛
page 4	陳光甫抵美京商貸款事
page 4	法義商約簽字
page 4	日眾院通過開除齊藤案民政黨院內職員多人同情齊藤將連袂辭職
page 4	伯特勒的聲明
page 4	日議員的奇想
page 4	法戰鬥盤竣工火力威猛設備簇新
page 4	英國思想界之軒波下英國通信
page 4	蘇著名經濟學家論日將崩潰經濟情勢日形悲觀社會政治將有變化
page 4	海防法當局截留日輪郵件大部係寄往德國者
page 4	韋爾斯抵巴黎達拉第將設讌款待傳談話題材至廣泛
page 5	石岐外圍展開劇戰日軍三路犯三鄉我英勇迎擊屢挫凶鋒橫門金鐘亦發生戰事
page 5	三九兩區亦遭騷擾前山日軍構築工事
page 5	粵綏署十二集團撫恤傷亡將士分令各縣迅為呈繳核卹將設撫卹委會專責辦理
page 5	撫卹暫行辦法綱要
page 5	新女性在廣東
page 5	我反攻新街衝入松埔痛創日軍廣從交通被我控制
page 5	粵奉令實施航空教育增加學生航空知識鍛鍊培養未來空軍
page 5	西康日記六九第四編康定及其附近西康風俗概述
page 6	本港婦女界今晨紀念三八節假加路連山南華場開會重慶電台廣播特別節目
page 6	英商船部長宣傳擴大徵用商船為促進作戰效果所必需英國及殖民地船均徵用
page 6	美髮業工會發動一仙運動月 
page 6	澳門禁糧食出口本港無鮮魚應市菜蔬亦無來貨市價已漲因中山戰事貨運均斷絕
page 6	中國新開學院第二屆新生揭曉正取六十名備取十三名十日前報到十一日開課
page 6	港粵振濟會救濟中山縣難民
page 6	木蘭從軍新華駐港代表談在渝被焚事件卜萬蒼公開答復馬彥祥重慶方面電滬詳加調查 
page 6	港九住客聯合會減租運動設計委會成立昨舉行首次會議決多案將向最高當局請願減租
page 6	遺產稅官布告呈報遺產須知商店銀行等之東主司理病故所占股份利益須報遺產稅署
page 6	復旦同學會舉行春季大會
page 6	酒樓職工大眾互助社響應春禮勞軍
page 6	蘇俄豔使皇后平安今日起映
page 6	英帝航機多拉多號失事乘客兩人及郵件均無恙港公司派機赴出事地點
page 6	規定收市時間
page 6	先施公司贈飲克寧乳粉
page 6	立法局昨日會議接受漁業研究基金八千鎊戰稅用途分配有三項大綱
page 6	漁業研究基金
page 6	戰稅用途規定
page 7	體協會執委議決五月中旬改選接納菲中女子籃球隊來港撥款二百元賑濟粵北難民
page 7	馬尼拉派隊來港打籃球
page 7	讀者的呼聲網球小事耳何因小而失大
page 7	下屆職員改選 
page 7	其他事項
page 7	馮二叔脚出毛病
page 7	督憲杯第二戰西聯人選產生緊急小組會昨午開會議米靈頓何有基被罰停賽
page 7	我網球名手許承基由歐返抵星洲
page 7	南華籃球隊赴澳戰培正
page 7	美菲荷匯牌價回漲申匯市況仍乏生氣
page 7	股票轉趨下游成交僅十二萬元
page 7	銀聯小球賽週末秩序公佈
page 7	南華會定期旅行大元嶺
page 7	籃球聯會今夜開代表會 
page 7	溫故知新錄華人足球誕生史
