page 2	社評不可忽視的巴爾幹現勢
page 3	晉東南我軍大勝利收復長治包圍晉城Ｘ軍根據盡失大部向北潰退豫南亦報捷我軍切斷平漢線攻克明港續向長台關猛進中
page 3	渝市疊遭空襲各使領館全被波及桂林被炸發生大火
page 3	華北淪陷區骨反英暴動擴大天津英商洋行被搗毀開封美僑亦被迫離境
page 3	中國復興搖籃之一雲南之人力與物力三恩源寄自昆明
page 3	汕Ｘ拘捕壯丁潮安民眾亦多逃避
page 3	薛岳封翁在粵北逝世
page 3	戰地佳話上佐軍自沙市寄
page 3	冀中成澤國Ｘ人竟乘機掘堤決水遍地洪流數十縣被災
page 3	粵幹訓團第三期已結業
page 3	滬文匯報復刊尚有問題
page 3	中行在渝設辦事處
page 3	滬西暴徒出沒義兵日前又拘捕一人
page 3	江南游擊隊活躍滬郊時有斷續槍聲
page 4	英日對治安問題決定成立妥協經濟問題傳明日續商法聲明與英態度一致
page 4	大島白鳥在義正興高彩烈對加盟問題竟妄發聲明柏林方面態度頗為冷淡
page 4	日本新物動計劃一純青
page 4	美國輸日原料統計
page 4	荷蘭女儲君弄瓦之喜
page 4	美財長赴歐英當局邀赴倫敦一行商討兩國間經濟問題
page 4	英法代表團昨啓程赴蘇政治談判大致完成史德隆定本週返英
page 4	美蘇同意延長商約一年美對蘇將減低關稅
page 4	但澤邊界如開放波決不坐視將向但澤參議會提警告
page 4	英國定造大批軍艦
page 4	沙赫特由印返德交無表情希特勒晤談
page 4	英艦隊司令飛抵土國與土軍事當局會晤
page 4	倫敦爆炸案愈演愈烈大樓一座竟被震倒
page 4	周鍾嶽返渝
page 4	日政治崩潰
page 4	冀中大水災
page 5	江會Ｘ改守攻日夜發砲亂轟我游擊活躍屢予重創
page 5	渝市郊外市場積極營建中康心如談重慶市政建設救護與疏散為當務之急
page 5	桂學生軍招收新生擴大組織
page 5	圖犯三埠計劃失敗
page 5	中山四區難民返鄉
page 5	觸沉Ｘ艦在打撈中
page 5	日軍在津阻撓外輪
page 5	外僑視察浙贛粵桂沿途印象良佳交通便利民眾愛國情緒高漲
page 5	定海縣淪陷後滿目淒涼進出貨物皆被壟斷舟山海島盡遭搜索
page 5	貸款救濟粵省農村決分三部進行
page 6	國立院校招考新生座位編定明日考試聘鄭洪年等為監考委員屆時不考學生不准補考
page 6	八一三献金戶內設獻金台商會主席談當局已允准小販義賣希望維持秩序
page 6	港英籍僑民藉故規避兵役當局特發警告將予起訴多投入義勇軍以求免役
page 6	今日教育界追悼何劍吳假孔聖堂舉行
page 6	外地刊物入口港府將嚴予限制領證手續華民司將公佈外報要目招紙須受檢查
page 6	輔政司那魯麟銷假返港視事
page 6	學生賑濟會定期演劇籌欵
page 6	古廟戰笳聲皇后平安聯同公映
page 6	財政評論特價本月底截止
page 7	昨天棒球壓軸戲中華出兵戰西洋清早十時在嘉山海軍球場昨日南華十比三勝香港會
page 7	海防足球聯隊九月興兵犯港曾培福來商討比賽秩序東方會八一三舉辦義賽
page 7	南遊日記
page 7	尖事記
page 7	全港單車義賽預賽成績
page 7	中華體育協進會昨開執委會議擬定十月初旬開運動會推惠堂為出席總會代表
page 7	夏令籃球戰今天兩場勵行昨克仿中
page 7	佛靈頓網球姬絲湯瑪慘敗
page 7	外匯牌價仍不動申匯初穩後淡英美匯市況趨緊
page 7	過去一週間股票市況靜寂各股票價均有稀微傾跌
page 7	英金不動英銀回漲
page 7	八九金市略形堅穩
