page 1	社評香港工業能夠發展嗎
page 2	舉國烽煙滬濱盛會第七屆全運會今天開幕數千健兒來自中國每一角落江南觀眾湧到上海爭看表演
page 2	蔣主席勉運動員求德智體三育健全發展使全民族心志親切交流
page 2	爭民主要科學各地學生紀念五四南京學生開大會發宣言上海廣州都安靜的度過
page 2	國行董事長宋漢章繼任
page 2	科學的民主與民主的科學中國最需要民主和科學下
page 2	胡適談五四
page 2	立委繼續報到會議可望於八日召開
page 2	國民黨籍國代昨天檢討黨務吳鐵城表示辭秘書長職
page 2	東北流通券比值已確定總統就職日起施行
page 2	黃旭初今天返桂粵桂聯防有了具體計劃黃氏說廣西將實施土地改革
page 2	賀總統當選王懋功獻魚
page 2	洪蘭友累病了最近將請假休養
page 2	修復資興煤礦鐵路粵漢路局奉命辦理
page 2	憲政協進會開會程潛當選理事長
page 2	豫陝鄂邊境告緊共軍分路攻宛西鎮平內鄉西峽口激戰
page 2	何酷愛法西斯乃爾兩個洋小孩抵滬名叫希特勒與墨索里尼他們來自菲島去西班牙
page 2	中美交換公布後政院準備迎接美援決定成立美援運用委會布列特貝祖詒昨自上海赴京
page 2	國父一紙舊手令台人送還宋子文
page 2	紡建公司出售事仍在公文旅行中滬民營紡織廠不感興趣後方紡織業頗有意於此
page 2	巨奸董康死了
page 2	發展長江航運招商局等組聯營處
page 3	聯合國對聖地尚無決策英建議設臨時中立政權英軍開赴耶路撒冷傳已入城
page 3	英兩黨拉賞員工各發動徵求新黨員運動大家自標都是一百萬人
page 3	英暫緩清共克里浦斯宣布
page 3	史巴茲抵倫敦商談與西歐聯防問題
page 3	英官方聽到傳說蘇聯想兼併羅國
page 3	印度新總督巴氏將就任蒙巴頓卸職後即返英
page 3	為出口貨做廣告英倫工業展開幕分在倫敦及伯明翰舉行
page 3	巴黎博覽會揭幕參加單位幾近一萬個觀眾第一日有五萬人
page 3	援歐副執行人杜魯門任命柏魯斯擔任
page 3	比總理要辭職因教育政策被他的黨反對
page 3	多少新夫婦無住處何獨為公主修大屋英議員紛紛抨擊政府當局花五萬鎊修拉克倫斯大廈
page 3	蘇發行公債二百億盧布
page 3	暹羅七議員替宇素說情請緬甸政府免他一死
page 3	被封鎖了好久的消息美在日建空軍基地數千日人在一年前已開工內有長八千五百呎的跑道
page 3	冷戰變本加厲美軍運赴阿拉斯加道經加拿大行蹤極秘密
page 3	哥倫比亞與蘇絕交
page 3	為吸引外資日擬立法穩定經濟盟總開放日與國外生棉貿易
page 3	英工黨外交政策將導致三次大戰齊里亞克斯呼籲改變路線
page 3	美徵兵案過第一關眾院軍委會已通過海陸空軍將增加七十萬
page 3	念念不忘王位保大決與法方合作派代表赴西貢協助組政府
page 3	越人五一集會法機慘予轟炸炸死了三百人
page 3	蘆田標榜中間路線說要避免惹起盟國猜疑
page 4	青山附近海盜盤踞數百軍警嚴密包圍當局將於今日派機偵察
page 4	本港兩個文藝團體昨日分別紀念五四
page 4	十八個僑校舉行水上比賽麗池花園充滿活潑天真氣氛
page 4	廣州通信轟動羊城的倒閉案新長沙公司分公司借錢投機虧欠港幣六十萬元因而關門債權人譁然金融當局調查中
page 4	麗花中青學池園的年生
page 4	游泳池旁的觀眾
page 4	港政府函覆慶祝大會慶祝程序可以保留公眾假日不能改期參加遊行汽車已有五十輛
page 4	健康優勝女孩拒絕拍攝影片她已進了培真幼稚園
page 4	九廣鐵路將恢復行車速率
page 4	續審的士司機被殺案證人作供答非所問被告律師說他做夢主控同意放棄此證人
page 4	廠商會電南洋各僑團請共團有效對策以抑制還是今天廠商會理事會明日召開
page 4	穀米統制局局長易人
page 4	勞工處昨發表食糧烯料價格
page 4	南洋紗廠工潮談判未成協議
page 4	七百五十輛三輪車將在六個月內淘汰二百輛摩托三輪車代替行駛
page 4	自來水洗街道當局有所說明
page 4	呼籲捐款促成托兒所周　年的廣播詞本月八日賣花請大家慷慨解囊
page 4	青山道船廠已開始拆遷
page 4	英空軍兩中士過香港犯法禁
page 4	利刀砍婦人兇手未捉住
page 4	兩法案審訊因公假改期
page 4	偷運水銀是一等私梟
page 4	西人姦華婦案證據不足撤銷
page 4	營業不景氣水客圖自殺
page 5	靜極待變的趨勢下滬金融市場又動波黃金直叩五千萬關美鈔突破九十萬元
page 5	香港申匯直線狂降省匯跌勢比較和緩申匯最低成五九五元省匯最低成六五○元
page 5	美匯叩百萬關牌價落後甚多滬出口商呼籲改善
page 5	金市穩美匯落黃金交收一萬三千兩美匯低至五七一元
page 5	中國罐頭食品輸美注意要點製造家金山庄留心改良
page 5	外電佳音金市畧進
page 5	金市休假銀號照常
page 5	國際貨幣基金報告承認通貨貶值有助於貿易的增進
page 5	台幣匯率又告調整一比二六八元
page 5	曇花一現的越米運港問題次米米碎價高無化算
page 5	國貸玻璃價高難與日貨競爭據津耀華公司經理來港說
page 5	比國玻璃價亦下跌
page 5	大中華輪轉租他人
page 5	豬鬃出口結匯辦法業經決定照國內外市價擬定
page 5	美貨領證出口首批物品詳單
page 5	南京黃金價格暴升
page 5	財經兩部令銀樓業速補辦手續
page 6	全運大會溯本追源
page 6	全運競賽節目今天開始看各地健兒表演好身手十二載荒蕪會場披上新裝六十天時間籌備規模堂皇
page 6	中國奧林匹克村混集一堂難為未婚男女新疆選手吃掉兩隻綿羊海外華僑起居惹人羡慕
page 6	我世運足球隊在菲勝選手隊經過
page 6	長跑隊經無錫抵太倉歡呼聲中穿城而過氣候惡劣昨延遲一小時出發
page 6	聯勤總部王士林曾出席世運三級跳為一四三六公尺圖為王士林奧聯勤總俱隊施邦瑞合影
page 6	花花絮絮香港女選手豐姿嫵媚劉帝惹人愛戴熱帶兒女泰半傷風
page 6	今年是體育年由全運世運說到其他
page 6	世運隊在菲球員受傷容啟兆電港求援馮景祥並無表示
page 6	南華足球隊今天可返港
page 6	乙組籃球賽今天三場
page 7	鐵道運輸部移衡陽負責維持粵漢等路治安
