page 2	論鄂中戰事
page 3	襄河兩岸戰況愈劇隨縣日軍已被擊敗荊門當陽間日攻勢亦大挫
page 3	維希政府重申決心
page 3	鄂北鄂中形勢圖
page 3	日汪所謂撤兵就是駐兵
page 3	日本宣傳荷印反日
page 3	美工聯會抵制日貨
page 3	荷印煤油問題英眾院提出質問
page 3	中航公司追悼殉難人員
page 3	上海米價飛漲華捕醞釀罷工當局已允酌加薪資
page 3	滇積極興辦農村水利四行及農本局決貸一千萬元
page 3	日汪又放煙幕我決置之不理所謂撤兵完全欺人之談
page 3	滇銀錫輸出逾千萬元
page 3	中和堂肅清敗類開除李紀堂等會籍
page 3	日機又窺滇 
page 3	中國如有困難美決竭力援助瓊斯談對華貸款辦法正以友善態度考慮中
page 3	美英進一步合作日本極惶慮澳外交部長表示英澳注視日動向
page 3	蘇日之間一一個蘇聯外交家的觀察
page 3	泰法又起衝突雙方空軍傳開始互炸泰統帥部聲言將報復海防河內一帶日軍運頻繁
page 4	希軍全線推進義總參謀長抵第蘭那收拾殘餘作反攻準備義海軍不敢與英艦隊交鋒
page 4	擴充海軍根據地美積極進行總統已批准五千萬美元諾克斯下月將出發視察
page 4	財政援英問題美國展緩討論議會下屆會議將予提出
page 4	蘇對英美外交近又稍見活動蘇對巴爾幹仍表示關切
page 4	英政府決定再召勞工為海陸空軍服役
page 4	前越南總督加特羅新職
page 4	德所提和平條件法國拒絕之內幕德否認拉佛爾將赴德
page 4	亡國之民巴黎學生五百人被拘荷蘭人生活日漸困苦
page 4	德艦在印度洋擊沉英國商輪
page 4	英政府注視坦吉爾之地位訓令賀爾維護英國權益
page 4	又一奉命呼籲
page 4	神秘推進
page 4	蘇外長訪德結果傳商定五項要點
page 4	由上海游資充斥說到銀行存款減息二
page 4	羅鐵衛軍橫行有引起政潮可能陸軍全體將領憤向總理辭職西馬勸鐵衛軍務宜遵守紀律
page 5	翁文灝部長談中央獎勵華僑投資將設指導機關組織法已呈核黔省工業建設進步物價平定
page 5	粵下年度施政計劃各方討論實際問題省府將其綱目編入
page 5	徐學禹抵港談閩省經濟建設歡迎僑胞返省服務
page 5	湘潭各界獻旗致敬指揮若定旗獻薛岳
page 5	警校畢業生回粵服務四十一人抵韶
page 5	陳烈將軍遺體卜葬南嶽名山名將相得益彰
page 5	香翰屏派隊駐東江上游剿匪海豐海盜猖獗搶劫拖船私梟武裝走私運鎢出境
page 5	譚葆壽任戰區購糧會主委
page 5	桂林短簡
page 5	桂林長途電話通話時間規定
page 5	合浦各界慰問欽防
page 5	欽縣黨部勸民來歸
page 5	日機濫炸粵南大番坡等成廢墟日夜落彈逾四百枚欽防當局趕辦善後
page 5	欽縣各鄉哀鴻遍野
page 5	日軍潰退自相殘殺
page 6	移民統制法例立法局昨日通過華人代表原則贊同但表示遺憾居留證減為六元二元兩種
page 6	移民法例提出討論
page 6	移民局便利九龍方面居民派員駐油麻地警署
page 6	執行人員應有禮貌
page 6	候訊移民不得虐待
page 6	適應環境之一步驟
page 6	律政司繼提出保證
page 6	能自給者仍受歡迎
page 6	移民條例正式通過
page 6	本港華人代表昨招待星洲總督被邀作陪名流都百餘人
page 6	基督教學聯賣物會明日起舉行三天地點聖保羅書院
page 6	婦女會難民社出品展賣會改期下月中旬舉行
page 6	中青救護團慈善餐舞明晚假半島舉行
page 6	僑港漁民協會賣物會昨日開幕晚間舉行遊藝會情形熱鬧一連三日銷換物券八千元
page 6	證書費應盡量減低
page 6	合法移民應予便利
page 6	鯊魚涌視察記
page 6	澳頭壩岡無事
page 6	各地被炸情形
page 6	沿途交通無阻
page 7	三團體舉辦中西足球慈善賽定期下月舉行現已開始籌備菲島邀請港隊參加嘉年華會
page 7	週末足球前瞻第一循環賽結束聲中華隊三強提防出冷門
page 7	記者小球隊今日遴選征澳代表
page 7	學界籃球美爾頓勝仿林
page 7	小球友誼賽大公戰商務
page 7	港九校際乒乓競賽明日截止報名
page 7	港澳乒乓球籌振表演明日在九龍舉行
page 7	外匯牌價俱無變動美匯緊靜申匯略淡
page 7	股票略趨堅穩昨日成交五萬餘元
page 7	國幣價格略趨下游
page 7	足球評述東華輕取臘克斯二
page 7	光華陣容週末重用華將
