page 1	社評古老世界的遺留由南非大選說起
page 2	開徵財產稅案引起激辯立院熱列討論未獲結論有人主張社會財富應求平均有人認為此舉等於沒收財產
page 2	劉不同等提案要點財產稅起徵點三百億元超過三百億者累進徵收
page 2	立院激辯即景贊成反對唇槍舌劍要錢要命軒然大波
page 2	呼籲三黨合作吳鐵城陳布雷談話再請民青兩黨參加政府據說其他部門也要開放
page 2	評結匯新辦法上
page 2	萊普漢等抵京謁蔣總統並赴翁院長宴
page 2	上海募特捐情形很淒慘只收到吳國楨捐的五億
page 2	反對扶植日本中山大學昨舉行座談會指出美國助日復興用意安在大會決發宣言並電美方抗議
page 2	監院今選院長于右任昨報到準備當選 院長如選出午後選副院長
page 2	美援華麵粉首批即抵滬
page 2	抗戰司徒聲明燕大學生怒吼號召平各校總罷課教授也要開會表明態度
page 2	反對日貨傾銷穗商會勉強通電響應據說怕違背政府國策
page 2	原子物理學家錢三強夫婦歸國在滬小留即將去北平
page 2	台灣也有共黨警備部這樣說
page 2	劉峙鄧錫侯昨自滬抵京
page 2	四市夏季配布價格已經決定
page 2	津浦路國軍北上增援兗州外圍仍在混戰中
page 2	廣州水電又加價了燃料供銷委會壟斷台煤購運水電兩廠受限制不得不加價
page 2	麥唐納抵穗今晨飛港轉京
page 2	初夏石頭城白提包滿街飛舞傳染病與時俱來
page 2	福州大火燬房一千多間災民萬二千人
page 2	澳門警員開槍傷人
page 2	穗綏署秘書長許世璿昨視事
page 2	唐縱在穗頗忙要加強地方諜報組織
page 2	張肇元如是說中國應當改革幣制美國可以大舉贈銀
page 3	美扶值日本復興新計劃五實業巨子提具體建議內容廣泛處處為日人着想說工業化日本是戰略資本
page 3	日本雜感四
page 3	美削減援日款盧田說不要緊認為不妨礙吸收外資
page 3	復興日紡織業美將撥貸一億五千萬元麥帥已批准六千萬棉貸
page 3	日政府開源人民負擔重國庫收入百分卅靠捐稅
page 3	日保安所製造謠言企圖增強海上武裝竟說中國人走私猖獗
page 3	反對朝鮮分裂南韓民政長官辭職安在鴻將與金九等密切合作
page 3	暹政府正計劃恢復對日貿易
page 3	南韓到了不速之客日三要員捲土重來不肯透露負有甚麽任務
page 3	美削減援外款杜威等也反對
page 3	美外交近視馬歇爾說民族性使然
page 3	華萊士參加美總統競選
page 3	阿猶究竟願否停戰調解專員要求答覆向雙方發出有限期的通告
page 3	在翼社會黨人在波京開會議
page 3	德國分裂難挽回蘇將拒絕承認六國協議認為破壞以前種種協定
page 3	英大亨何故臥軌自殺美小兵流行登報徵婚
page 3	波拉特與華僑為敵限制集會自由並封報館禁止海外華僑協會活動
page 3	蘇聯提出建議派軍事觀察家
page 3	遠東經濟委會討論工業發展
page 3	集中營中猶人絕食抗議被囚
page 3	捷克總統辭職一封懇切的信
page 3	阿朗灣協定保大答應參加法聯邦
page 3	英廢止死刑案政府擬提折衷辦法
page 4	華商會改選昨開票投回票匭選票共一七二七張選舉的結果或暫時不會公布
page 4	本港慶祝英王壽辰明天將有一番熱鬧
page 4	內河貨運入淡月每天不過數十噸
page 4	華商會開票情形
page 4	台北市參會考察團到港
page 4	旺角街市昨發生兇案無牌肉販亂刀下便衣警探受重傷兇手於行兇後逃逸無蹤警署甚重視已下令徹查
page 4	華商會昨致函西商會商陷期債務法例問題請羅拔士在立法局提出將法例交檢定委會審查
page 4	東華三院新總理昨天選出廿三人新舊交接兩星期後舉行
page 4	三航空公司將有新組織
page 4	東華三院新總理
page 4	關於廣九車失火案穗方是否派人來偵查警務處方面尚無消息
page 4	工團登記即將開始
page 4	福建商會選理監事
page 4	中英邊界辦理牛隻登記
page 4	今年選美問題女人們有意見
page 4	勞工處昨公布糧食燃料價格
page 4	私寨事頭婆判入獄三月
page 4	新陸軍司令十三可抵港
page 4	牛頭村畔歹徒前晚偷鷄劫米
page 4	雨中火占美餐室光管昨晚走火燒壞
page 4	公文袋藏金一男子被拘
page 4	兩個砲兵被控偷竊
page 4	警察被搶
page 4	兩人圖劫盲公被判六年苦獄
page 4	無業英籍男子被控行使偽造書信准予交保出外候審
page 4	冒名騙貨蔡子光入獄
page 4	大人偷小孩東西坐牢後遞解出境
page 4	台北參會考察團今天離港去廣州
page 5	輸星馬棉織品我佔首位比美英港三處超過很多四月份輸入五○四萬碼共值八七○萬叻幣
page 5	申匯突破四元大關一日跌掉百分之十國幣內匯跌落易回升難新結匯辦法失敗四原因
page 5	穗市進出口業研討新結匯辦法提出了五點意見劃分使用區域增加輸入配額設立交易市場
page 5	配合新結匯辦法星洲銀行掛牌三分半一萬元民信局叻幣二分半
page 5	高方來港轉滬丁世祺今動身
page 5	紗管會主委袁良辭職業經照准
page 5	論結匯證明書使用辦法二
page 5	黃金美匯沉滯多空雙方按兵不動
page 5	金市平靜賣買均稀
page 5	國行運用貼放政策全力扶植生產事業俞鴻鈞盼銀錢業合作完成任務
page 5	暹米輸出數量激增五月來共三四萬噸
page 5	偽造證件五商行被告發取消資格輪管會華南分會昨決定並起恢復區辦事處業務
page 5	梧州一週經濟倒風頻仍市場紊亂銀根奇緊暗息狂升
page 5	上海米價漲結匯證價挺美鈔值一四五萬元
page 5	穗市銀樓補辦手續逾期勒令停業
page 5	滬穗米麵漲紗布穩汕頭米麵紗布齊昇南寧各貨起落不定
page 5	物價起波動退票增加多空頭本票出現金鈔商人送審
page 6	大雨滂沱球迷敗興港印籃球賽昨中止昨天進場的朋友請保留門票黑白籃球隊今天來港
page 6	公開籃球今有劇鬥
page 6	陸上游泳訓練機昨開始試用九龍商會編就講義歡迎會員加入訓練
page 6	圖為陸上游泳訓練機試用情形
page 6	穗全運獎品公開陳列
page 6	團體網球聯賽今天乙組六場昨天混合賽戰續
page 6	美人魚安寇蒂絲小姐
page 6	港馬埠際板球賽月恢復港隊十七日抵星洲比賽程序經已編定
page 6	廣州中上教育近貌上
page 6	中菲世運籃球隊可能在星洲會師
page 6	廈門大學招生辦法
page 6	印尼泳將表演成績未見超越吳傳玉百碼自由式未能打破香港紀錄
page 6	馬尼拉泳隊將來港比賽
page 6	優待世運代表中航訂三辦法
page 6	湖北師院校址無着
page 6	籃球點將獻議
page 7	韓江水漲沿岸戒備潮安菴埠曾崩堤一丈餘千餘人搶救形勢極緊張
page 7	龍空涵眼看成空二萬億工程費籌不出來
page 7	大開殺戒北平僧侶從軍
page 7	原子時代趣聞超薦中興輪死者水陸道場鬧了七個晝夜施放水燈從黑夜到天明
page 7	薪水全發濕柴何處可買東西開平公教人員苦矣
page 7	新會三江建築沙館被莫名其妙地圍攻打了一夜死四人傷一人是什麽人打的還不曉得
page 7	韓江護航已有決定
page 7	中國如此日女求去
page 7	假鳳虛凰在桂林理髮師要求處剪刑
page 7	不碰豪門富戶只向商人進攻北平救濟特捐引起慨憤
page 7	宿妓者無罪當娼的要罰
page 7	台北通信帶筆的人與帶槍的人台灣拾零之二
page 7	生五日寄廈門有巨蛇被送南普陀坐獨輪車有鞭炮送
page 7	閩粵邊區總部懸賞捉拿共軍
