page 2	社評美駐日大使演詞的重要性
page 3	美遠東政策強硬化赫爾發表重要聲明準備與滬工部局合作保僑
page 3	格魯大使演詞渝報極端重視
page 3	美國報紙輿論一致表示擁護
page 3	一週戰況十月十一日至十七日軍事委員會發表
page 3	上海公共租界增強滬西防務
page 3	日本外相野村發表對外政策
page 3	中日和平謠言全係日方捏造
page 3	湘北日軍潰竄記沿途狂奔遺棄槍械無算退軍命令係在事後補發
page 3	滬又發現漢奸報紙係偽組織投資
page 3	借讀學生業已分發完竣
page 3	顏福慶勞績政院傳令嘉獎
page 3	寓航空教育於體育本報呈獻滑翔機昨在成都試飛政府將大提倡
page 3	湘贛我軍繼續推進通城殘餘益見動搖
page 4	英法土締約後德國外交活躍召回駐蘇義土各使節義國審慎尚無表示
page 4	德人憤懣之餘圖恫嚇土國並極力注意蘇聯態度
page 4	鄂皖現勢
page 4	蘇芬談判將賡續舉行芬代表袖領赴莫斯科
page 4	近東回教國家將舉行會議討論對蘇聯應取態度
page 4	蘇土兩國關係暫時無變化土外長謂願繼續談判
page 4	由空戰中證明法機優於德機法機在量上雖不如人但戰鬥能力非德可及
page 4	西線德陣地被水淹雙方砲戰劇烈聯軍方面嚴陣以待
page 4	蘇立問題維爾諾交還立國蘇尚未依約覆行
page 4	教皇發起之精神反共協定西班牙表示願參加
page 4	義大利的態度
page 4	提倡滑翔機
page 4	美領海範圍富於伸縮性羅斯福總統發表談話謂須視所遭遇之對象而定
page 4	死人救活人由屍體輸血治病蘇聯醫界新成就
page 5	我軍夜襲三水兩路夾擊獲大勝花縣我軍亦克復西嶺江會市郊戰事仍激烈
page 5	總攻東寶軍事我部署就緒莞城日軍被襲受挫
page 5	番禺游擊隊截擊日輪俘獲日軍官陳台銘一名
page 5	青年與糧食潮汕目前兩個嚴重問題
page 5	省振會在嶺東籌設油布工廠資本十萬元現正積極進行中
page 5	粵省九月份縣自治費財廳撥六十萬元
page 5	瓊島捷報我克復文嶺龍發
page 5	轉移社會風氣剷除疲玩跡象
page 5	韶關近郊擊斃猛虎傷鄉人一名
page 5	蔣委長改進川政以三事諄勉同胞
page 5	應在興利之先刷新各級政治
page 5	誓必肅清烟毒還我川民健康
page 6	糧食統制專員統制十一種糧食米麵油茶牛乳及醃肉等外國食品准增價百分十
page 6	來源恐不繼
page 6	粵參議長員鼎新招待各僑校校長報告粵省戰時教育政策徵救港僑教育界之意見
page 6	市政衛生局後日開會擬建公廁七處
page 6	防空當局籌備白書防空演習日期未定約在九龍某區防空合格人員二十萬人
page 6	在港領護照須納手續費輔政司昨日公佈
page 6	秋季大馬票昨日揭曉首獎一四一三九零
page 6	父子不通財老翁傷子殺媳討欠款被毆竟持刀逞兇嗣向警署自首已被控案
page 6	鄧芬簡琴齋合組書畫社書畫皆可速成
page 6	每逢佳節倍思親重陽之盛況各處墳場掃祭男女極多扯旗山登高者肩摩踵接
page 6	霍芝庭靈柩昨晨出殯安葬軍政各界千餘人往執紼花圈百座中西印樂五隊
page 6	百新書店今天半價一天
page 7	今日嘉山龍虎會南華南大戰東方
page 7	後出師表
page 7	今天足球
page 7	雛鳳力戰蘇軍二比二成和局
page 7	洋兵米杜息大破警察結四比一
page 7	香港會二比三喪師九龍
page 7	昨夜籃球義演老爺發神威四二比四十娘子走麥城港聯隊打倒滬聯
page 7	中級拳王爭奪戰傑克鄧遜充任裁判
page 7	德權鼎小球今日有五場
page 7	外匯牌價俱無變動申匯市再略趨緊中交兩行拋出國幣四百萬元英美匯市況均乏生氣
page 7	股票市況穩靜買戶給價低廉賣家不允拋出半日成交共八萬元
