page 2	不崩裂不失敗
page 3	豫東日軍全部搖動隴海交通被我切斷開封我軍正聚殲城郊殘日豫南信陽附近激戰進行中
page 3	皖南砲兵施威擊沉日艦一艘
page 3	滬公共租界當局對日偽讓步我寄存之土地卷宗將全數移交偽市府
page 3	戰利品展覽贛團隊定期舉行 
page 3	滬各界將發起徵募寒衣紀念七七三週年
page 3	日本侵華三年國內窘態畢露
page 3	甘省銀行實行增加資本
page 3	甘參議會二次大會開幕
page 3	閩本年度農貸分配原則確定以建設為基礎以自給為目的
page 3	平津日偽報紙宣傳接收租界
page 3	穆逆時英案偽方竟提抗議向滬公共租界工部局要求四點
page 3	汪兆銘的無聊舉動發表一批偽通緝令
page 3	滬綁架案迭出歹土為萬惡淵藪
page 3	渝市舉辦小本貸款救濟空襲被炸難胞
page 3	中正大學籌備告一段落本年暑假招生
page 3	川省參議員任期屆滿省府擬呈請准予延長
page 3	贛發現銅礦
page 3	蘭市大檢閱學生軍童子軍參加精神技術均頗可觀
page 3	宋子文氏在美謁見羅斯福並將與赫爾等會晤
page 3	俞星槎等覆車殞命
page 3	川省當局防止旱災組督導團出發視察
page 3	皖省當局澄清吏治獎勵人民密告貪污
page 3	蘭州各界歡迎政務巡視團
page 3	江南的步哨
page 3	鄂中猛攻洋梓南昌外圍激戰
page 3	晋西日軍潰退我加緊殲滅中
page 4	德軍突佔兩島英倫海峽空氣轉緊德機襲英投燒夷彈
page 4	希臘以南海面發生海空戰事
page 4	美海軍部加緊建新艦訂立有史以來之最大合約數達四十五艘需款五萬萬
page 4	蘇羅遵守新定疆界
page 4	土傳蘇將提出建議
page 4	羅匈邊境局勢和緩 
page 4	日本野心畢露美態度極堅定利刃在握隨時可割斷日資源英迅速加強遠東防務
page 4	英報論日本之地位蘇美立場絕不改變
page 4	英國對華態度不變對美希望精神援助
page 4	高爾委出海空軍司令由繆賽里爾一人兼任 
page 4	魏剛赴聚利亞
page 4	莫洛托夫接見立外長
page 4	英首相報告尚未有定期
page 4	美財政復興局儲備戰時原料兩新公司宣布成立資本共達一千萬元
page 4	英殖民地捐款購機
page 4	柏林成立中國研究會名流踴躍參加
page 4	美將徵收超額利得稅
page 4	如此拘票 
page 4	羅馬尼亞之歧途
page 4	義國委出里比亞總督繼巴爾波之職
page 4	巴爾幹印象記下
page 4	羅馬尼亞放棄英國保證德國使節團抵羅活動羅京親德空氣極濃厚 
page 5	東路我軍續進控制深圳外圍線沙頭角日軍大部已撤退惠寶各地積極辦理善後
page 5	粵稅收激增五月來總收入額達一千五百餘萬
page 5	粵省澄清吏治獎勵舉發貪污無論何人均可據實密報省府訂定辦法公布施行
page 5	田賦稅
page 5	第四戰區經濟委會昨日在粵成立
page 5	澳洲限制國貨交涉圓滿解決多種貨物仍准自由進口關於中澳政策亦有改善
page 5	蘆苞方面走私稍戢當局嚴密檢查奸商漸見斂跡
page 5	軍委會政治部組巡迴督導團天水成都桂林各設一團桂林總團長梁寒操兼任
page 5	侵入白蕉日軍已被我包圍斗門各地防務鞏固 
page 5	離韶一瞥
page 5	粵省教育廳補助學生膳費已將原辦法修正頒行
page 5	南僑慰勞團抵桂情形向白副總長吃不開獻錦旗
page 5	財政金融人員高考定期舉行桂省開始籌備初試事宜
page 5	西康日記一一三
page 5	物產稅
page 5	管理費
page 5	營業稅
page 6	英王贊同委任諾爾頓主持港政刻在印度即將來港視來軍人主港政者廿八年來第一人
page 6	英政府重視香港
page 6	諾爾頓少將小史 
page 6	華資銀行昨日召開會議如遇有撤退必要時請求港府事前通知
page 6	英籍婦孺二千餘人昨日登記
page 6	官立學校照常上課前日停課係因假期關係私立學校提前考試
page 6	本港軍事當局否認違背君子協定同盟社傳廣州日發言人之語所指背信一層全無理由
page 6	華僑學校
page 6	英文中學
page 6	陳慶雲赴菲轉美純為推銷航空救國券事宜航救會菲分會上週已成立 
page 6	粉嶺農藝院昨宣布暫時停課學生生活成問題
page 6	市政衛生局昨日舉行例會
page 6	當局令義教士二十六日前離港天主教堂主教恩理覺例外猶太籍難民亦已奉命出境
page 6	我官方否認蔣夫人赴菲日方有此謠傳
page 6	卓還來抵港
page 6	風球除下
page 6	牛豬漲價創肉價之新紀錄
page 6	各界振聯會振濟新界難民撥米五十包交寶安商會並派員調查擬週密計劃
page 6	新界難民回鄉者不及千五百人日軍已將開放三地封鎖大亞灣日艦昨晨離去 
page 6	日軍強迫難民築路
page 6	粉嶺保育院
page 6	英帝航公司專機疏散職員家眷太古及渣甸兩輪船公司準備專輪載運職員眷屬
page 6	警察當局拘捕無業遊民九龍方面拘留八十餘名一部待查餘均遞解出境
page 6	疏散雜寫
page 6	有功華人家眷昨日登記有者不知詳情悵然而去登記者疏散與否尚不知
page 6	港府疏散計劃按原定程序進行主要長官昨舉行私人會議傳西商會請當局撤銷收散
page 7	香港足球總會批准星島南遊通知書將於今日下午發出總會定十五召開年會 
page 7	今晚公開籃球賽中青逢廣大另一場華僑對抗銀紅乙組賽青白出戰記者
page 7	春申體壇
page 7	南華會友籃球六日開始角逐
page 7	東方在仰失利不敵全仰選手零比四造成南征最大之敗續印度之行不獲准
page 7	游泳的方法
page 7	今天學籃又有兩場
page 7	各隊形勢表
page 7	外匯牌價俱無變動美匯申匯市況均靜
page 7	八九金市昨日仍淡靜
page 7	股票仍無起色全日成交三萬餘元
page 7	國幣略降
page 7	教部極力提倡運動民眾化儘量配合當地民風習俗國防技術尤應特別注重
page 7	舉行辦法大綱
page 7	夏令籃球比賽十一路軍題名
