page 2	越南之命運
page 3	上海防軍會議竣事結果預定今日發表英防區如何分配各方傳說分歧美國務部注視哈特每日報告
page 3	全國慰勞總會分區慰勞空軍
page 3	美國芝加哥城僑胞一次獻金三十餘萬中央當局深致嘉許
page 3	空軍各將士電林蔣致敬
page 3	周至柔報告三年來戰績
page 3	金風送爽秋涼即屆同胞勿忘戰士寒衣全國徵募寒衣運動委會發動國內外募款千萬元
page 3	魯豫水災形勢嚴重
page 3	李主席在渝談粵新政設施軍事經濟政治均有進步
page 3	曲江人口物資強迫疏散商店日間停業
page 3	滬法租界搜獲大批軍械
page 3	英救濟隊一行抵渝將晉謁我當局
page 3	桂南日軍逐漸潰退上金我軍繼續西進
page 3	中央婦女部籌備將近完成內部將設三組
page 3	論驛運問題二
page 3	德輪在浙海被日艦扣留義輪則安抵目的地 
page 3	越督已接獲法政府訓令對日越軌要求概予拒絕越南防務正加強中
page 4	希特勒之神經進攻發動跳傘部隊英全國正嚴密搜索中海峽空氣愈見緊張
page 4	蘇聯專家召集中國美術會議由商殷談到現代引起極大之興趣
page 4	羅匈正式談判今日開始匈代表昨抵唐努西維林羅已同意割讓領土要求
page 4	諾克斯力主通過徵兵案塔虎脫竟表示反對
page 4	加拿大徵求美國機師駕駛轟炸機由加赴英國
page 4	蘇駐芬公使返抵芬京
page 4	日民政黨決定解散 
page 4	艾登演說英國採取攻勢始為戰勝之道 
page 4	亞穆萊報告英印之關係憲法問題尚難解決印總督接見各政治領袖
page 4	美駐比大使謁羅斯福總統與救濟比國饑饉事有關邱第氏已打銷辭意
page 4	英發現降傘隊
page 4	日民政黨決解散
page 4	近衛會見松岡及東條討論外交問題
page 4	從技術上的問題談加強西北公路運輸三
page 4	義對希臘續製造藉口以便向阿爾巴尼亞增兵俟機攫奪希臘之科夫島
page 4	德義飛機廠被炸 
page 4	東非劇戰醞釀中
page 5	駐桂飛將刑剷非撰文紀念空軍節綜述三年來空軍的戰績 
page 5	侯西反在滇廣播東走西走的觀感舉出大後方一切進步的事實對僑生回國求學望特加優待
page 5	乾霧大涌仍有戰事
page 5	斗門軍民甚為鎮定
page 5	韶關附近十大公路線調查各處交通至為暢利
page 5	西康日記一四六第七編由梭坡到九龍
page 5	侯志明任戰區政治部副主任
page 5	川教育學院實驗鄉教努力建設歌樂山
page 5	中山日軍傳將開放交通圖誘民眾回縣納稅廿八日起准許通車
page 6	八一三獻金各界僑胞繼續捐輸四公司獻金台延期結束仍盼熱心僑胞再接再厲
page 6	文藝講習會定今晚結束
page 6	九龍居民協會請政府建避彈室因發生空襲時無處躲避先組織小組會從事調查
page 6	菲律賓飛剪昨日來港名作家哈里遜同來
page 6	汕尾水產學校招生僑生投考者眾報名日期展至明日截止負責人談水產學校概況
page 6	僑校學生報名投考
page 6	水產學校辦理概況
page 6	中大返回粵省在暑期內可遷畢學生二千餘人各津貼五十元儀器千百箱運輸極感困難傳聯大同濟亦擬遷川
page 6	兩航空公司客票增價普通貨物運動價亦增
page 6	孔教團體沿用舊曆慶祝孔誕
page 6	高陞茶樓又有人跳樓自殺壓傷過路婦人均未重傷九龍過海小輪男子投海 
page 6	港府繼續疏散婦孺三百餘人抵澳洲
page 6	星港僑商籌組採礦建設公司資本金額定為五千萬元港商認股千萬定期會商
page 6	港醫務當局設立試辦醫院在港大禮堂已開始佈置病者三十人在該院調治
page 6	日軍增兵中英邊境戒備甚嚴調動頻繁
page 6	舞女售花運動成績甚佳中華國泰昨晚已結出白雪個人售得約千元
page 6	婦女兵災會
page 7	足球大戰前奏曲各會場地整理忙
page 7	華人水藝會成績尚佳慈善獎券昨日已開彩
page 7	女子學界籃球下月開賽章則已在起草中
page 7	夏令籃球仿林擊退鷺星聯英大勝知行
page 7	光華足球會陣容仍盛 
page 7	東方遠征追記
page 7	外匯牌價昨無變更英匯呆滯美匯沉寂
page 7	八九金市先穩後鬆
page 7	英德戰局緊張股票市況受影響買戶減少成交四萬餘元
page 7	國幣市況先穩後堅
page 7	鍾聲水藝會演出精彩收入義款二百六十元
