page 2	歐洲東北角的新形態
page 3	我機昨日空襲南昌筻口敗退Ｘ集結大雲山麓鄂中Ｘ圖犯潛江遭我痛擊
page 3	晉冀察邊區之Ｘ大舉進犯受創上月血戰三十餘次我軍獲得重大戰果
page 3	滬日圓昨日續跌上海金融週報著論謂Ｘ經濟已瀕崩潰
page 3	華中Ｘ偽鈔政策結果必失敗財部發言人招待記者揭破Ｘ之狡計與陰謀
page 3	馮副委長廣播許多小勝集成了總的大勝慢慢的減損了Ｘ人的力量
page 3	鮮女俘虜為我將士縫衣
page 3	美大使明日可抵港
page 3	Ｘ俘野露寅藏對軍官團講演欽佩中國英勇抗戰
page 3	美駐菲專員麥克納昨日由津返滬
page 3	大美晨刊決定改辦周報
page 3	粵省政府合署辦公以後機構將有變動
page 3	津浦線Ｘ由魯北潰泰安
page 4	對三國互助協定英蘇商有成議蘇方覆文日內送出美國人士表示樂觀
page 4	蘇聯懷疑各點英國已予保証
page 4	波羅的海問題尚待賡續研討
page 4	英擴充海軍趕建大批主力艦俾保持海上霸權
page 4	國聯對我合作正積極發展中所派醫生及工程師等現遍佈各地從事工作
page 4	鼓島形勢僵持中四國各派水兵駐守日方希望早予解決
page 4	英國經濟援華應付日本威脅
page 4	德志願軍由西返國戈林親加檢閱
page 4	近衛定後日訪謁西園寺商對內外政策
page 4	德丹簽訂互不侵犯協定丹議會日內可望通過
page 4	愛共和軍領袖在美活動英國要求引渡
page 4	可憐的猶太人九百餘名飄泊海上竟找不到安身之所
page 4	英將恢復陸軍總監人選已內定
page 4	中英的友誼倫敦中英協會席上賈特菲部長的演說二
page 4	英蘇法三國將共同援助波蘭波政府駁斥但澤抗議納粹黨報紙攻擊國聯
page 4	人類進化繁榮有賴彼此合作英王在加拿大之演說
page 4	德對南斯拉夫施引誘手段南攝政外長抵柏林後暗中將舉行重要談話
page 4	匈議會總選納粹黨議席增加將為最大反對黨
page 4	法屬摩洛哥制限日貨進口東京方面竟謂法國達約
page 4	戰局
page 4	美國與英蘇協定
page 4	土軍事代表團定昨抵英討論英土協定各種軍事問題
page 5	四邑我軍採取攻勢新鶴全線均起激戰Ｘ軍傷亡頗眾江門戒嚴中山沿海安靖已無Ｘ蹤
page 5	中山游擊區組織一新委定指揮官三員增設副司令兩人
page 5	Ｘ軍野譎昨作反戰演講謂日崩潰期近
page 5	粵財政廳派定縣市稅務局長
page 5	廉城防軍助耕
page 5	王俊親製軍歌兩關切合戰地需要
page 5	中山前線實踏記上
page 6	中英文化協會香港分會昨成立港督致詞欽佩蔣委員長會章通過選出首屆職員
page 6	港大特委會昨發表報告書對組織缺點發展程序均有建議應與我國教部大學事務局聯絡
page 6	中華義學登記日期延展原定昨日現改明日截止報名者昨已達四千餘人
page 6	萬興泰慘殺案警司懸紅緝兇櫃圍底昨搜出殺人菜刀夾萬空空不知是否失竊
page 6	貂蟬紅樓夢今晚在太平公演
page 6	中青救護隊第五隊已赴南雄
page 6	英海軍尋覓水雷送回者可得獎賞
page 6	中旅公演現在趕排新劇
page 6	天下圖書創刊號今日出版
page 6	家庭工業社今日贈送無敵牙膏
page 7	菲島體育協進會決定本年度計劃擴大組織港菲埠際足球賽派隊出席明年世界運動會
page 7	南華夏令足球賽今日開始報名遴選球藝優良組織訓練班志在造就復起傑出人材
page 7	驪歌賦別紀赤手空拳振輝又喜又恨嬌妻愛女慶才難捨難分
page 7	綱邊人語
page 7	南華壯丁出征圖
page 7	外匯牌價仍不動英美匯市均穩靜申匯市況微淡買賣數量仍少渣打及廣東省銀行吸進申鈔
page 7	股票轉趨堅挺成交可觀為數週來所僅見香港匯豐銀行股價格飛漲
page 7	八九金市再趨淡靜買賣仍少價格略降
page 7	英金不動英銀俱跌
