page 2	社評祝湘北大捷
page 3	湘北大捷湘北大捷
page 3	敵軍五萬全部被圍陪都準備遊行慶祝敵方自承慘敗謂準備撤退
page 3	橫嶺湖南岸殘敵全部肅清敵艦艇亦紛向北潰逃
page 3	粵我軍克單水口荁蘆苞敵西犯受創
page 3	晉南我亦獲勝敵向原路回竄
page 3	季鸞先生不死
page 3	湄公河小島已劃歸泰國
page 3	中國新聞社在紐約宣告成立夏晋麟氏任社長
page 3	戰區流動電台現已開始廣播
page 3	星洲重要會議德夫古柏等均出席討論內容未予公布
page 3	敵面臨危機除蠻幹外無別法東京日報之時局觀
page 3	美太平洋艦隊傳將實行護航美海長拒絕予以證實
page 3	美記者視察報告證明長沙未失目擊市區並未破壞敵人造謠醜態畢露
page 3	日樞密院例會東條豐田均出席
page 3	颶風襲日本三百餘人慘死
page 3	陪都各界贊助張季鸞獎學金决組設獎金管理委會推定陳博生等為委員
page 3	衡陽各界籌備勞軍
page 4	邱吉爾氏演說集中力量加緊援蘇嚴防納粹明春攻勢
page 4	從蘇聯內部說到蘇德戰爭二在中國文化協進會講辭
page 4	南路蘇軍退出波爾泰華列寧格勒守軍大反攻
page 4	捷將組軍助蘇抗戰蘇捷已成立協定
page 4	美軍火生產有長足進步
page 4	對於惡意批評民眾應有辨別
page 4	不斷埋頭努力應付來春局勢
page 4	史達林三次接見英美兩首席代表各委員會工作已告竣
page 4	英首相演說美國反應一斑認在準備就緒之前英將不致進攻歐陸
page 4	美國航空公司贈援華會飛機
page 4	邱吉爾演辭
page 5	我軍開入三埠台城四邑殘敵已肅清軍政當局趕辦善後難民紛紛回城復業
page 5	中緬移民談判雙方意見已獲一致緬首相發表意見願保存和衷精神
page 5	中緬政府代表團發出聯合聲明其他次要問題尚待成立諒解俟向政府請示後再繼續討論
page 5	敬悼季鸞先生
page 5	美國醫藥用品又有一批運華新式超等救護車十輛及醫藥儀器三十五箱
page 5	曾鎔浦代表申述我國態度決依條約保護民合法權益相信經此談判邦交更將增進
page 5	涂允檀談話
page 5	浙東札記續
page 5	桂市兵役會議決定徵兵程序十一月十日舉行抽簽
page 5	美國募款援助中國基督教大學聯會發起籌募美金四十五萬元
page 5	貴陽一週
page 6	長沙湘雅醫學院美教授談長沙被炸情形過韶關時日機亦行肆虐阜頓昨由長沙經韶抵港
page 6	防空處長史柏堅昨續坦白作供劉美美陳永安夫人將出庭作供建利數簿審前忽然失蹤
page 6	輔幣短絀當局力謀根本解決共發出千一萬餘張
page 6	壽景偉朱學範四日離港出國壽景偉氏並負責促進我與中南美等國貿易
page 6	兒童教養會捐得鉅款
page 6	貿易統制處昨日起遷至匯豐大樓
page 6	國民大學響應募債
page 6	雙十國慶日慰勞孤軍
page 6	商大同學聚餐歡送壽景偉
page 6	汽車買賣必須呈報
page 6	粵教團聯合中學現已開課一切進行順利並擬籌備設立分校一所
page 6	華僑教育會開始徵求會員
page 6	防癆協會請求當局撥地興建防癆病院一獲批准即行募款興築建議當局聘請專家防癆
page 7	嘉山麓戰況激烈南華打和星島德祺錦洪熾輝拔刀加入助陣一比一洛基天申被判罰出場
page 7	雙十節足球賽定七日排戰陣
page 7	友聯乒乓杯賽開始交鋒唐海安開球
page 7	甲組聯賽形勢
page 7	鐵城杯籃球戰星島力克友聯五十二比四十二多五球頭場黑貓勝吐倫
page 7	游泳冠軍決賽今日繼續舉行
page 7	華人會開週年水運一連三天舉行
page 7	星島田徑隊積極操練兵馬
page 7	華人週年水運十一開幕明日召開會議
page 7	星華七屆運動會八項破紀錄鴻濱跳遠第一接近全國紀錄個人參加者達一百四十二人
page 7	股票仍欠靈活買戶活躍能力轉趨疲弱昨日成交值六萬餘元
page 7	外匯牌價仍無變更申匯穩定英匯黯淡
page 7	國幣價格繼續高漲
page 7	滬標金市仍穩但靜
