page 1	經濟緊急措施方案
page 2	政府昨宣布實行經濟緊急措施方案禁止黃金買賣外幣流通調整外匯掛牌一萬二千取消出口補助進口附加辦法標售敵偽及剩餘物資國營事業酌售民營指定地點限定物價薪工以本年一月份生活指數為最高指數亦不得增加底薪禁止閉廠罷工或怠工
page 2	修正中央銀行管理外匯暫行辦法
page 2	取締黃金投機辦法
page 2	禁止外幣流通辦法
page 2	管制金融業務辦法
page 2	關於經濟緊急措施蔣主席發表談話指責共黨破壞和平影響經濟勉同胞努力望友邦同情
page 2	宋子文來滬處理管制金融物價事宜王雲五徐堪貝祖詒同來
page 2	隴海東段戰事轉趨沉寂魯南共軍續向山區退卻豫東方面國軍昨日進駐鹿邑
page 2	辦理外匯銀行今晨舉行會議
page 2	共黨肆擾影響經濟
page 2	緊急措施決定式十項
page 2	谷鳳翔等抵滬開始徹查金潮 
page 2	誰用軍餉買金國防部希望各界檢舉果有此等事決予嚴懲
page 2	司徒大使昨與蔣主席晤談
page 2	周逆佛海自知死期已近心臟病發丁逆默邨遞狀聲請覆判
page 2	蔣勻田昨由滬晉京攜有民社黨參加四機構名單
page 2	周逆佛海自知死期已近心臟病發丁逆默　遞狀聲請覆判
page 3	分配日本賠款計劃美已提交遠東委會較鮑萊所提計劃尺度更放寬日社會黨反對聯合內閣談判
page 3	日本要學美國企圖以法律彈壓工潮進步黨決議另組新黨
page 3	古代的黃色恐怖
page 3	外次會續商對奧和約拒絕南國領土要求
page 3	賈德幹任英裁軍代表
page 3	馬歇爾下月初赴蘇阿契遜失言蘇聯提抗議認為有重大誹謗及敵意
page 3	法工潮漸平息
page 3	法願作東西橋梁賴馬迪談外長會議時對德政策英歡迎法捷談判修約消息
page 3	河內法軍發動大攻勢
page 3	英國工黨兩議員不滿貝文外交政策貝文演說辯護一般外交措施
page 3	巴勒斯坦問題將付聯合國解決
page 3	拉丁美洲軍備標準化各國軍隊改為美國式配備泛美防務局宣布計劃要點
page 3	美駐波大使宣布正式撤退
page 3	監院發表糾彈案件
page 3	吳經熊晉謁羅馬教皇
page 3	泛美防務局宣布計劃要點
page 3	政院撥十億元振濟東北難胞
page 3	首都首次滑翔表演黃色之鷹翱翔紫金山頭
page 3	鄂省府絕不封鎖新聞萬耀煌在記者招待會中報告
page 3	津浦全線交通路局奉令趕修謀全線恢復
page 3	東北被俘經會人員經共黨釋放後返瀋
page 3	艾德禮演說籲請勞資合作
page 4	市商會函各公會同舟共濟
page 4	留滬國大代表及參政員檢討金融政策電蔣主席請求徹查金潮
page 4	電蔣主席
page 4	貧兒福音紅會增設牛奶站貧兒可免費領飲
page 4	電車和公共汽車也準備提高票價公用局考慮傳於下月實行
page 4	科學期刊聯合會昨開二次籌備會
page 4	愛用國貨流血慘案地檢處後日下午開庭偵查
page 4	遣送東北義民
page 4	配售汽車即日開始用油登記
page 4	慰梁仁達家屬本報代收十萬元
page 4	昨日火警九起光華捲煙廠全燬
page 4	免役申請審查國防部公布辦法
page 4	電車吉普相撞二空軍受傷甚重半時後交通恢復
page 4	小女跳車輾斷雙腿
page 4	五年養女被逼為娼吳梅華不堪皮肉蹂躪
page 4	徵工代振疏通河道真如江灣為實施區本月廿日兩區同時開工救濟總署撥麵粉四萬袋
page 4	市立醫院病床門診增加免費額
page 4	市長盃足球賽優游昨淘汰精武青白乙獲乙二部冠軍丙組總決賽海關獲勝
page 4	全部結果
page 4	美人魚楊秀瓊任游泳指導
page 4	簡化中學課程注重實習自習教育部中學課程討論會決議
page 4	譯員留學考試分渝平漢京等七區舉行報名本月二十八日截止
page 4	叔蘋獎學金昨行給獎禮
page 4	二屆女姐籃球賽綠隊冠軍希望濃昨大破青聯造成五戰五勝甲組晨友與全黑同聲奏凱
page 4	大學訓導人員研究會昨成立
page 4	大學籃球賽本月新秩序
page 4	經濟監察團今日辦公開始執行偵查任務操縱有據者決依軍法審判
