page 2	論建設與軍需兩公債
page 3	蔣委員長重要表示重申抗戰一貫國策決心斷非漢奸理論所能動搖辯解近衛聲明的便是求降賣國
page 3	南昌淪陷後之抗戰形勢進犯長沙乃迴光返照總崩潰之期當不在遠
page 3	粵改進黨務下月起各縣黨費增加動員會李主席任主委
page 3	政院會議仰光領館升格甘建廳長易人
page 3	津英租界破獲Ｘ人機關
page 3	中德貨品交換傳雙方已訂立合約
page 3	濫炸問題上四月十八日在香港大學講稿
page 3	共黨發表聲明痛斥Ｘ人陰謀上海發現偽冒傳單言詞荒謬意存挑撥
page 3	滬Ｘ又製造恐怖事件大美報販頭目被殺
page 3	我游擊隊近在吉林活躍
page 3	東江形勢仍緊Ｘ軍企圖反攻增城我空軍飛太原逞威
page 4	英法蘇三國將共同保證東歐羅同意蘇予援助蘇俄駐英大使返國
page 4	對援助民主國家美考慮切實辦法赫爾讚揚羅斯福措置陸長主擴充軍備自衛
page 4	戈林返德德義對美總統答覆尚待討論始能發表
page 4	凡勒拉演說稱南愛嚴守中立希望努力增強國防力量以避免被捲入戰爭漩渦
page 4	羅外長道出波蘭曾與柏克晤談抵柏林後將訪德外長說明羅對英保證態度
page 4	波工商部長由義返國
page 4	傳德波間重開談判對但澤問題有諒解可能
page 4	川西偉大水利工程都江堰開水記續水變成了農民們的朋友
page 4	希特勒明日五秩大慶全國放假一日
page 4	英上月份對外貿易較二月份增加
page 4	對抗德義威脅法艦紛集地中海英法與德義實力相埒
page 4	傳西政府對法提滿意保証對全盤歐局亦有提及法西間問題尚未解決
page 4	對修正中立法問題畢德門改變初衷主廢棄現購自運條款並限制美國對日貿易
page 4	澳洲海軍舉行大演習紐西蘭亦參加
page 4	全世界黃金美國保有六成共一百五十五萬萬元當局已預防市場動搖
page 4	日改斯巴得來島為新南群島政府定今日發表官報宣布該島歸台灣管轄
page 4	戰局
page 4	讚揚牯嶺孤軍
page 4	納粹治下的德人吃都被統制多吃脂肪就是國奸
page 4	英報駐德記者被限期離境理由為偽造消息
page 4	美國南五州暴風雨為災
page 5	Ｘ陷潭洲大岡中山形勢漸趨緊張三九兩區難民多逃岐澳新鶴激戰Ｘ又攻佔棠下
page 5	潭洲陷落經過寡眾不敵我軍棄守空前慘劇全墟被焚
page 5	深圳證明克復石龍十七日被我攻佔
page 5	宋子文陳策擬救濟瓊崖計劃協助抗戰充實一切救濟難民標本兼施
page 5	西沙群島仍有法兵駐守傳Ｘ侵入不確
page 5	桂林史詩的素描榮譽大隊重上火線五百傷兵創愈殺Ｘ再接再厲為國爭光
page 5	中山縣長出巡
page 5	赤溪擊退Ｘ艦
page 6	吳鐵城抵港談話兩年來我國之英勇抗戰Ｘ人已深受悲痛之教訓
page 6	國際博覽會中國出品協會昨日召開會員大會討論改成永久組織
page 6	旅澳中青服務團今日動程西上服務
page 6	燈火管制本港將再舉行已呈請政府當局審核臨時警報不預先宣佈
page 6	本港義勇軍去年成績滿意緊急時期能迅速應付惟西人隊人數未足額
page 6	徵募短衣計六千五百套
page 6	漁民救濟船設備完善四隻可容十六人漁民將輪流生利
page 6	婦女慰勞會昨舉行常務會議負擔婦女工作團經費捐贈各方救護車四輛
page 6	羅宮英烈傳明日在太平放映
page 6	旺角瑞士銲錫廠汽鼓爆裂傷人工人三名送醫院救治一過路學生亦被殃及
page 6	紅十字總會徵求青年司機百名
page 6	太平劇團小散班前編串新劇
page 6	撥助鶴山商會賑米百七十包賑聯會昨例會議決
page 7	香港網球聯賽本年度參加踴躍四十三隊加入角逐盛況空前
page 7	林添德棋輸一著終不敵大林珍經驗差彈琵琶徒呼負負
page 7	乙組足球亞軍決戰今目米杜息對五營砲兵
page 7	以卵擊石一幕重量拳擊賽喬路易輕取廬拔
page 7	游泳珍聞
page 7	體壇奇蹟一
page 7	日常健康問題
page 7	今晚籃球賽僅乙組兩場
page 7	東方主將受傷敗于西貢甲心餘力絀結果一比九預定廿二日啟程返港
page 7	奧林匹克會五環標幟禁作貨品商標之用
page 7	外匯牌價均不動英美匯市況穩靜申匯市亦穩靜買賣仍不甚多
page 7	股票市略穩定買戶較多乘機壓低售價賣家不允拋出成交稀少
page 7	八九金市略穩但靜買賣不多價格微漲
page 7	英金回跌英銀俱漲
page 7	美國商業貸款利率減低四月一日起計
