page 2	社評禁烟令
page 3	唐河收復豫南穩定武漢附近我軍衝入鄂城粵北被炸韶關疏散人口
page 3	全國生產會議開會紀詳出席專家百二十人提案切合戰時環境
page 3	生產會議孔院長開幕詞一指示今後應注意事項政府在川發展工業區
page 3	對鼓浪嶼事件王外長聲明Ｘ軍在租借地登陸係試探列強之態度
page 3	Ｘ機襲汕頭用機關槍掃射英輪怡和洋行附近落彈
page 3	滬Ｘ領返國商租界問題關於五同胞被捕事納稅會已提出交涉
page 3	Ｘ機轟炸重慶美向日口頭抗議渝積極進行救濟工作老幼婦孺賡續疏散中
page 3	外蒙軍隊進襲偽滿邊境雙方激戰數小時
page 3	皖南我軍連日出擊獲勝
page 4	英蘇談判進展蘇將提出覆文形式上讓步立場不變龐萊赴倫敦晤英外相
page 4	土國民大會通過信任政府案擁護與英密切合作共同維持歐洲和平
page 4	希特勒赴紐倫堡
page 4	英土關係宣布後德深感失望竟對土國施恐嚇謂將發生新危機
page 4	墨索里尼演說恫嚇民主國家如要求不能有所滿足將不惜以戰爭謀解決
page 4	義國在非洲的威脅譯自莫斯科新聞一
page 4	德圖與西班牙訂軍事同盟為對英土接近之報復德作家對西諛陷備至
page 4	德義軍事同盟傳二十日簽字希特勒親草軍事部分
page 4	世界學聯第三次國際會議
page 4	美擴充空軍改進計劃第一種已呈總統羅斯福
page 4	羅保邊境發生衝突保京羅使館已嚴為戒備
page 4	加拿大當局籌備歡迎英王澳洲皇后號中途遇霧後日始能抵達渥大瓦
page 4	波政府發表聲明對德提出警告決維持但澤地位國社黨今晚遊行
page 4	德義在商業上竭力向羅進攻德羅已成立商約義羅亦在談判中
page 4	美國的對日抗議
page 4	最近的歐局
page 5	江門殘Ｘ孤注一擲竄近會城又起戰事我軍昨晨猶在近郊截堵中山Ｘ艦漸增情勢略緊
page 5	粵推行施政綱要分別門類由各主管機關實施參政會將討論協助推進方法
page 5	粵省府奉頒政院規定內地房屋救濟辦法轉飭專署縣市切實辦理解決流亡難民住的問題
page 5	蔡廷鍇視察西江前線情勢
page 5	由潮州柑的舉例說到農業改良問題幾個農學家的會談敬莊
page 6	市區設計委會各委員業已內定主席由衛生局托特兼任將指定馬頭角為工業區
page 6	新文字學會開辦師資訓練班俟畢業後擇聘教師二人赴各地任教推行新文字
page 6	販賣人口歹徒活躍多以難婦難童為對象運往海峽殖民地等埠
page 6	全港戲劇界國民公約宣誓昨晨假座普慶戲院舉行五百餘人參加陳策監誓
page 6	英王抵加本港接播抵埗情形
page 6	業餘聯誼社旅行青山
page 6	當局派員調查私娼性病狀況已擬就報告書呈復政府各項建議曾交醫生研究
page 6	學賑會野戰大會
page 6	遺產稅去年僅百二十餘萬
page 6	由港轉輪放洋出國人數調查去年十一萬零八百餘人以赴海峽殖民地者居多
page 7	嘉露連山棒球熱南華初戰勝西洋友啤球運享通大破岷甸奴短兵相接雙方均有本壘打
page 7	參觀世運大會預定門票辦法上海中國旅行社代理經售
page 7	台杯第二週賽英淘汰新西蘭義南兩國目下亦居優勢
page 7	滑翔競賽分四日舉行
