page 2	對中央兩項決議感言
page 3	日軍昨在海防登陸越北戰事已告停止
page 3	我軍克復防城日軍感受威脅
page 3	李濟深談越局日人今後將益樹敵寡助我方應付保有充分自由
page 3	上海罷工潮形勢仍嚴重工人巡捕衝突受傷多人
page 3	川紳捐穀充裕軍糧
page 3	滬工部局華董竟迭受恐嚇某方覬覦之心日亟
page 3	滬綁架風復熾連日不斷發生
page 3	晉各界響應節約儲蓄定期擴大宣傳
page 3	哈特在滬與美軍政當局會商
page 3	國內避暑勝地今成非人世界
page 3	吳部長抵菲島訪晤美菲當局備受款待菲僑胞正籌備盛大歡迎 
page 3	郵資加價滇省昨起實行
page 3	中美新借款美貸我二千五百萬美元我以相當鎢礦售予美國
page 3	南洋僑胞在渝組建設銀公司資本五千萬年內可成立
page 3	滬物價續漲
page 3	參政會張副議長等再電英兩院議員請毅然無條件開放緬甸公路
page 3	所傳德日同盟英美正注視中
page 3	湘省當局籌設省立農業學院內分三系明年三月開學
page 3	美國一般與論咸主積極對日
page 3	英大使在渝商談滇緬路問題
page 3	法日軍事當局成立停戰協定
page 4	義外長赴柏林極力引誘西班牙介入法機猛炸直布羅陀
page 4	孫中山先生發展東北之遺教三
page 4	倫敦空襲規模較小英機六批進窺柏林
page 4	堀切善兵衛被任駐義日大使
page 4	前駐滬英軍開抵新加坡努力練習森林戰術
page 4	威爾基演說反對獨裁政治
page 4	羅斯福考慮援英新建議以飛行堡壘轉移英國美當局計劃建新根據地
page 4	羅發表新政綱以德義軸心為立場政府制度採取極權
page 4	重光訪英外次談英日一般問題
page 4	德大批購運軍用品入口每月值一千萬美元
page 4	中美新借款
page 4	日閥的作風
page 4	何苦向德獻媚
page 4	柳川赴華北柳井吉野偕行
page 4	德訓練精兵作攻英准備挑選優秀青年練習巷戰傳已分發攻英各根據地
page 4	蘭道夫邱吉爾膺選為保守黨議員
page 4	亞穆萊講演對印領袖態度表遺憾
page 4	挪北請假德軍假道芬蘭來往德瑞間亦曾訂同樣協定德政府宣布挪政府改組
page 4	為什麼美國需要新加坡一
page 4	英軍放棄佔領達卡爾港計劃
page 5	越南戰事吃緊粵桂我軍均出擊積小勝為大勝各處殲日
page 5	廣西的合作事業下
page 5	農本局主管糧食業務下月移交糧管局今後專營合作金庫與倉庫渝糧管會組織成立
page 5	川渝劃界巴縣部分明日接收
page 5	西康日記一八０第九編九龍木裏途中
page 5	粵臨時參議會調查民間疾苦託各縣黨部代為辦理十月廿五日以前寄會
page 5	滬十四業奉令禁止囤積
page 5	贛改良茶業頒定茶販管理規則
page 5	李主席指示要政羅翼群劉志陸將抵韶 
page 5	桂林籌設市參議會
page 6	本報及各團體發起模型飛機公開比賽定期下月二十七日舉行擬設輪流獎及研究獎金
page 6	比賽辦法
page 6	比賽條例
page 6	我出世界學聯代表顧子仁由美抵港據稱美青年同情我抗戰下週赴印度明年春返國
page 6	崇正總會成立廿週年紀念雙十節開會慶祝
page 6	徐謙昨在港逝世心臟衰弱症數日前轉劇最近兩年致力救濟難童
page 6	昨日泰生輪折回本港港灣航運恢復
page 6	砲台道築防空隧道為U字形兩口相距百碼頂上之泥土厚約四十尺
page 6	自由法僑歡宴法志願兵
page 6	某某牛奶公司昨被政府控告衡量不足標準
page 6	勝斯酒店新廈將於最近興築圖則由過沅熙則師製成德輔道溫莎行昨日落成
page 6	霍亂症
page 6	團防局紳
page 6	中國文協
page 6	廠商聯會
page 6	防癆協會印製中英文傳單已分發各公共場所張貼籌劃在新界設肺癆醫院
page 6	先施公司辦到大批兒童用品
page 6	四十三團體慰勞郎擎天此次舉義功在國家已推代表遄赴前線
page 6	人約黃昏業聯劇團演出
page 6	港回教團體商討回族回教徒問題多以回族名義未可偏廢彙集各方意見轉呈中央
page 6	血染的紅旗介紹三原色片娘子軍
page 7	東方閃電戰大敗海軍乙組實力懸殊淨勝九球秋亭文奎下馬示威
page 7	星島渡海操兵三比二勝警察侯鍾張昨亦披甲登場
page 7	徐享談話 
page 7	全港公開游泳冠軍賽第二日五十碼自由式吳年卒勝泰羅四百四十碼陳振南創新紀錄
page 7	南華週年水運
page 7	後日節目
page 7	外匯牌價昨無變更美匯穩靜申匯好轉
page 7	四四金市昨日仍無起色
page 7	本港股票市況昨日仍無進展買戶視線集中麻纜公司各股成交總值六萬餘元
page 7	國幣堅穩
page 7	上海西聯足球共四十隊參加甲組華人隊東華單刀赴會
page 7	幕後新聞
