page 2	社評南國政變與歐局
page 3	贛北我軍克復高安向南昌方面挺進中日軍各路潰敗傷亡逾二萬人
page 3	蘇浙邊境血戰日軍開始崩潰
page 3	郭大使在英歡宴外賓
page 3	美作家援華員會舉行盛大募捐宴會威爾基氏演詞呼籲擴大援華賽珍珠謂中國為未來遠東中堅為美國前途計應爭取中國友誼
page 3	日人操縱泰越經過二
page 3	陪都發動防空獻金增強防空建設
page 3	蔣委長電勉廣東省銀行
page 3	海明威在韶訪謁余漢謀
page 3	美人熱情包格氏捐金助我
page 3	滑翔總會定下月初正式成立將表演自造滑翔機
page 3	控制甚嚴定三條件令汪遵行
page 3	渝平民住宅昨行落成禮美大使參加致詞
page 3	松岡謁希特勒德日開始會談
page 3	松岡談話攻擊英美
page 3	倫敦所傳會談內容
page 3	滬中農各銀行定日內復業政府決優卹被害行員交行兩行員又被綁架
page 3	英在華利益遭日破壞英議員提出質問
page 4	軸心受意外打擊南國發生大政變總理被捕攝政保羅亦離國新政府成立英決全力援助
page 4	南國人民興奮紛紛表示效忠
page 4	英機械經部隊增援希南邊境
page 4	土國決心備戰
page 4	克倫爭奪戰英義兩軍損失皆重阿愛國軍截斷義交通線
page 4	旅美德僑集體撤退
page 4	端諾萬廣播談歐遊觀感讚美希軍英勇抗戰
page 4	地中海軍事布置完成英艦隊將西開準備應付大西洋之戰
page 4	美認德國對鎖冰島不啻關閉美州門戶
page 4	駐日義使曾訪大橋
page 4	美政府採行動制止罷工風潮
page 4	美向澳購買大宗羊毛較去年增十倍
page 4	美重新考慮糧食運法計劃曾電里海調查法國實情以防糧食間接轉資德國
page 4	智利揭發納粹陰謀
page 4	日對泰越苛注不已
page 4	哈里法克斯談話重申和戰目標不惜作戰廿年務求勝利不願再見復仇式之和約
page 4	朝鮮日當局濫捕美國教士美方促日外務省注意
page 4	贛北之捷
page 4	偉大的同情
page 4	小丑口吻
page 5	視察軍事教育白副總長過築紀盛讚黔省禁烟剿匪成績良好各項事業亦均有突飛之進步
page 5	西康日記二五四第十三編永寧麗江途中
page 5	培植藝術師資粵省藝術院設立師資班
page 5	粵省禁煙工作辦理尚稱良好民廳考核各縣辦理情形根據報告成績分別懲獎
page 5	教廳積極救濟四邑南路員生指定三學校盡量收容並派員出發切實工作
page 5	各界歡迎會
page 5	南洋閩僑會議參加者極踴躍共五十二單位代表一五七名定四月一日起舉行三天
page 5	湘耒陽發現蔡倫古墓
page 5	南洋要聞簡誌
page 5	昭陵六馬歌
page 5	韶關孝悌路發生火警焚燬店戶五間傷消防員一人
page 6	檢查貨物下月開始運南洋等地貨物均暫免包括菲島日本暹羅各地
page 6	南頭來人談我軍襲擊日機場寶安各活寶爭權起內訌我軍乘機火攻並有內應
page 6	移民局調委會昨日續傳中西人士作供並宣講凱自威之來函明日仍繼續聽取供證
page 6	遺產法修正案立法局昨通過
page 6	中青籌振會擴大國語講習班
page 6	虞洽卿即將赴渝返國考察之意準備已久我國金融穩定牢不可破
page 6	虞洽卿
page 6	港大舊生會今日舉行歡敘大會
page 6	粵救會聯救隊函述沙淡突圍經過冒險越日防歷盡艱苦由叢林中向惠陽逃生
page 6	日加緊封鎖本港邊界地帶禁止人民離境以供使役又恐洩露防禦工事秘密
page 6	夏季布疋刻已上市泰半為日本貨
page 6	漁船誤網水雷因受震蕩爆炸前晚龍鼓灘海面之慘劇全船粉碎死傷共十一人
page 6	國際社擬於下月發稿
page 6	醫務署希望藥劑化學師登記以備協助戰時之需要中醫舉行登記說不確
page 6	港九僑校籌備慶祝兒童節
page 6	冇本事搵世界自殺尚囑妻守節昨晨香港青年會地牢上發現跌斃無鐵路運輸國子屍首
page 6	兩陽工商會今日召開同人大會
page 6	平津新友社即將赴澳獻藝
page 7	體育界服役團籌辦足球義賽為兩婦女團體籌款救濟傷難暫定上海隊對抗廣東
page 7	滬足球三傑名位表
page 7	銅鑼灣足球友誼賽星島和海軍三比三大家瓜分六球胡好客串龍門有噱頭
page 7	東方留港三將將乘機飛岷俟領隊電覆即決定行止戰將不齊明夜恐難成軍
page 7	正廷杯女籃球明日補賽南華對半山甲
page 7	光華率師征澳
page 7	民大籃球隊戰美艦表演男勝女敗
page 7	漢文中學陸運各項成績優良
page 7	仿林校友球隊組師征澳擬清明假啟程
page 7	恩德杯排球賽東南大戰裁判員聘定
page 7	外匯牌價俱無變動美匯沉寂申匯仍淡
page 7	股票略形堅挺買家活躍賣戶堅持不放各股成交總值六萬餘元
page 7	國幣市況尚稱穩定
