page 1	農業國漠視農業
page 2	蔣主席昨出席國民大會報告經濟實況軍事形勢
page 2	人民窮困生產萎縮經濟確實相當嚴重
page 2	日本通訊怪事二三則
page 2	簽署國代問題主席團會議曾提出討論想以增加名額方式解決
page 2	年來國軍作戰兩個戰略目標
page 2	瀋陽長春錦州能守就能永久保障東北
page 2	華北西北努力作戰
page 2	今日起一連三天國大均檢討國是
page 2	華中方面軍事準備
page 2	議事規則的代價辯論八十小時花了四十億元
page 2	內外蒸熬下台糖生產日縮國內受了戰火的影響國外遭遇傾銷的打擊
page 2	宣威大火雲腿四十萬斤被燬全城損失達萬億元
page 2	觀測日全蝕美觀測隊中國組昨已離滬赴武康
page 2	政院通過遺產稅修正案提高起稅點減低稅率
page 2	平滬學生在苦難中便衣人員深夜闖入師院行兇學生八人血流滿被帶傷被捕滬暨大學多人也被毆被捕
page 2	民營輪船損失賠償共十一艘載重八萬餘噸
page 2	巴士德學院擬在昆明設分院滇省府允予協助
page 2	鞏縣失守鄭州益緊歸綏戰雲低迷平古線有激戰魯中國軍堅守昌　等地據點
page 2	司徒在穗酬酢忙今招待粵穗各機關首長昨拜會宋子文及歐陽駒
page 2	暹米二萬噸已運我國作救濟之用
page 2	首都各報工友罷工
page 2	晉中可望豐收
page 2	王陵基就職胡家鳳赴贛
page 3	美國急於成立西德政府傳已擬定計劃年內實施
page 3	對德管制會停頓今天的例會仍不開英蘇開始商討撞機事件
page 3	用槍桿支持西歐美政府正考慮用甚麼方式杜魯門閉口不談這個問題
page 3	杜魯門一心經武要求國會撥款擴充空軍
page 3	霍夫曼就職
page 3	西歐外長集會巴黎商討推行美援計劃
page 3	今日的西貢
page 3	特港歸於義國美英軍政府後天辦移交接收代表仍由軍政府指派
page 3	日本得意忘形又要收回鄰近島嶼又要擴大捕魚範圍蘆田希望在和會上如願以償
page 3	大選日期更迫近了義大利全境不安鬥毆的事件不斷發生美國否認用錢收買選票
page 3	澳外長演講反對重建日本
page 3	美國的生意眼希望泛美各國減低關稅好讓美國資本源源流入
page 3	廣州大雨涼到人心前後歷半小時入夜未止公教人員待遇四月加倍發給
page 3	南北韓政治領袖在平壤舉行會議美駐南韓專員不以為然
page 3	抵制煽動歪曲新聞新聞自由會議起草委員會決議
page 3	紐約摩天樓著火日皇養的鷄失蹤
page 3	暹政局真相畢露鑾披汶果然登台國務會議請他組新閣
page 3	瓊島農民苦崛內這樣說
page 3	公款何處去各行局移存央行的不多
page 3	中紡機件運穗穗新紡織廠即可成立
page 3	胡善恒即出巡
page 4	內河輪船管制辦法定今日起開始實行限制行李將使水客難做
page 4	港澳班機昨天正式開航
page 4	九廣鐵路繼續增班
page 4	二院護士學校今天舉行畢業禮
page 4	獅子石血案昨日審結送高院警方又控兩被告新罪
page 4	新界海灘設游泳棚港府招商投標承辦並規定游泳棚租用價格表
page 4	新荷蘭輪失火撲救迅速未受大損失
page 4	內河輪業昨又集會下午開始深夜纔散加價事今天還不致實現
