page 2	巴爾幹戰事爆發
page 3	歐戰又揭開一幕巴爾幹戰事爆發義希已發生衝突英國將履行擔保急起援希土耳其派遣勁旅開集邊境
page 3	東地中海英艦準備佔希島嶼
page 3	拉佛爾賣國求榮希特勒施以小惠
page 3	高爾設戰時政府號召法屬地歸附
page 3	甘納第謁羅斯福總統報告德國侵英戰事影響擁護總統三屆連任
page 3	阿穆萊演講希特勒必敗英帝國之戰迫近眉睫希特勒終必遭逢滑鐵盧
page 3	美國輿情主張武力制日採強硬措施時機已屆
page 3	澳洲內閣改組成功曼席斯仍任總理
page 3	阿部抵東京
page 3	美海長演講痛斥野心國家美將賡續加緊擴軍堅決維持公海自由
page 3	英郵輪被沉搭客多獲救
page 3	鑒於唇亡齒寒保南人心震動
page 3	希特勒抵義國兩巨頭昨會晤
page 4	浙東戰事愈猛烈我軍反攻紹興桂南出擊甚為得手邕寧日軍極感恐慌
page 4	日本華北美僑再受勸告撤退上海美僑已作積極準備
page 4	閩省當局振興漁業漁業管理局下月成立 
page 4	越南海關脫離維希完全受日人控制美商公司華籍職員三人被捕邊境中法軍衝突訊完全無稽
page 4	粵贛舉行聯防會議
page 4	建川遞國書
page 4	民生輪赴滬中途被搜查
page 4	梅思平下月赴日
page 4	綏蒙政會大會下月四日舉行察綏蒙旗黨務重新調整
page 4	美國財政援華的檢討二
page 4	閩測候網預定五年內完成氣象與物候並重
page 4	日機竟日擾滇昆明警報九小時半
page 4	窘態畢露日本電力供不應求工廠每週停工一日
page 4	各省市參議員不能兼參政員被選後須自行擇任一職
page 4	回教救國協會電賀土國慶
page 4	以勝利擊碎謠言
page 4	美加緊擴軍
page 4	既無意義何必侵華滬日報矛盾言論
page 4	日本南進的造因談談所謂大東亞經濟集團的內容五
page 4	上海日軍已成驚弓之鳥虹口南市滬西搜查仍嚴
page 4	日本的徬徨對英美尚企圖予以和緩一般預料外交或將轉向
page 5	日機肆虐粵南濫炸梅菉水東鎮兩處鬧市被投十一彈陽江炸後商業漸復興
page 5	易曉嵐獻穀馮玉祥贈詩
page 5	粵政務視察團分抵東江南路高信等在新會舉行會議劉志陸將赴增東寶視察
page 5	全團人員
page 5	視導任務
page 5	滇緬路重開後我進出口激增主要輸出品即可恢復原狀
page 5	三埠被炸死傷平民五十餘銀洲湖日艦施砲擊挺進隊參謀長易人
page 5	借款平糶
page 5	桂警察局嚴厲禁煙局員犯嫌被撤職修仁縣槍決煙犯
page 5	國大代表未完手續桂奉令積極進行大會雖延期籌備仍加緊
page 5	粵驛運處開辦曲岐線積極運輸鹽米
page 5	西康日記一九七第九編九龍木裏途中
page 5	中蘇文協在陪都舉行蘇聯農業照片展
page 6	統考港方錄取生教部未准改行分發應逕自請就近學院通融俟各校報部時可予承認
page 6	國立院校補招新生
page 6	美積極擴充遠東航業航委會駐遠東代表詹森擬在港作較長期之勾留
page 6	大型貨艇來港被劫失去錫紙等四箱
page 6	全港回教徒紀念降經因燈火管制影響聚餐等改期舉行 
page 6	燈火管制演習今晚開始當局希望市民切實合作務於今日準備掩蔽燈火
page 6	顏任俠講演海外華僑問題刻苦耐勞祖國觀念濃厚弱點在各地華僑無組織
page 6	中大研究院
page 6	瘋人作崇
page 6	組織冬泳團
page 6	神父精神會
page 6	高里斯演講
page 6	飛剪機愆期
page 6	義勇軍訓練
page 6	秋深風高物燥注意 防範流行病腦膜災肺炎及腳氣等症多因營養不足或傷風而致
page 6	返桂胞僑昨晨開始登記第一批滿二百人即遣送由港入桂路費需三百元
page 6	劉耿珂等提倡理教地址暫設英皇道
page 6	模型飛機賽前須知獻給參加比賽的同好
page 6	關於推進器
page 6	關於橡皮帶
page 6	關於機身等
page 6	中國貨品展覽會第四屆籌備舉行十二月二十二日起明年一月二日止地點半島酒店對面曠場
page 6	怎樣救國
page 7	東南大戰又將於週末來臨文奎日內返港東方統率有人雙方各有傷將陣容尚待考慮
page 7	各種杯賽參加極踴躍
page 7	一週戰事評
page 7	華人游泳會設冬泳訓練班
page 7	體壇雜訊
page 7	學界男子籃球定下月一日開始報名全部細則昨修正公布
page 7	美菲荷匯牌價略漲申匯市況續見好轉
page 7	股票市況沉寂買胃呆滯成交寥落
page 7	四四金市沉寂交易完全停頓
page 7	國幣價格再度上漲
page 7	論中衛線的重要性二
page 7	上海足球聯賽東華克法商戰情緊湊結果二比一許文奎客串演出佳美
page 7	戰術範式
page 7	尋找位置
