page 1	猶阿糾紛如何解決
page 2	魯西戰鬥持續進行東阿平陰攻守猛烈保守南下國軍正分路推展中
page 2	各部次長昨發表台省府人事全部決定行政院首次政務會議通過
page 2	各部次長名單
page 2	展開國民教育運動
page 2	台灣省府名單
page 2	新聞局即開始辦公中宣部長繼任人選未定
page 2	張群談政院改組意義行政院試行負責制政務會議注重要政策之決定
page 2	張群昨設酒會招待中外官員
page 2	處理綏區土地辦法決定修正
page 2	綏靖區政委會定明日起撤銷
page 2	各地物價待平抑全國物價會議昨商討辦法棉紗限價每件四百六十萬元京滬公用事業繼續予以補貼各校學生食米設法充分供應
page 2	國府主席負責對象憲促會常委會昨曾討論
page 2	司徒雷登抵青
page 2	桂永清談接收美艦尚待我方海軍人員訓練各港塢需巨款加以修理
page 2	西沙群島問題我與法方交涉中
page 2	接收大連海軍將參加
page 2	鄧錫侯抵京
page 2	加強沿海防務各地改設巡防處
page 2	越南華僑被炸案法方謂即將調查
page 2	漁業代表請願向海軍總部提出三要求
page 2	日本賠償分配遠東委會即將討論美要求各國表明意見以謀協議
page 2	華僑重返菲島菲政府仍反對
page 2	淩鴻勛等抵瀋
page 3	馬歇爾廣播演說暢論外長會議結果並報告與史達林會晤內容認對德問題仍可獲致協議
page 3	真理報社評稱道外長會成就
page 3	馬歇爾透露史帥意見華府外交界表示樂觀
page 3	馬歇爾向全美播講報告外長會議經過
page 3	必須具體解決各種複雜問題
page 3	重視馬歇爾演說
page 3	美副國務卿傳將由羅維特繼任
page 3	美國會多數議員讚譽馬歇爾演說裴柏表示美蘇應具妥協精神
page 3	德國問題談判牽涉世界安全
page 3	希臘內戰蔓延至克里特島
page 3	要求英軍退出北愛爾蘭領袖赴美覓取援助
page 3	貝文返抵倫敦強調締造和平必須忍耐希望今秋會談能有佳音
page 3	阿猶糾紛討論程序蘇聯遲未表明態度暹羅代表首次獲准加入
page 3	英工黨執委選舉反叛議員可佔優勢
page 3	關於德國賠償不應取自現行生產
page 3	日本選舉地方議員美報重視選舉中新人興起謂僅有牽制保守份子作用
page 3	社會黨新態度對保守勢力擬採協調政策
page 3	疆界問題一大爭端
page 3	墨總統訪美
page 3	美空軍將在日演習決定舉行三十晝夜美方否認訓練日本軍事飛行員
page 3	聯總副署長勃朗氏繼任中國分署長定期來滬
page 3	和約程序問題各國意見不同
page 3	對於四強公約問題蘇聯一味拖延時日
page 3	邱吉爾作畫送皇家學院展覽
page 3	美駐土大使返任
page 3	對奧和約重要之點未獲協議
page 3	蘇聯堅持各種建議不能求得意見一致
page 3	歐洲病勢奄奄一息大家不應一再拖延
page 4	星島隊首奏凱歌八比一大敗猶太裁判罷吹幾乎演悲劇
page 4	洛陽征輪籃球隊將再度來滬挑戰
page 4	戰後閒話
page 4	聯總外籍職員陸續解職返國各地分署尚存南京等六處
page 4	本市交際電報明起正式開放價目與發往外埠者問
page 4	防疫注射正在逐步進行
page 4	推事率法警驅逐原房客蔡汝傑告到參議會
page 4	第八醫院暫醫門診病人病房設備修建中
page 4	父親姦污親女阻女婚嫁毆打外室
page 4	無獨有偶逆子亂倫強姦庶母未遂懷恨親生母親
page 4	清華旅滬校友昨晚慶祝校慶
page 4	貢獻整套的參考用書介紹最新的各科智識
page 4	第一期書特價簡則
page 4	全書四六三冊三個月內分三次出齊已出第一期書
page 4	友聲童子軍團徵求新團員
