page 2	社評日本的幻想與囈語
page 3	我軍乘勝直薄荊沙宜郊殘敵一部消滅鄭州敵軍南竄已被我擊潰湘北我軍越新牆進迫岳陽
page 3	薛長官接見外籍記者縱談湘北戰績前線掩埋日屍逾四萬具
page 3	洛勞軍團出發慰勞
page 3	胡世澤奉召離瑞返國
page 3	蔣夫人向北美播講籲請勿再接濟日本
page 3	顧翊群繼任中農總經理
page 3	糧政推行順利軍糧民食必能完滿解決
page 3	滬孤軍營交通恢復
page 3	張若谷又被架往虹口
page 3	壽景偉等一行抵紐約
page 3	滇緬公路巡禮美公路專家恩斯坦談話
page 3	荷印陸軍參謀長答訪馬尼拉獎與美軍事當局會議
page 3	敵機肆虐飛襲粵北
page 3	粵僑資墾殖會李漢魂任會長
page 3	西北考察團一行返抵陪都
page 3	豫參議會在洛開幕
page 3	神鷹隊湘北殲敵記
page 3	美日談話無進展日派輪赴美撤僑
page 3	獎勵資金內移經部特定八項辦法
page 3	豫防棉蚜各縣棉花產量增加
page 3	日軍作戰失敗濫造和平謠言
page 3	北侵南進躊躇日報叫囂不休
page 3	蘇州城內一敵兵被狙擊
page 3	陝發現鹽礦專家前往勘查
page 3	豫節儲運動成績達七百餘萬
page 3	穆藕初抵筑視察
page 3	劉建緒就職
page 4	蘇生力軍開抵前線德軍攻勢略挫魯佐夫斯基發表談話蘇决不與德單獨媾和
page 4	蘇德戰局愈趨嚴重英輿論促政府援蘇人民要求在戰略上牽掣德國紅星報呼籲英軍合作
page 4	美國的經濟戰略恩源譯自八月份幸福雜誌五
page 4	國際青年勝利大會十一日晚在倫敦舉行英王向大會致辭勗勉
page 4	義在沿岸佈防提防英軍登陸
page 4	蘇德中路戰局
page 4	古巴宣布採取親民主政策對英美努力備極推崇
page 4	日在墨西哥設走私機關圖偷運水銀終被破獲事後又出資十萬行賄
page 4	巴拿馬新總統保證與美合作共同抵抗極權主義
page 4	駭人聞聽的屠殺塞爾維亞人遇害達三十餘萬德軍又在巴黎大肅清
page 4	蘇當局闢謠美蘇外交文件並未被人探悉
page 4	美在格林蘭破獲德電台
page 4	蘇德戰局轉穩
page 5	中央海軍學校在粵省招考新生分在曲江南路香港五地舉行航海輪機班學生定八年畢業
page 5	商貨通運暫行辦法
page 5	粵省府組工作隊檢討新縣制進行暫定曲江南雄始興三縣為今後改進計劃之依據
page 5	敵騎甫去山洪又發浙西各縣災情慘重
page 5	兩陽邊防鞏固各地秩序恢復
page 5	汽油過粵須向戰區領證
page 5	在越華僑被迫歸國又有一批抵南路
page 5	欽縣克復後破壞敵機場
page 5	鄒善群提請停徵入湘鹽稅湘北會戰期內需鹽必多惠濟戰區災民意義重大
page 5	梅茂吳三縣聯防綏靖
page 5	貴陽近事
page 6	入境領證限制日嚴商旅來往極感困難請求入境概經局長親自核奪
page 6	孫院長昨日演講蘇聯對外政策中蘇文協首次演講會顏惠慶主席致開會詞
page 6	英大使組織新團體救濟我國傷兵難民卡爾大使自任該會會長
page 6	防空工程案今晨續訊
page 6	傳金融會議考慮新借款注意凍結資金之運用
page 6	歐亞經理李景樅抵港談董事會開會經過決加緊我飛行員訓練國人自辦後力謀擴充
page 6	輔幣恐慌情勢昨日更趨嚴重有錢難買物有物難售出各商居公司紛印兌換券
page 6	戰債勸募報告成績十五日在華商會
page 6	歌詠界響應獻機運動昨舉行百人大合唱唱保衛中華及八百壯士計共籌得國幣達一萬元
page 6	沙田名流盛會何東老當益壯領導登臨斯義桂楊秀瓊各顯身手
page 7	星島遭逢滑鐵廬東方高奏凱歌竟成扶創披甲上陣三軍振奮五比二金海勇冠全場
page 7	昨日球賬甲組聯賽
page 7	工程不堪一擊士葛贏五比一
page 7	文治盾南華新兵出馬戰和聖保羅
page 7	全港中西渡海泳今日試身手下千時由九廣路局碼頭起尤世坤劉帝炳希望最濃
page 7	澳預賽杯足球賽無畏果然無畏四比二電燈隊力戰不敵無畏奪得決賽權
