page 2	鐵的證明與血的教訓
page 3	侵越日軍繼續南進滇邊各縣實行戒嚴法僑四人由滇飛渝將有協商
page 3	美國議論紛紜醞釀對日制裁
page 3	蘇聯真理報評日本侵越
page 3	滬交通工人罷工潮嚴重法租界亦波及車輛全停租界前途危機重重
page 3	中央兩項決議國民大會決定延期舉行並修正參政會組織條例
page 3	滬孤軍事件成立諒解營內恢復原狀
page 3	參政會內部即將改組名單亦經決定
page 3	華中煤油業竟被日人獨占外商三大公司被摒門外
page 3	陳嘉庚抵閩
page 3	哈特抵滬
page 3	許建屏被綁
page 3	西南聯大決定暫不遷川
page 3	浙海日艦滋擾長子我軍合圍
page 3	明年九月間的日全蝕一北平研究院長李書華廣播演詞
page 3	日放同盟空氣企圖威嚇英美
page 3	法國卑鄙聲明我方反感深刻
page 4	倫敦遭受最殘酷的轟炸德機集中轟炸中心區四十處中彈災情慘重
page 4	高爾謂德義圖佔達卡爾
page 4	法潛艇一艘被英艦擊沉
page 4	德外長晤桑納齊亞諾將訪德軸心國家又圖壓迫希臘
page 4	克羅斯檢討英航運英輪噸數較戰前未減少歐亞航運須繞道好望角
page 4	日大政翼贊會人選大致內定將提出閣議最後決定大權集有馬賴寧一身
page 4	新加坡事件日乘機恫嚇搜查經過並未違法日竟要求英方反省
page 4	江南淪陷區抗日情緒濃厚京滬京杭等交通線皆在我方控制之下
page 4	泰訪問團抵達日本並謁日皇
page 4	美國設立國防交通局從事有效利用電訊
page 4	新加坡組自衛團性質與英國民軍相同
page 4	德假道芬蘭運兵赴挪北
page 4	霍華德述遊荷印觀感凡有維護美國利益措施荷印當局莫不真摯贊成
page 4	最短命的協定
page 4	所謂德日同盟
page 4	松岡謁日皇報告外交情勢
page 4	羅馬尼亞大規模復員以應農作勞工之需
page 4	孫中山先生發展東北之遺教二
page 4	西非戰事繼續進行法機猛炸直布羅陀德暗示法將對英宣戰
page 5	二十八年高等考試再試及格者發榜八科共取一百六十一名銓聚部正辦理分發手續
page 5	粵省辦法
page 5	彭霖生解釋封鎖陳沖原因加強防務勢非得已希望地方勿生誤會
page 5	澳門取締售受防疫針證三機關昨午會商查獲者均須處罪
page 5	澳門禁銷外國彩票香港馬票亦在內
page 5	鄒大華抵韶講東北近狀
page 5	西南聯大遷校蔣夢麐抵渝接洽人與物的運送尚費周章
page 5	西康日記一七九第九編九龍木裏途中
page 5	粵省籌募滑翔機基金
page 5	廣西的合作事業上
page 5	粵驛運處擬儘先開辦兩線曲江至岐嶺及四邑運輸糧食與鹽等物
page 5	戰時需要
page 5	驛運歷史
page 5	中斷原因
page 6	我國名畫虎家張善子由美抵港出國宣傳所至大受歡迎獲得博士榮銜載譽而歸
page 6	友好要求週內在港作短期畫展
page 6	首赴法京
page 6	迎張善子記
page 6	中國文協會昨舉行首屆年會報告會務修改會章改選職員電林主席蔣委長致敬
page 6	會務報告
page 6	代督接受禾花艦並檢閱海軍義勇隊
page 6	本屆理事
page 6	工作計劃
page 6	海外部長吳鐵城昨乘飛剪機赴菲宣慰海外僑胞考察僑情日期及行程抵菲後決定
page 6	粵桂交通日趨便利由韶關至柳州行駛直達通車
page 6	移民局問題
page 6	英志願軍
page 6	書法源流
page 6	荳奶功效
page 6	唐紹儀葬地問題妻子間發生爭執各走極端聘律師進行訴訟唐氏故舊已出面進行調解
page 6	潘序倫博士今晚播音演講改良會計問題
page 6	當局即將頒令嚴禁婦孺入口設移民局限制人口增加
page 6	華南工商界對於會計應有的認識下
page 6	港當局宣布禁英輪赴越法國商輪仍可照常開行廣州灣交通尚未被波及
page 6	事業報告 
page 6	在美經過
page 6	出品一斑
page 7	雙十足球義賽決定華聯對西聯上週東方不出被判棄權罰款乙組遺缺將由海軍組隊遞補
page 7	星島渡海出征警察
page 7	上海救兵開到東方陣線增強今天約戰海檢討實力昨日友誼賽輕取聖約瑟
page 7	譚均幹汪蕙嫻今日結婚
page 7	弦外之音
page 7	南華週年水運今晚開始共有節目十三項
page 7	銀牌籃球仿友力克警察 
page 7	外匯牌價昨無變更美匯沉寂申匯穩靜
page 7	買戶遲疑觀望股票市況靜穩半日成交僅一萬餘元
page 7	四四金市仍屬靜穩
page 7	國幣市況復略堅挺
page 7	遊泳冠軍賽二百廿碼震南獲冠軍百碼胸泳吳年創新紀錄
page 7	文治盾排球後日開賽全部秩序已編定
page 7	劍光集
page 7	南華人馬不齊海軍勇戰告捷 
