page 2	軍事第一努力戰鬥
page 3	同蒲路東連日激戰我軍三面圍攻夏縣Ｘ傷亡甚大殘眾竄安邑聞喜豫南我軍進抵明港車站附近
page 3	津租界加緊封鎖平日方極力鼓動反英運動民眾願維持對英友好態度
page 3	廣西前進中
page 3	韋爾斯著文論日本危機ＸＸＸＸＸＸＸＸＸＸＸＸＸＸＸＸＸＸＸＸ
page 3	Ｘ機多架分向粵桂進犯
page 3	上海白俄組反共聯合會
page 3	中國復興搖籃之一雲南之人力與物力一恩源寄自昆明
page 3	滬Ｘ海軍發言人猶大言不慚海軍噸位落後無可掩飾單靠大和精神何濟於事
page 3	德記者返滬談我國實力雄厚蔣委員長堅決表示只有抗戰沒有和平
page 3	桂成人教育工作檢討會定期在桂林舉行
page 3	滬米價飛漲租界澈查囤積
page 3	桂成人教育工作檢討會定期在桂林舉行
page 3	北路慰勞團抵達鄂北勞軍
page 3	汪逆又排演醜劇大批暴徒佈置籌備處義陸戰隊趕到包圍拘捕
page 3	贛東各地豐收
page 4	英日東京談判顯有決裂可能日對政治經濟問題堅持不可分開討論
page 4	英美法政府會商竣事決定支持法幣態度
page 4	英國兩銀行友善表示願增加平衡準備金
page 4	日本虛張聲勢恫嚇民主國家軍部首領連日會議討論加入德義軍盟
page 4	英波談判結束信用貸欵成立總數共八百餘萬鎊
page 4	巴山哀一百韻
page 4	英國將舉行空軍大演習海軍造艦計劃將擴充新加坡駐軍亦將增加
page 4	羅斯福補充預算眾院度支委員會將總數大加削減
page 4	羅匈衝突雙方合組調查團以解決邊境事件
page 4	英艦隊訪土土國熱烈歡迎
page 4	德國飛機在仰光失事乘客幸無恙
page 4	英眾院休會反對黨雖竭力反對首相動議卒被通過
page 4	西班牙內閣傳將改組
page 4	英蘇法三國談判有進步法軍代團定今日赴英共同乘輪前往莫斯科
page 4	巴拿馬增防美眾院已通過添築三道水閘
page 4	德經濟侵佔但澤波密切注意法報傳德將利用匈牙利由匈境借道向波蘭進攻
page 4	認識日本
page 4	大言不慚
page 5	我反攻江會線各路軍在挺進中中山團隊抗戰有功傳令嘉獎
page 5	昆明物價
page 5	Ｘ機飛石岐散發傳單
page 5	東戰場上我軍到處活躍杭洲Ｘ軍惶恐撤退嘉只改由偽綏靖軍開往駐紮
page 5	欽廉沿海Ｘ艦頻向漁船肆虐焚燒殺戮極盡騷擾能事廣西南寧各處迭遭轟炸
page 5	黨政軍聯會決定粵北大量儲鹽先屯五萬市担足敷三月之用分配連縣曲江樂昌南雄等縣
page 5	滬氣候反常時疫叢生各醫院均客滿
page 5	粵境半年來空襲統計
page 5	戰後上海學校日益增加總計達七百六十餘所新設者有如雨後春筍
page 5	惠淡公路再被轟炸
page 5	韶關Ｘ貨限期封存拍賣
page 6	中央軍校廣西分校招考海外僑生港澳兩地共錄取十五名粵僑務處負責辦理考試
page 6	史諾近況參加工合上週飛渝遠東的明興將出版
page 6	藝術界籌賑會名伶明星會串十日十一兩晚在利舞台薛馬譚合演兩名劇
page 6	廠商聯合會通告會員獻金
page 6	港九小販決定義賣六天將港九分九區分別舉行曾領牌照攤位為義賣場
page 6	日軍敷設水雷地點港當局公佈
page 6	現代中國藝術漫畫木刻展覽會今日起在香港酒店展出會期一連三天至六日止
page 6	法國醫生亦來華服務
page 6	一號風球昨懸出颶風有襲港可能兩旋風同時在海外發現昨日清晨大雨得水寸餘
page 7	下季足球聯賽定九月廿三揭幕乙組共十六隊將分區舉行決定雙十節舉辦足球義賽
page 7	暹羅網球隊明日可抵埠港方人選秩序已排定比賽地點決在木球會
page 7	美女游泳家羅爾絲氏將改習飛行
page 7	菲業餘體育會積極提倡足球準備派隊參加世運會
page 7	港乒乓球界擬組織總會
page 7	德權鼎小球賽程編定週末有六場
page 7	海外風雲集
page 7	中華體協會執委會明午會議
page 7	鍾聲社籌辦水陸遊藝會
page 7	外匯牌價仍不動申滙市再略好轉中國銀行拋出申鈔三百萬英匯及美匯市況仍屬靜穩
page 7	股票市無起色買賣範圍仍屬不廣全日成交僅十萬元
page 7	八九金市殊乏生氣買賣寥寥價少起落
page 7	英金不動英銀續跌
