page 2	社評英國外交與東京談判
page 3	晉南我軍克復沁源潞城壺關亦有戰事我空軍飛連城轟炸Ｘ甚恐慌
page 3	Ｘ機轟炸宜昌捐害英僑財產英海軍當局發表聲明日方狡賴於事實無補
page 3	北平反英運動愈演愈烈英僑設法避免意外恐嚇信件繼續散發
page 3	戰地心影錄三
page 3	江南我軍向上海挺進前鋒已到嘉定境內
page 3	津美僑受辱日方業已道歉
page 3	綏境偽軍二千餘人反正
page 3	吳忠信下月初入藏
page 3	陳部長痛斥汪逆續賣國求榮招搖撞騙愚蠢無恥不值一笑
page 3	國際學生大會三屆會議閉幕陳部長向代表廣播演說請與法西斯主義相搏鬥
page 3	顧大使演說
page 3	上海女大校長附逆教職員聲明脫離
page 3	Ｘ在武漢辦政訓班
page 3	滬西偽警包庇賭窟與租界英警衝突工部局決向日提抗議日機關報又狂言向英恫嚇
page 3	津郊水勢洶湧海河南堤業已潰決特一區有被淹危險
page 3	粵肅奸大會定二十四日舉行各界積極籌備中
page 4	日本如再妄圖壓迫英將繼美廢約美擬加強太平洋艦隊為民主國家對日後盾
page 4	日陸外兩省決定對英態度談判即再開亦須移津華北日軍將單獨行動
page 4	程案四華人可望不予引渡津英律師晤四華人後已草就文件即日寄滬
page 4	美民主黨議員呼籲制裁日本雅納爾抵舊金山將謁羅斯福報告
page 4	英報記者在但澤被逐
page 4	對東歐局勢英法態度鎮靜即定政策決不改變波蘭但澤談話停頓
page 4	但澤問題檢討一
page 4	德國向匈壓迫傳要求締約匈外長與義當局商討
page 4	法駐義大使返抵羅馬將訪晤義外長
page 4	波蘭否認虐待德僑
page 4	義國對德態度曖昧
page 4	布克哈特將謁希氏
page 4	德斯簽訂軍事條約
page 4	齊亞諾出巡抵梯倫那墨索里尼亦將繼任
page 4	士埃軍事談判埃代表團抵伊斯坦波將在土京安喀拉舉行
page 4	荷蘭決增強東印度實力
page 4	南總理演說請人民團結禦侮
page 4	英總選問題傳定十一月十六日舉行邱吉爾入閣一時難實現
page 4	弗朗哥下月聘義並將訪問梵諦岡
page 4	英軍用飛機出產率大增
page 4	從注視到行動
page 4	無辦法的表現
page 4	Ｘ軍人專橫赴德義軍事使團竟不受政府節制
page 4	泰山結婚新娘為交際花
page 4	北路慰勞團在鄂東勞軍
page 5	東寶戰事穩定我軍開始反攻犯龍岡之Ｘ昨已全部潰退樟木頭展開爭奪戰
page 5	欽縣小學生請纓殺Ｘ
page 5	Ｘ猛犯睦州遭我痛擊登陸之Ｘ退回艦上
page 5	南路各地迭遭Ｘ機狂炸
page 5	暹羅大部華文報被禁後Ｘ人乘機活動由一台人出面組織泰京日報
page 5	菲島我抗戰畫展獲得國際同情請願美國停運軍火赴日外賓二萬餘人簽名響應
page 5	斥注逆叛黨賣國張發奎向廣東同胞廣播二
page 6	八一三義賣獻金約得國幣五十萬元大華國泰舞場成績良好筲箕灣三區今日起義賣
page 6	軍分校招生報名最後一天今日隨到隨受首次檢驗合格生定今晚二次檢驗
page 6	潮僑學會救鄉委會成立劉世達談救鄉運動意見發表宣言通告海外潮僑
page 6	滬實業鉅子姚俊之過港赴星考察實業
page 6	公共防空隧道當局放棄建築政府機關設臨時避難室各校校長多受防空訓練
page 6	九龍童軍露營將在獅子山小西湖舉行九龍區已有十八團參加
page 6	投筆從戎青年學生鄧樹輝留家書不辭而別
page 6	港當局籌辦難民織造工業向英國訂購織造機多架難民工業製品銷行本港
page 7	昨晨公開棒球賽中華智取岷甸奴
page 7	德權鼎小球鏖戰記新青輸得慘
page 7	白城運動會詳記
page 7	夏令籃球賽虹虹大勝今日無戰事
page 7	孤島游泳錦標賽溫敬令揚威五十碼第一華人一頁光榮史
page 7	仿林女中主催伯南杯球類賽將於下月中旬開始舉行
page 7	洋水將創造新紀錄
page 7	電話室
page 7	本港工業景氣上半年貿易出口達二千五百萬元
