page 2	社評國際援華的平行動作
page 3	中樞機構將加強粵軍事從新部署
page 3	津租界問題依然僵持中Ｘ方更提無理要求藉口改組界內警察
page 3	張煜發明松香提煉柴油即將在黔設廠製造
page 3	我軍襲餘杭Ｘ工事兵車被毀
page 3	德報注意我西南新道路認日機無法施行轟炸為中日戰事開新紀元
page 3	滬租界聞槍聲
page 3	南匯奉賢仍在我軍手中
page 3	Ｘ犯運雲港我軍冒雪抵抗
page 3	內蒙領袖沙王會見記
page 3	潿洲島Ｘ迫民眾習日文
page 3	熱河的民眾受盡了Ｘ人的壓迫熱烈的眷念著中央
page 3	李宗仁白崇禧通電聲討汪兆銘海外歸僑亦發聲明請求宣示中央決策
page 3	威海貨運Ｘ頒限制條例
page 3	Ｘ新閣難關重重對內對外均艱於應付財政問題更是致命傷
page 3	太平之Ｘ利用漢奸作惡
page 4	張伯倫訪義羅馬準備歡迎將與義相談話多次新四強會議醞釀中
page 4	英努力製造空軍德飛機數量仍佔優勢但相差數字即可大減
page 4	美政府準備提出法律案授權政府報復德日
page 4	瑞士客機在巴黎以北失事死傷乘客十四人
page 4	日在德購機
page 4	捷匈邊爭停止開火混合委會進行調查捷克答覆匈方抗議
page 4	義對西陰謀暴露圖在英相赴義前有結果西戰甚激烈叛軍有進展
page 4	美惡棍大王開釋有期須交二萬元罰金
page 4	向建國之路邁進後方總動員青天白日大霹靂專家皆作獅子吼
page 4	英築新艦常駐遠東新加坡將增二主力艦速度裝備均勝於日本
page 4	完成北非之行達拉第返國途經柯蘭作簡單演說申述明興協定之立場
page 4	詹森赴巴黎
page 4	法境雪崩壓死滑雪者八人
page 4	美議員提議中美洲開運河巴拿馬運河極易破壞美陸長敦促總統擴軍
page 4	德新建裝甲艦編入艦隊服務歐戰後所建之第一艘西國北設潛艇根據地
page 4	汛美會議意義重大
page 4	巴境糾紛死亡統計死二千人傷萬餘人
page 4	粵省府救濟難民
page 4	Ｘ新閣的苦惱
page 5	西江團隊愛鄉心切我反攻沙灣市橋澈夜激戰官兵士氣始終旺盛河清之Ｘ架鐵絲網防我出擊
page 5	惠陽縣努力善後清掃市面實施工賑體恤民艱豁免地稅
page 5	澳門弛禁糧食問題各行商今午集會經濟局長參與討論
page 5	漢藏關係進步高長柱抵渝述職
page 5	粵桂公路全線築竣已告通車加鋪石子俾利載重
page 5	南海Ｘ艦四出焚劫我漁船先後遭難一百餘艘
page 5	一九三八孤島彈痕錄
page 5	汕頭法院易人
page 6	粵主席李漢魂關懷本港難胞致電查問俾設法救濟深圳收容所水電可望解決
page 6	港衛生當局厲行防疫運動六埠輪船抵港須入禁海積極推行各區清潔工作
page 6	港萬餘機工熱烈參加還債運動昨機工會十科領袖大會即席選出委員二百餘人
page 6	港粵海關人員寧死不與Ｘ合作回省服務說不確
page 6	天氣冷了難民
page 6	英賑募捐會昨發表宣言
page 6	限制難民由澳來港女性亦須繳示廿元新辦法已由一日起執行港澳輪上有人西紙出租
page 6	本港決定建偉大兵營
page 6	華北Ｘ軍發生糧荒在港搜購四百包惟本港糧價常穩
page 6	聖保羅舉辦籌賑遊藝會
page 6	歌姬籌備六次義唱
page 7	昨日甲組足球聯賽光華再度和士葛先時一帆風順熾芬兩陷敵門最後十分鍾內不幸前功盡棄
page 7	南華捷報第一聲大勝法聯隊結果七比四陳德輝連中四球兆榮兩建奇勳斗文亦獲一功
page 7	甲組聯賽目下形勢
page 7	女子籃球今晚三場
page 7	重慶籃球籌款賽滬友戰勝中宣六八比四二雙方演出精彩
page 7	重慶慈善網球賽王文正大顯身手
page 7	海外鱗爪
page 7	大生杯排球賽保羅勝南華
page 7	對外貿易委員會鼓勵國產外輸對外貿易以香港為中心全國土產多集中於昆明
page 7	本港奢侈品進口消耗數量驚人烟酒香水魚翅燕窩尤為大宗
