page 2	哈勒因河一帶之形勢
page 3	閩粵我軍先後報捷克復澄海衝入潮安東戰場游擊隊向蘇州突襲
page 3	陳立夫部長談戰時教育希望青年努力所學但任將來建設工作
page 3	父子兄弟爭願從軍殺Ｘ
page 3	黔桂鐵路短期內興築測量已大致竣事預計二年半完成
page 3	冀南Ｘ軍屢遭我軍襲擊
page 3	南路慰勞團由長沙赴前線沿途備受軍民歡迎
page 3	蒙偽邊境衡衝突擴大蘇日砲戰猛烈蘇機深入海拉爾上空最重轟炸機大批出動
page 3	艱苦奮鬥中之收穫續何應欽在七七紀念會中報告
page 3	德籍士兵着日海軍制服在滬虹口出現
page 3	以上接第二版社評
page 3	汪逆兆銘之末路梁王兩傀儡發表談話揶揄中流露排斥之意中華日報整批歸廢紙
page 3	Ｘ機濫炸美國提出抗議
page 3	蔣委員長謝林主席慰問
page 3	英議員質問對華信用放欵赫德森拒絕公布數字
page 3	暹僑七七獻金共達七十萬元
page 3	行政院會議積極肅清私存烟土督辦人員業經派定
page 3	蘇聯駐華大使盧幹滋逝世請假返國養病汽車失事罹難
page 3	關外游擊隊破壞北寧路
page 3	我大隊空軍飛臨汾轟炸
page 4	張伯倫重申諾言全力援助波蘭希望德國遵循和平一切談判均屬可能
page 4	柏林官方認為不足改變現勢里賓特羅甫稱病離京內部意見衝突深刻化
page 4	波蘭極端滿意英態度具體化法一般輿論表示贊同對談判可能感覺不安
page 4	瑞士報紙揭破德對波三陰謀用武力造成既成事實再威迫利誘使波屈服
page 4	對蘇方建議英法考慮中英將再發新訓令
page 4	今日之法幣政策
page 4	義政府驅逐南泰羅爾外僑英法荷等國密切注視中
page 4	南保外長會談官方發表公布願守獨立中立
page 4	日陸外兩省決定對英談判態度反英運動愈演愈烈青島英領館被襲擊
page 4	日本竟欲長期封鎖
page 4	日方審訊斯比爾氏
page 4	後日法國國慶巴黎盛大慶祝將舉行大規模閱兵式英美陸海空軍亦參加
page 4	英法兩國議員商遠東局勢法眾院代表團應邀今日訪英
page 4	導演者的喝采
page 4	悼盧幹滋大使
page 4	張伯倫的演詞
page 4	齊亞諾抵西報聘
page 5	Ｘ軍揚言總攻中山局勢漸趨嚴重石抱奇奉命赴前線督戰Ｘ機連日濫炸岐關車又被襲擊
page 5	粵北出征軍人家屬代表團熱烈慰勞九日起至廿八日止慰勞地點達廿餘處
page 5	韶各機關女公務員將受集中訓練
page 5	嚴禁收藏謊謬傳單
page 5	江會沉寂睦州仍緊
page 5	潮汕難民省府現正加緊搶救梅縣興寧設收容所
page 5	第囗戰區政工會議決定工作方針九日在韶閉幕
page 5	汕警局長張發明現正奉令側擊Ｘ人
page 5	　州盜船被捕
page 6	我國工業逐漸發展奠定建國之基礎全國現有工合社一千所抗戰後工業品足供自給
page 6	全中國現有工合社千所
page 6	獻劍慰勞委員會舉辦文藝晚會及球賽籌款請吳鐵城開球宋慶齡頒獎
page 6	東南工合區發展極迅速
page 6	粵紅十字會服務團工作報告團長黃雯已彙呈婦慰會服務人員工作均極努力
page 6	重慶大轟炸在焚燒中益增抗戰決心現在娛樂戲院開演
page 6	謝公展畫展今晚八時閉幕
page 6	時人往來
page 6	各僑團續繳回七七紀念花欵婦慰會報告籌款之成績超立研究社義賣已結束
page 6	馬上球王皇后戲院今日起映
page 6	僑校畢業試分別放榜
page 6	女青年會附設防空訓練班定八月中旬開課
page 6	霍亂流行一週內死六十餘人
page 7	芬京世運籌委會舉辦各項邀請賽俾參加各國熟習場所天氣火炬接力決在揭幕前舉行
page 7	傑志足球隊要求升級加入乙組聯賽
page 7	英國拳手蘭哈菲躍登王座奪得世界輕重量級錦標杜爾一蹶不振菲力稱霸
page 7	游泳之意外及救生
page 7	華人水球開幕戰南華南獲勝結果三比零擊退華人華今天下午六時半有兩場
page 7	英業餘體協會白城大會伍特遜稱雄
page 7	心嘉杯小球永南昨得利
page 7	本年五個月來全國對外貿易港佔出口第一位共計八千八百五十餘萬元日本竟佔入口總額第一位
page 7	八九金市買戶較多市況靜後略堅昨日價格略漲
page 7	外匯牌價不動英美滙市仍靜申匯先穩後靜買賣尚多匯豐吸進申鈔四十萬元
page 7	股票派息期近市況昨見好轉計成交共三千三百餘股總值達二十萬零九百元
