page 2	論目前的戰局
page 3	晉冀我軍迭獲戰果平津正太交通中斷桂南各路我軍近屢卻日軍
page 3	英大使抵渝對解決緬甸路問題重慶人士期待甚殷
page 3	行政院例會 
page 3	粵當局加強全省保安機構成立省保安司令部
page 3	陝臨參會三次大會開幕
page 3	國府明令褒揚邵虛白
page 3	粵西江各界中秋獻金為戰士購寒衣 
page 3	行政院核定募寒衣三原則令全國各機關遵照辦理
page 3	陳大使捐款響應寒衣運動
page 3	美新聞界聞人霍華德抵渝今日謁蔣委長後即來港
page 3	日本逐漸落入法西斯的窠臼政治結社將被全部解散新體制組織大綱內容
page 3	贛芝陽師範建國儲金成績為全省冠教廳特電嘉獎 
page 3	上海法租界戒備更嚴密劉吶鷗被槍擊斃命
page 3	青年團講習會課程結束一行由峨眉返渝
page 3	日本財政困難實行緊縮政策河田烈減少下年度預算
page 3	私立專科學校招生手續教部主管人予以闡明
page 3	蔣作賓等由筑返渝 
page 3	日機襲川鄂渝市上空曾起劇戰廣安城內發生大火
page 3	在滇擴大紀念週席上何部長報告抗建現勢第二
page 3	粵南我軍猛攻神岡
page 4	越南拒絕假道日曾提出最後通牒美報駁斥對日妥協
page 4	蘇彝士以東英屬地將舉行會議希望互易有無自給自足英國考慮維持近東商業
page 4	紐約摩天大廈發生火警黑煙數里可見
page 4	美要人贊助我工合運動羅斯福總統撰文響應雅納爾上將致力推進
page 4	匈軍開入羅境後羅人心更騷動德國大軍候命羅邊境土希繼續非正式談判
page 4	英國一年來的外交與軍事路透社記者撰文論述
page 4	外交進行前途樂觀
page 4	陸軍地位努力改良 
page 4	德機襲英採取新戰略以大量戰鬥機隨同轟炸英機飛襲德義法荷 
page 4	海軍實力繼續增進
page 4	英閣改組傳說又熾
page 4	邱吉爾明日報告戰況
page 4	太勢定了
page 4	學得像否
page 4	空軍戰績相當滿意
page 4	巡視太平洋防務途中的美國海長諾克斯二
page 4	東非義軍向甘雅推進布那因地勢孤零該處英軍已後撤
page 4	英美根據地談判雙方獲得同意此項協定不久可宣佈美總統演講固防禦侮
page 4	錯亂群山
page 4	而見縮小
page 4	為國服役 
page 4	教之導之
page 4	禍亂時代 
page 5	韶關最近被炸兩次委座關懷電詢災情李主席已具報並請示撫卹事宜市區加緊疏散及謀恢復
page 5	中山游擊隊破壞日方交通岐關客車在三廠被擊格斃所謂密查組長
page 5	渝市參議會駐委會討論復興重慶市問題消極方面趕辦疏散急賑積極方面解決生活問題
page 5	大亞灣海盜猖獗團隊竟被包圍地方負責善後
page 5	防止舞弊准人告密粵省府重申前令
page 5	惠州形色記
page 5	救國公債在滬支取息金可托銀行代領
page 5	桂林點滴
page 5	西康日記一六二第八編九龍見聞
page 5	韶海關解釋棉紗進口非申新等三廠出品仍照中央電示禁止
page 5	桂戲劇界響應獻機雙十節演出籌款
page 5	桂退伍學生軍優待升學復學省府訂定四項辦法限廿日前到校入學
page 5	廣東禁酒釀造米酒禁令加嚴相當時間將禁售飲
page 5	防禦步驟
page 5	鞏固治安
page 5	恢復市容 
page 5	計劃建新都市
page 6	暑假期滿各級學校相繼復課時局影響僑校學生減少婦孺疏散英童書院停辦
page 6	僑港三大學
page 6	霍亂症繼續蔓延三日內發生廿三宗
page 6	員生登記第十二批公布師生共十八名
page 6	禁米出口令撤銷米價漸次回跌港越交通恢復供應無虞上週越暹米價漲落情形
page 6	粵港基督教國難籌振會籲請各界援助發表宣言歷述過去工作印就捐冊日內即可發出
page 6	各界振聯會捐助學生回韶川資撥群眾公益會白米五十包維持該會施食櫥俾免中輟
page 6	太平洋鯉門兩輪先後由越南來港奉英領事命令匆匆啓碇據傳港越停航另有內幕
page 6	學生振濟會設立民眾夜校免費招收男女生一百名八日開學九日正式上課
page 6	大欖湧十一號橋修復工程招商承投
page 6	美記者視察團今日由菲來港逗留一宵明晨原機返美團長曾由仰光飛往重慶
page 6	紅磡街坊八一三捐款第二批款昨已匯出
page 6	全球大風雨問題據本港天文台長談稱或非純屬儀器的預測
page 6	中秋節將屆月餅上市餅價比去年貴 
page 6	廣州大學教授陳文拒金辭官記
page 6	太古公司宣布佛山輪中止赴粵原因未詳原定今晨啟行一說我軍襲粵發生激戰
page 7	本週足球義賽軍聯隊無暇出場因日期迫促擬改在下月舉行光華警察聯隊日內約戰東方
page 7	滬公開游泳賽刷新紀錄兩項
page 7	東方操練小記
page 7	滬網球表演賽林王雙打出色卡遜史規亞屈居下風小將許承位經驗不夠
page 7	美菲荷匯牌價回縮英匯沉寂申匯略淡
page 7	八九金市仍穩但靜
page 7	國茶外銷三年來概況
page 7	滬外匯市先緊後穩 
page 7	股票市況好轉昨日買賣範圍轉趨廣大成交總值十萬六千餘元
page 7	國幣市況略趨下游
page 7	星島歸鴻 
page 7	愛爾蘭杯賽西園勝金城
page 7	光華新姿態兵強馬壯實力不容小視大小告山奴等加入助陣
page 7	特別銀牌籃球賽今晚召開委會商討比賽章程決定開賽日期昨日夏令聯賽知行南商敗北
