page 2	社評望全國警惕自重
page 3	華府談話入新階段美國提出最後方案包括日軍從中國撤退等三點日態度仍狡猾傳來栖將返國
page 3	日本圖爭取時間俾獲得喘息機會倫敦觀察美日妥協可能甚微
page 3	郭外長延見英美大使
page 3	歐陸的沉淪三
page 3	馬來亞英總司令視察沙勞越防務
page 3	柔佛記者會電領袖致敬
page 3	于院長
page 3	日本狂妄建議泰決予拒絕鑒披汶昨晚向全國播講
page 3	國民參戰會公祭三參政會蔣委員長親臨主祭儀式隆重空氣肅穆
page 3	滬美海軍陸戰隊趕速撤退上海市民冒雨送行半老俄婦悽然吻別
page 3	星洲警察總監參觀中央警校
page 3	拉第摩氏研究東北問題感覺興越濃厚
page 3	豫我軍繞擊中牟粵敵抽調兩師團出海他往敵機殘骸內搜獲重要文件
page 3	西寧各界盛大歡迎甘寧青黨政考察團滇黔區考察團分組視察
page 3	津物品輸出已局部鬆弛
page 4	莫斯科之戰形勢益見嚴重左右翼繼續血戰中
page 4	南游擊隊活躍德疲於奔命克羅西亞德義明爭暗鬥
page 4	里賓特羅甫狂言抨擊美國援助英蘇力圖掩飾歐洲反德怒潮
page 4	在圭亞那登陸陸軍飛機亦出動
page 4	黎巴嫩宣布獨立國防由聯軍擔任
page 4	英美之對日包圍陣一
page 4	南非舉行會議提高轉運能力斯末資演說闡明重要性角城負有冰島同樣責任
page 4	大西洋英美海軍將擴大合作範圍聯合行動保護航線
page 4	自由法國委會英將予以承認視為一切自由法人代表解決海外領土問題對象
page 4	北非繼續混戰英軍地位好轉多布魯克孤軍已取得聯絡英軍克復錫第雷澤
page 4	戰場變化多端雙方作運動戰
page 4	德軍企圖東進直搗英根據地紐西蘭軍繼續向西發展
page 4	八十萬萬元國防供給案美眾院委會通過
page 4	英軍調整補充準備二次攻勢英機曾重創德軍坦克隊
page 4	李維諾夫飛赴星洲
page 4	美機廠工潮已告一段落八千工人已復工
page 4	加擴充陸軍
page 4	丹京發生暴動反對加入反共協定
page 4	誰需要喘息
