page 2	近衛新閣透視 
page 3	浙東我軍圍攻鎮海蕭山南城繼續巷戰
page 3	我發動一切力量重建運輸系統滇建廳長由渝返昆談話 
page 3	五路進犯稷王山日軍迷夢被粉碎
page 3	滬領團會議定後日舉行討論制止恐怖行為問題日本發言人攻擊開斯威 
page 3	郭大使電唁張似旭家屬
page 3	農林部部長陳濟棠就職
page 3	青島美日又起糾紛
page 3	湘合作事業農民銀行力予發展在各縣設合作金庫
page 3	蘇教育學院由桂遷回蘇北下月開始招生
page 3	有錢出錢有力出力
page 3	群奸逐利記周陳私記銀行競爭益烈汪陳進讒周態度日消沉
page 3	李惠蘭女士談鍾師長殉職情形遺體本月底由渝運桂安葬
page 3	川省積極改進畜牧
page 3	美國向我採購銻鎢
page 3	時人行蹤
page 3	僑慰三分團連日在陝參觀即將南下返渝 
page 3	近衛的新衛星近衛新閣僚素描
page 3	新越督就職
page 3	滇越鐵路客運照常
page 3	日機又襲渝僅在郊外盲目投彈被擊落偵察機一架
page 4	日近衞新閣成立陣容貧弱多二三流官僚
page 4	軍部三條件
page 4	美國有意禁廢鐵運日藉以抵制日對華之封鎖
page 4	德義兩國期待英國答覆哈里法克斯將有表示教皇正竭力斡旋和平
page 4	美議員多瑪斯論民主黨政綱倘菲島遭他國侵略美國將在遠東作戰 
page 4	波羅的海三小國自動併入蘇聯最高蘇維埃將予接受德蘇接壤地帶益延長
page 4	美議會討論國防軍費案強迫軍役案將有激辯議會暑期休假將取消
page 4	不必做夢
page 4	三國歸蘇
page 4	汎美大會正式會議謀加緊團結使成為一經濟國防單位赫爾將發表重要之演說
page 4	近衛的新衛星本文由第三版轉來
page 4	政制極權化
page 4	蘇報之評論
page 5	中山日偽軍火併婆蘿島激戰昨午未停衝突原因為了十萬元
page 5	古井我軍砲擊睦洲
page 5	積極維持三埠治安
page 5	會城以西激戰仍烈
page 5	渝防空洞內發敬老慈幼袋市黨部餽贈暑藥糖果編送空襲須知十五條 
page 5	粵軍區納金緩役辦法略有變更中籤者須倍課
page 5	昆明市積極調查戶口人事變動嚴格登記切實整頓保甲組織
page 5	西康日記一二五第五編由榆林宮到梭坡
page 5	曲江加緊實施新縣制全縣人口統計完畢較前增加四萬餘人
page 5	教師唐克中慷慨從軍桂省府傳令嘉獎
page 5	川教廳長報告國民教育籌辦經這五年計劃提前三年完成經費師資辦法均經規定
page 6	下次立法局會議質問疏散婦孺問題葡籍議員提問題十六項著重對種族之差別待遇
page 6	利威行劫殺案李雄魁判處死刑被告稱行劫係他人主使官謂根據法律不能卸責
page 6	中國新聞學院昨舉行畢業典禮張一　頒證書並致訓詞
page 6	港回教團體電慰渝被炸教胞重慶回教協會來電報告
page 6	國立院校統考昨圓滿結束師範生公費生今晨口試組別編定分兩試場舉行
page 6	孔聖誕辰四大公司按照國曆紀念商會召集有關團體會商各孔聖團體均表示反對
page 6	聖約翰救傷隊昨開始局部動員
page 6	後備警察隊開始招收新隊員增加名額五百五十人短期內可為社會服務
page 6	夥同行劫罪不能赦 
page 6	主控律師縷述案情 
page 6	幾個訪問關於僑胞歸國之種種
page 6	省振會裏
page 6	陳袞堯談
page 6	一個集會
page 6	葉蘭泉談
page 7	東方延期返港日內將出征爪哇昨日在星舉行慈善賽結果四比一大勝華聯
page 7	協會報告書定日內發表
page 7	足球總會將討論新會員請求書星島隊能否參加甲組賽須待委員會議共同決定
page 7	澳復旦杯籃球前日開賽打泡戲警察逞能
page 7	下屆足球聯賽南華一隊參加
page 7	公開乙組籃球精勵力克長虹結果五十一比四十二
page 7	港九乒乓選手慈善比賽今晚在聖安奴舉行
page 7	外匯牌價俱無變動美匯申匯市況穩靜
page 7	國幣市況仍甚堅穩
page 7	歐洲醞釀和平股票市況堅穩人心趨好低價股票買戶眾多昨成交總值約近十萬元 
page 7	八九金市昨日市況穩靜
page 7	夏令籃球賽今日兩場星期日召開委員會
