page 2	士風與政治
page 3	晉南我軍勢如破竹中條山麓連克要點神勇空軍飛晉南贛北助戰
page 3	日汪對我民眾殘暴如出一轍淪陷區同胞竟橫被屠殺 
page 3	蘇官方通訊社斥日人造謠同盟社所傳用意全在挑撥
page 3	滬日軍暴行錄外籍記者目擊慘狀
page 3	黃杰抵柱將就軍分校主任職
page 3	開發滇礦產華西建設公司與滇當局合作
page 3	桂南義民中央允撥款救濟並辦理生產事業
page 3	蔣兼主席發布致川父老代電郭勸出任鄉鎮保甲首長為地方服務為國家效勞
page 3	澳門葡日糾紛葡政府將向日提抗議並進行交涉保障權益
page 3	勘測金沙江試航隊工作將完成 
page 3	張彭春任駐土全權公使
page 3	褒揚李輝南
page 3	日機襲渝被我擊落一架
page 3	南僑慰勞團今日由渝出發前線
page 3	平抑滇物價中央將派員赴滇設日用品平銷處
page 3	桂建設廳召開研究員大會黃主席親自出席報告對政治軍事均抱樂觀 
page 3	今日為勞動節中華海員黨部發表宣言勗勉海員努力為國效勞
page 3	美旗盤華員捐款救濟傷兵
page 3	羅翼群返韶日內銷假視事
page 3	李主席談粵省政近狀食糧問題大致解決新縣制實施亦順利
page 3	留英庚款考試本月半起開始報名八月初分四地考試
page 3	日本經濟戰的脆弱性二
page 3	贛北猛攻德安瑞昌湘北設伏重創日軍
page 4	德機不斷越境侵入南國上空東南歐仍密佈彤雲德義關係似近又遠
page 4	挪中聯軍繼續登陸
page 4	英蘇商務談判事賡續商洽中邁斯基遞送蘇復牒英認困難問題仍多
page 4	歐局烽火瀰漫美國輸出景氣航運造成十年最高紀錄飛機出口數量賡續增加
page 4	滬美僑電國務卿請貸款維持法幣以經濟援華此正其時孟祿博士返美亦擬繼續呼籲
page 4	美遠東政策立場極堅定史帶由美返滬談話美對日將實施禁運
page 4	比經濟學家在美發表演講
page 4	越印互相供給軍火已決定互惠辦法
page 4	赫爾麥克諾特均將參加競選麥克諾特整裝待發赴西部作競選演講
page 4	荷印積極充實軍備二萬八千餘萬盾海軍擴充案通過 
page 4	蘇芬界務議定書簽字
page 4	美與若干國家進行新商約談判舊約多已不合時宜
page 4	德國向日無聊應酬派特使赴日接洽日官方受寵若驚
page 4	蘇共產黨紀念五朔節並發表宣言
page 4	滬美僑之呼籲
page 4	英帝國訓練空軍飛行員加拿大已開辦
page 4	挪威中南部德軍五路進攻鄧巴斯形勢漸風緊張英法援軍續開抵挪威
page 5	廣州日軍調動忙四出封船運兵開赴西江增防我游擊隊夜襲順德城 
page 5	粵黨務會議討論提案五十餘件李主席提示六要點
page 5	有飯同食肚餓同抵
page 5	檢討黨務孰為優劣
page 5	李主席提倡節食運動各團體熱烈響應
page 5	討論提案嚴查貪污
page 5	西康日記八十
page 5	桂林工友擴大紀念勞動節
page 5	今年蠶汛四川雲南可望樂觀江浙游擊區有待爭取
page 5	交部擴充䭾運事業增闢車　運輸所四　
page 5	利用國產原料製化學藥品永生公司在蓉設廠
page 6	今日勞動節勞工界循例休假各工團舉行簡單儀式紀念美髮業戶內賣花籌賑難民
page 6	消防隊週年大操港督違和改由史美檢閱地點灣仔二號警署操場
page 6	外勤聯誼會會員今日開會
page 6	大操程序
page 6	人才調劑協會設置香港分站現正加緊籌備定期成立徵求登記人才報告總會
page 6	戰時儲糧當時擬延長期限儲米將增至七十五萬包六月一日起以一年為期
page 6	港澳賑濟會亦為徵求傷兵之友機關
page 6	中郵儲匯局照常辦理節建儲蓄
page 6	強盜李錫文昨被判處死刑同夥改作證人懷恨在心獄中竟又相逢頓起殺機 
page 6	商務印書館教科書並未增價負責人談成本較前加重售價則較前減四分之一
page 6	林語堂日內即可抵港
page 6	阿根廷領事稱贊我國物產致函中華國貨產銷協會請派員接洽推銷等事宜
page 6	米稅問題
page 6	官商會議
page 6	搶救有功
page 7	中華體育協進會通過派隊南遊莫慶林中灝徐亨負責選人先到星洲作和和杯賽
page 7	菲中華最後一戰再逢港星隊今晚七時一刻在中青會上演尾場星島鬥東方
page 7	中華泳場今天正式開放
page 7	華人游泳會今日開放
page 7	兒童樂場禁止成人賽球違者嚴拿查辦
page 7	美菲荷匯牌價略漲英匯呆滯申匯穩靜
page 7	八九金市略淡且靜買賣不多價少起跌
page 7	股票市仍冷淡購買力脆弱成交不多匯豐銀行股價格略漲
page 7	學界籌運競賽部昨選出各部職員
page 7	培正香港分校體育概況
