page 2	社評抗戰四週年紀念辭
page 3	神聖抗戰今日四週年蔣委員長告全國軍民勝利基礎已鞏固望同胞加緊奮鬥何部長報告四年來抗戰偉績
page 3	我財政基礎鞏固日本國債較我超出三倍孔部長七七四週年紀念詞
page 3	中華海員工會電領袖致敬日閥心勞日拙敗亡之期不遠舉國同胞堅信勝利必屬於我
page 3	中國長期抗戰日人無限隱憂
page 3	告英國友人郭外長播講全文
page 3	迎接抗戰第五年余漢謀
page 3	必勝之保證條件
page 3	中國偉大努力結果必獲勝利李頓爵士之紀念電文
page 3	粵省建設三年計劃定明年起實施
page 3	褒揚王法勤
page 3	我警政當局招待俞允時
page 3	中央接管田賦下月一日實施全國土地陳報限明年底完成
page 3	畑俊六宣言充滿悲觀態度
page 3	外部人事調動
page 3	陪都苦熱達一百十度
page 3	津駁船事業被日方蓆捲
page 3	閩南詔安敵登陸我正奮勇堵擊中
page 3	閩省推行增產運動
page 3	主管機關分工合作平抑物價逐步實施平價購銷處擴充業務
page 4	傳蘇日軍發生衝突遠東紅軍實力雄厚
page 4	德軍需工廠遭英機猛炸德方竭力抵抗無效克魯伯廠曾起大火
page 4	烏拉區的輪廓畫
page 4	羅馬尼亞反德運動勃興各村鎮實行武裝反抗
page 4	美總統返白宮召開重要會議美技術人員將出發赴英
page 4	英軍在中東地位愈鞏固聚利亞戰事順利進行中東非之役獲得重大戰果
page 4	失蹤美海員皆經獲救護士一隊亦無恙
page 4	英蘇經濟協定不久即可簽字英以樹膠與錫供給蘇聯
page 4	中東英機大規模出擊敘利亞維希據點受重創北非港口亦屢遭猛襲
page 4	聚利亞休戰傳獲得妥協
page 4	貝克博士由滇抵渝
page 4	畑俊六之言
page 4	蘇軍反攻
page 5	瓊島人心振奮抗戰情緒極高漲兩年來民眾協助游擊斃敵軍千餘俘虜百餘
page 5	敵機濫炸南路各縣損失慘重
page 5	一年來實地研究油桐所遇到的問題二
page 5	桂推行節儲成績良佳迄今已達一千九百萬
page 5	粵省府令各縣強迫民眾就學公務員子弟及成年須先入學規避入學者以抽簽方法徵調
page 5	韶關環境衞生次第完成
page 5	清遠會商維持北江交通治安派隊分駐各地保護貨運
page 5	大量師資推行一年制簡師教育設立暑期教師進修班
page 5	東江指揮所設博羅封鎖線禁止下游船隻直達惠州
page 6	港僑今日熱烈參加紀念民族復興節百三十團體舉行聯合會素食獻金購債出錢勞軍
page 6	民族復興節港僑的過去與今天
page 6	我作家郭沫若等致書歐美名作家致謝彼等之援助及激勵籲請聯合保衛自由民主
page 6	美大批新貨輪行駛遠東航線美四大輪船公司輪船均多被派調行駛遠東
page 6	歐亞港韶線定本月下旬開航韶辦事處設南雄
page 6	颶風又有襲港勢昨日下午懸出六號風球海面浪大昨日兩艇覆沒
page 6	遠東區無線電昨晚復受阻擾前晚歐無線電報及播音均無法收錄及轉駁廣播
page 6	昨日關德興招待報界報告赴韶經過
page 6	英國名銀行家沙遜爵士抵港過檀談話力促英美援華即飛陪都考察我國經濟
page 6	港五月份貿易頗有好轉趨勢入口七千二百餘萬元出口五千三百餘萬元
page 7	協會執行委員會改定十日開會報告財政狀況並討論參加團體太古會遞到入會聲請書
page 7	南華隊在檳城敗於巫聯詳記
page 7	內鋒的技巧二
page 7	游泳預選改下週補賽
page 7	訓練游泳人才問題
page 7	南華排球初訓班報名展期
page 7	南華在檳大捷軍聯一敗塗地十一比零惠堂獨進七隻
page 7	夏令籃球賽高級隊伍十五隊戰士題名
page 7	風雨滿城棒球兩戰迫得改期
page 7	上週本港金融行情
