page 2	論德義的經濟集團
page 3	我軍繼續搜索前進渡邕部隊已抵大塘黃旭初等出發邕寧振濟災民
page 3	浦東和平軍紛紛通電反正協同游擊隊與日軍作戰
page 3	榮譽軍人中央統籌安插辦法
page 3	林語堂在紐約演說
page 3	中英文協會川分會成立
page 3	李濟深主任談日退出邕寧原因踞邕得不償失又想抽調他圖暫時不敢南進亦難移兵攻滇 
page 3	重慶號慘劇罹難乘客名單七人喪命內有婦孺二名
page 3	周部長抵昆明視察被炸災情並攜款廿萬元救撫災民
page 3	滇越路站長慨捐私蓄充購機救國之用
page 3	滇民管世英捐款興水利建聽呈經濟部嘉獎
page 3	節約儲蓄運動各地積極推行
page 3	獻機運動海內外紛分響應
page 3	對滬公共租界日人蓄謀不已現已準備明年競選事宜
page 3	陳公博將任上海市長
page 3	法大使館滬辦事處定於六日遷平
page 3	滬法租界當局居心叵測竟以日本軍用票償付其所購貨值
page 3	黔臨參會四次大會開幕
page 3	東北四省府將各設一秘書主任
page 3	建川美次訪晤莫洛托夫
page 3	駐泰法公使傳將易人
page 3	過去九個月中美與中日菲貿易額中國對美出超日本對美入超
page 3	小林抵神戶荷日繼續談判中
page 3	我外交政策堅定對國際沉機觀變一切揣測均不足置信
page 3	倪瀾琛傳將被允保釋
page 3	世界新秩序論二
page 3	宜昌城內傳起大火豫南日軍出擾受創
page 4	希外部發表聲明否認進行媾和傳英機出動協助作戰
page 4	歐戰的回顧三
page 4	美總統競選運動共和黨採攻勢威爾基發表炮彈演說抨擊新政主加緊援英
page 4	印革命家尼赫魯氏被捕孟買市場非正式罷市
page 4	美陸軍部計劃增建飛機預算費用二十萬萬元製轟炸機一萬二千架
page 4	張伯倫無訪美意向紐約所傳不確
page 4	西空軍代表團赴英泰晤士報譽弗朗哥
page 4	美競選最後階段
page 4	印度總督延長任期
page 4	我們為甚麼擁護威爾基二
page 4	法德談判將極感困難拉佛爾向記者表示美法使保證無割地規定 
page 4	蘇聯發表經濟計劃方針採取本國原料不斷生產
page 4	日艦谷風下水
page 4	約翰森演說擁護威爾基
page 4	雙方之票數將甚為接近
page 4	士將表示態度
page 5	中山日軍大增傳有侵略新企圖日機連向西江四邑偵察
page 5	桂臨參會本月五日舉行莫寶堅當選市參議員
page 5	韓江般隻改航東江
page 5	湘政治巡視組分十三區出發薛岳指示工作要點勗公務員勤勞守法
page 5	國民參政會一屆任期告結束二屆名單即公佈
page 5	重慶點滴
page 5	渝市黨政機關開首席聯席會議密切合作擔當艱鉅任務
page 5	桂鄉長拾金不昧羅志遠誠廉可風
page 5	粵贛公路韶關吉安聯運二十五日通車
page 5	股票市況仍無進展成交六萬餘元
page 5	外匯牌價不動申匯市況趨好
page 5	四四金市繼續低跌
page 5	國幣市況略形堅挺
page 6	吳澤華談保衛團年底成立本星期內即可發表宣言已將隊員報到者祗三區
page 6	加緊進行年內成立
page 6	恩卹辦法與警察同
page 6	昨晨水警探破獲兩艘藏械船搜出長槍六枝碼子百餘當場拘捕嫌疑海盜九人
page 6	全港回教徒慶祝開齋節競施米麥濟貧
page 6	英籍婦孺將有一批赴澳
page 6	人口大量增加娛樂事業發達各種娛樂場所率多擁擠大小影院多至二十七間
page 6	菲島加緊限制移民明年祇准千人入口
page 6	美軍官抵港將赴近東視察
page 6	利舞台十五萬元鉅資新裝煥然一新今日開幕
page 6	南華大學校長鍾魯齋將有南洋之行
page 6	港府登記屬員家眷準備第二步疏散
page 6	四婦女聯會招歌詠團團員
page 6	香港兒童圖書館馬鑑昨晚在本港播音台講演下
page 6	聖雲仙會工作成績卓著本年不舉行賣物遊藝會望各界捐助充救濟費用
page 6	港督巡視舊國家醫院對難民慰問有加
page 6	聯美飛剪機昨離港飛菲威克島機場遭風災
page 6	陳公哲書法展覽會今明兩日舉行
page 6	土敏土價猛漲建築業受打擊港九有建築商四百餘家因缺乏士敏土幾全停止
page 6	中國婦女會麻雀籌振會昨日收入逾六百元
page 6	麻
page 7	歡喜冤家相逢狹路東南兩強加山交兵
page 7	實力分析
page 7	九龍迎戰米杜息警察出擊香港會
page 7	大戰前奏
page 7	勵進水運會第二夕成績
page 7	南會改善球場秩序
page 7	東南大戰的我見
