page 2	社評粵北大捷以後
page 3	日軍潰敗狼狽不堪我大軍乘勝追擊中廣州附近軍民紛起截日歸路桂南邕武路我軍又收復雙橋
page 3	最近一週戰局南北均傳捷報
page 3	粵桂戰場日軍窘態以狗代人咬我哨兵聆我播音竟為神往
page 3	戰時英國印象英國劍橋航信下
page 3	粵各界發起擴大慰勞運動婦女新運會幹部赴前方工作
page 3	桂軍政人員視察前線程思遠等已出發
page 3	林逆知淵即將解渝訊辦
page 3	滬搶米案昨日續有發生情形不致嚴重
page 3	土新公使答訪回教救國協會
page 3	日機又炸滇越鐵路
page 3	土總統致謝蔣委長慰問
page 3	陳公博傳不願與汪合流已秘密離滬來港
page 3	汪偽組織命運尚難定在華日軍人所提意見定今日交內閣等審議
page 3	佛教訪問團在緬甸大受歡迎本月初前赴印度
page 3	滬槍殺案四馬路上一死三傷
page 3	開放長江下游傳日方定下月一日實行開放地段不允展至蕪湖
page 3	滬偽偵緝隊在龍華附近被擊斃
page 3	呂馮兩逆在廣州就偽職
page 3	油脂類化學品川將設廠自製年來試驗已完全成功現向當局請求補助中
page 3	滬租界露屍去年收埋四萬餘具
page 3	日兩聯隊長在包頭一役陣亡
page 3	東京發生撞車慘劇
page 3	日議員倒閣正加緊行動阿部為急謀應付將乞憐各黨領袖
page 4	美日商約問題美將暫時擱置促日尊重條件義務如不覺悟決禁運制裁
page 4	美預算數字龐大國防費佔四分一
page 4	蘇保協定定六日簽字
page 4	德又恫嚇中立國家
page 4	比內閣辭職比王令組新閣
page 4	日商務代表團抵達莫斯科定明日開始舉行談話日圖以蘇為輸出尾閭
page 4	蘇芬空軍連日均極活躍芬運輸幹線被炸斷蘇軍根據地遭空襲
page 4	虧本的侵略戰
page 4	丹瑞兩國增強中立地位
page 4	德希望與蘇成立軍事協定英人士認蘇難同意對芬政策德極紛歧
page 4	美在中途島造防禦工事
page 4	賽雅奎會商菲國防計劃否認有所變更
page 4	日方陰謀鼓動巴爾幹反蘇
page 4	德加緊應付聯軍經濟封鎖戈林任經濟獨裁者賦有無限制之權力
page 4	天津白銀問題我國態度堅決堅持處理該款之主權倫敦重視我復興偉力
page 4	蘇真理報盛譽中國藝展中蘇友好將益增進對我抗戰熱烈同情
page 4	一碗飯運動美賡續舉辦
page 4	撒謊者的矛盾
page 4	根本無從說起
page 4	日方又一姿態
page 5	北犯日軍潰退後粵各界熱烈祝捷委座嘉勉前線各將士民眾來歸韶關益安定
page 5	日機增防三灶中山形勢略緊我游擊隊一度衝入江門
page 5	欽邕路上我游擊隊活躍
page 5	瓊島日軍不遑寧處我軍活躍迭予重創
page 5	汪兆銘又一陰謀
page 5	中山稅捐處奉命裁撤歸併
page 5	各級學校教科用書須經教部審定
page 5	西康日記三三
page 5	我軍砲轟潮安城內多處中彈淪陷區人民紛紛參加游擊隊
page 5	澄海美光火柴粵省通令查禁
page 5	粵各游擊歐政訓綱要內容共分五項
page 6	新界十二屆農展今日舉行開幕禮港督將親自蒞會主持參加者共二百零九戶
page 6	青年獻劍團昨日招待各界林培生報告獻劍之意義該團定本月十八日出發
page 6	香港僑胞救國事跡華商會呈報僑委會
page 6	三屆國貨展覽會借用跑馬場對面之官地即興工築木屋以為會場
page 6	全港酒店職業工會募寒衣款一千餘元
page 6	金山莊行力謀團結籌備集資興建貨倉舉辦會員週轉貸金
page 6	中文協會今晚開聯誼會
page 6	嶺大美籍教授盛讚自衛團員路不拾遺並拒絕酬金總部擬特別嘉獎鼓勵
page 6	政府機開電話改為自動搭線原由三九駁線者取銷定本月十五日起實行
page 6	政記公司上訴案判決維持原判上訴駁回上訴人負擔堂費
page 6	百新書店新書到港舊書賤賣
page 6	虎戲團今晚在銅鑼灣表演
page 6	華商總會十日召開月會
page 6	粵劇救亡服務團昨日由淡水返港回國三個月歷經湘桂粵各文化團體擬開會歡迎
page 6	已故殷商霍芝庭生前捐贈衝鋒車近已運港昨舉行獻車禮霍寶材經亨利均有演說
page 7	國軍一路出擊雛鳳重逢蘇軍下午四時在掃桿埔場
page 7	香港籃球裁判會一年來工作報告
page 7	今晚籃球好戲勵志逢戰仿林
page 7	籃球友誼賽興華挫思思廣州興華中學校籃球隊
page 7	阿亨歸矣
page 7	中華體育協進會昨開重要會議決定農曆元旦足球義賽邀請軍聯港聯出場拍演
page 7	中日和謠影響申匯市昨突趨緊同時英美匯市況亦告趨緊
page 7	粵北捷報聲中國幣大漲倫敦和謠亦有影響
page 7	八九金市昨日堅而沉寂
page 7	買戶雲集市場股票漲風益熾黃埔船塢仍為眾矢之的全日成交總值三十萬元
page 7	一九三九年度港金融變動情況世界風雲險惡中安渡難關
