page 2	社評先戰勝自己
page 3	邕寧附近戰況猛烈五塘六塘收復俘獲日軍近千鬱江南岸我軍奮起向北夾攻
page 3	豫南戰事進展迅速信陽外圍受我控制
page 3	皖南乘勝挺進東流犯龍潭山日軍潰退
page 3	孫院長歸國縱橫談我們的光明昆明通信
page 3	蘇北我軍開始出擊正式克復阜寧縣城
page 3	晋南日軍聲勢已挫反攻長子甚為得手
page 3	綏遠大捷克復薩縣衝入包頭歸綏激戰
page 3	孫科在英時曾晤邱吉爾中英作戰目的相同英對遠東政策不變
page 3	緬訪問團今日離渝飛蓉中緬文協成立
page 3	滬光社社長吳蘇中被綁眾信係汪派所為
page 3	動盪的上海法租界發生綁架案康腦脫路青年被殺
page 3	滬西管理問題樊克令提出答覆不承認偽方要求
page 3	桂南難民振委會派鄭子獻攜款赴前線救濟
page 3	漢法租界搜查十三人被捕天津英法租界同時舉行搜查
page 3	粵省府改良稅務機構俾增加戰時收入
page 3	土新公使定期抵渝呈遞國書
page 3	渝市將開辦兒童教育儲金殘廢兵士工業新村亦正在積極籌設中
page 3	經濟部計劃改良川蔴織品準備向國外擴充市場
page 3	廣州偽軍黃家贊率部反正
page 3	滬民食調節會開首次理事會購米墊款有望
page 3	林逆知淵解抵粵北訊辦
page 3	滬對外貿易上月份出超
page 4	美國態度堅定對日方開放長江姿態以保留態度靜待發展紐約時報指日方為隔靴搔癢
page 4	納粹在北海加緊潛艇水雷戰一日之間商輪五艘遭難聯軍亦擊沉德潛艇兩艘
page 4	史達林六十生辰中蘇協會馳電致賀蘇聯準備舉行慶祝
page 4	幗國英雄芬蘭女子踴躍從軍
page 4	聯軍在法舉行最高軍事會議會中會論援芬問題張伯倫讚揚遠征軍
page 4	史達林壯年軼事
page 4	美國援芬胡佛電匯十萬元
page 4	德在西線一帶調集大軍前線雙方均有接觸德空軍擬大舉進攻
page 4	比總理論荷比關係兩者唇齒相依
page 4	斯比號被迫自沉德極表憤懣謂烏政府有違中立德將永遠不忘此事
page 4	蘇軍進至芬挪邊境芬砲隊擊沉蘇巨艦
page 4	法軍費預算雷諾向眾院提出並要求迅速通過
page 4	北大西洋德巨輪縱火自焚滿載汽油由墨開出英艦追及遂陷絕境
page 4	日駐德新大使十九日謁希特勒
page 4	張伯倫返英
page 4	蘇侵芬未逞德益感困難軍事援助已成畫餅傳蘇設法與土接近
page 4	史達林壽辰
page 4	沉悶的意義
page 5	西線日軍整個移動我收復順德大良乘機反攻容桂江會戰事激烈三埠安定四邑水道交通如常
page 5	上海新聞界透視漢奸報紙有如雨後春筍各自標榜一塌糊塗
page 5	桂省徵集在野軍人
page 5	粵省義教本年經費增加
page 5	粵當局奉總裁令推行精神總動員此後更須注重鄉村與力求切實
page 5	東線戰事激烈我反攻正果痛挫日軍日犯羅浮山中伏受創
page 5	桂林的難民收容與組訓上
page 5	搶救戰區技術工人中國工業合作會成立曲江事務所
page 6	殷商馮烱成被賊劫去二萬餘元昨日清晨四賊撬門而入滿載而去中有大批公烟
page 6	華商籌賑會捐獻劍團五百元
page 6	帝航機達丹拿斯號昨日飛返本港機上彈痕共計九十二處明年元月初即赴星大修
page 6	今日的廣西昨晚在本港廣播講演原詞
page 6	珍珠皮膚水徵求共同捐贈
page 6	中旅今晨赴滬趕耶誕節前在璇宮演出唐槐秋已先行赴滬接洽
page 6	僑商林金殿電吳佩孚家屬致唁
page 6	滬婦女俱樂部主席茅麗瑛身後蕭條港婦女界通函呼籲援助
page 6	閩僑徵募寒衣以一萬件為目的昨日開始至三十一日止願自製者可領式樣尺寸
page 6	紅十字會救濟隊救濟桂省難民醫藥缺乏已電上海呼籲希望本港僑胞積極援助
page 6	日富街昨晚火警貨倉失火幸未成災
page 6	福和烟公司延長營業時間更利購辦禮物
page 7	伯南杯球類義演三十揭開序幕男女排籃賽節目多精采中大留港校友將加入表演
page 7	記者體特會球隊元旦征澳門預計逗留兩日大戰六場小型球賽對抗中葡聯軍
page 7	兩椿事
page 7	乙組銀牌賽士葛敗北炮兵勝一球
page 7	中國青年體育之動向汪光炎六
page 7	世界溜冰冠軍宋雅海妮的腳
page 7	復中籃球隊昨日打勝香江
page 7	公開女子籃球全部賽程公佈
page 7	暹羅足球隊下月出征越南
page 7	文員乒乓隊今天戰環球
page 7	英美匯市況沉寂申匯牌價縮市況穩定
page 7	八九金市仍極沉寂
page 7	股票市況靜穩昨日成交總值十萬餘元
page 7	上月本港貿易銳減六百餘萬英法進口劇縮日美大見增加
