page 2	奴隸秩序與正義秩序
page 3	豫南戰局益趨穩定淮河以南全部肅清傳華中Ｘ軍大規模撤退中
page 3	八一三將屆滬加緊範防法租界建築機關槍壘防暴徒犯案乘車逃脫
page 3	教部派員考察西南邊境教育昨日由渝乘輪出發
page 3	排長忠勇襲擊汾城Ｘ軍在亂彈下殉職
page 3	中央撥款守護成陵
page 3	越南華僑獻金萬元犒軍
page 3	廣州英領將返國假休
page 3	滬大光明演卡通片Ｘ方亦加幹涉
page 3	確山教會被炸美使館提出抗議
page 3	汪逆一走狗褚民誼大活動
page 3	蘇官方發表談判遲緩原因主要仍在間接侵略定義英法軍代表定今日晤談
page 3	綏蒙會電慰外蒙戰士對奮起抗Ｘ表示欣佩望繼續努力復興祖國
page 3	遠東危機與美國六
page 3	蘇蒙空軍擊落日機
page 3	戰區退出員生教育部救濟情形
page 3	渝各界電英大使盼英停止東京談判淪陷區內反英運動擴大美方認為危及其在華人民
page 3	美禁運原料赴日足制日本死命德義自顧不暇何能助人兩年來英未售日機關槍
page 3	美眾院否決總統貸欵提案羅斯福對此極表不滿
page 3	張彭春抵英談美國廢約或將為中日戰事之轉機
page 3	美陸軍將舉行大規模演習空軍演習已開始訓練軍民間合作
page 4	對天津存銀問題英嚴拒日要求主權屬於中國政府英國無權越俎代謀
page 4	泰晤士報認為其他皆可讓步法幣必須支持
page 4	金融消息報稱英將再貸中國巨額信用放欵
page 4	南洋僑胞注視英日談判
page 4	英議員一致主張加強經濟援華
page 4	英眾院再定明日辯論遠東問題
page 4	新都印象記二
page 4	羅匈邊境衝突雙方對起因各執一詞商務談判已決定終止
page 4	英美法合作即能切斷日本ＸＸ沙遜爵士談稱
page 4	英國建立和平陣線準備抵搞侵略行為艾登在致其選民書中表示
page 4	日本的反英運動
page 4	華中Ｘ軍撤退
page 4	德吞併但澤第一步完成第二步為攫取經濟權將打通但澤東普魯士
page 4	崛內被召返國報告日報所傳如此
page 4	孟買發生亂事人民受傷五十餘當局已下令戒嚴
page 4	美失業工人數字稍見減低
page 5	中山境內無Ｘ蹤江會我軍反攻新鶴路發生激烈砲戰
page 5	犯橫門Ｘ全部部潰退
page 5	滬法租界戒備嚴密天主堂街口添造小砲台
page 5	進和辦理戰區善後
page 5	潮安Ｘ指揮官安籐被我擊斃強拉壯丁趕築巷戰工事威逼婦女實施奴化教育
page 5	各縣農貸會次第成立擴大冬耕運動
page 5	東莞Ｘ偽大肆搜索商店多告停業
page 5	Ｘ機十三架昨飛增城窺察深圳昨亦發出空襲警報連日民眾逃避市面蕭條
page 5	派潭市區一片焦土東洞一帶民眾協助我軍抗戰
page 5	楓溪Ｘ軍互相殘殺
page 5	新加坡華僑成立南洋報社商報及新國民日報合併合併後兩報仍分別出版
page 5	巴西華僑救國運動熱烈兩年來獻金已達九萬元
page 6	商賑會俯順輿情議決援助小販義賣推翻前案准為代計人情常委分別負責獻金工作
page 6	燕大教授貝芬報告Ｘ國近況資源枯竭購買能力大減金屬原料無不搜括淨盡
page 6	英國醫生多人來華服務
page 6	灣仔昨又發生半梯強槍婦女案三賊由中環即尾蹤事主撲上樓梯搶去六十餘元
page 6	果販義賣已收港幣六千餘元
page 6	義華士勒索案判處徒刑九月官謂被告心罰必將更苛予全港市民以不良印象
page 6	永祥金鋪劫案昨日開始審訊三賊被拘且控以殺人罪主控幫辦供述案情甚詳
page 6	德忌利士輪加走廣州灣航線
page 6	新輪柏萊干夏明日處女航赴滬此次不載客定票均取銷定今日邀港督夫婦午餐
page 7	南斯拉夫台杯隊赴美經費籌措難草網協會拒發二十萬鉅款南總理或將撥特費助成行
page 7	中西水球糾紛案昨開會解決結果判定從新再行補賽並卽去函警告犯規球員
page 7	南華在怡保第二戰打退霹靂聯四比一佛爺二叔立功勳
page 7	美硬地網球決賽派克冠軍
page 7	周蔡兩名將將離滬入川
page 7	單車大比賽盟主蠡測洋將希望濃
page 7	水藝會快開始比賽節目豐富趣味極濃厚為派隊攻滬籌款
page 7	德權鼎小球電星慘敗尖隊勝五比零
page 7	外匯牌價均不動申滙市況仍穩定英匯及美匯市況亦屬靜穩
page 7	英金不動銀價均跌
page 7	昨日股票市況依然一籌莫展電車電燈等股略多買賣半日成交總值僅二萬元
page 7	國幣價格繼續上漲毫券漲勢尤勁
page 7	八九金市仍乏生氣買賣猶少價格微降
