page 2	美國武裝起來了
page 3	我軍圍龍州克江州空軍飛赴晉東揚威
page 3	阿部汪談判結束靜候日本批准松本等攜帶要綱返日覆命汪擬派員赴日墾求及早簽署
page 3	郭沫若辭職遺職由何浩若兼任
page 3	越局勢仍緊滇省當局特撥巨款輔助疏運存越商貨 
page 3	法幣發行額僅當戰前兩倍半
page 3	霍華德今日由仰光抵渝
page 3	小林等一行由日赴荷印小林行前發表忘形談話
page 3	日機襲寶雞
page 3	貴陽給水工程舉行落成典禮由吳主席親自開閘放水
page 3	周佛海抵平
page 3	川煙毒檢查嚴厲執行日來成效甚佳 
page 3	懲戒案兩件經中央懲委會議決
page 3	鼓勵教員服務教部制定服務獎勵規則鄂滇中小教員首批獲獎
page 3	蔣委長關懷渝被災民眾親臨各收容所視察
page 3	記者節各地一致慶祝
page 3	上海惡徒橫行恐怖案迭出綁架敲詐搗亂色色俱全
page 3	日本外交人員又有一批異動
page 3	經濟基礎穩固遠非日人可及
page 3	川努力推進寒衣運動徵募分會議定辦法
page 3	在滇擴大紀念週席上何部長報告抗建現勢第一
page 3	中德文協理監事已選出
page 3	晉東戰事仍烈
page 4	美海長出發太平洋視察艦隊演習沿途視察海空根據地美國對日態度愈強硬
page 4	英機突襲德大砲陣地明興上空發生激戰德機襲英銳勢稍挫
page 4	從東非到近東二
page 4	匈軍開進羅境羅軍民退出特蘭錫爾凡尼亞加羅爾有準備遜位說
page 4	英國難童船被潛水艇襲擊難童態度鎮定全告脫險
page 4	羅斯福總統偕屬員南遊
page 4	蘇德訂新協定調整兩國在波邊界
page 4	小林出發了
page 4	美海長出巡
page 4	巡視太平洋防務途中的美國海長諾克斯一
page 4	墨西哥政潮糾紛仍未已
page 4	英首相邱吉爾讚許轟炸機隊駕駛員於執行職務時仍能維持自我之美德
page 4	蘇聯紅星報盛讚我抗戰決心
page 4	美義報紙論歐戰第一年戈培爾發表紀念演說美輿論對英多表同情
page 5	粵省奉令修正縣政府組織規程修正條文共卅二條經飭各縣遵照
page 5	西康日記一六一第八編九龍見聞
page 5	省立九龍小學
page 5	泰國僑匯我銀行力謀便利曼谷等地已廣設分支行防止潮汕日人攫取匯款
page 5	白蕉日軍日夜緊急戒嚴防我游擊隊再起突擊
page 5	濫炸斗門 
page 5	砲轟沿海
page 5	白蕉戰役
page 6	邊界日軍戒嚴封鎖邊界禁止通行港寶水陸交通完全斷絕日軍七千人由南頭撤退
page 6	夜襲李朗日軍
page 6	日軍七千撤退
page 6	我機飛襲南頭 
page 6	僑教師範科昨舉行入學試參加考試者共計百餘人每週授課時間廿四小時 
page 6	德義音樂仍准廣播由管理官發特許證
page 6	鐵路當局發表隧道崩塌經過可望於半月內修復通車
page 6	英艦禾花號因超過艦齡拆毀何東爵士借出大興輪為海軍義勇隊之練習艦
page 6	佛山輪昨日返港日輪一艘昨由廣州來港 
page 6	節建儲運近訊組織儲蓄團並擴大宣傳海外僑胞可以通信購買
page 6	手車承包制當局准予取消勞工司批示週內可頒下手車夫不得再私相租賃
page 6	世界書局香港分局舉行特價
page 6	林語堂出國前之觀感論斷 
page 7	域多利會主辦全港游泳冠軍賽廿六日起決戰三天男女兩組同時舉行
page 7	東方水藝會成績良好水球賽對抗華人
page 7	南華實力談李球怪忠心效勞飛將軍赤膽練兵 
page 7	南華十五屆週年水運廿一開始競技
page 7	東南對軍聯足球義賽決在海軍場舉行
page 7	夏令籃球初級組東方榮膺冠軍最後一戰力挫美爾頓廿九比廿三戰情緊湊
page 7	地保盃乒乓昨日比賽成績 
page 7	過去一個月內港金融情況外匯起落為數尚微國幣略跌其勢仍穩
page 7	星島歸鴻
page 7	特別銀牌淘汰比賽 
page 7	東方會足球隊今日開始練習七時泳場夜宴商討大計
