page 1	看南洋念僑胞
page 2	蔣主席盼國大不改憲法希望如期閉幕不要拖延軍事結束以前不再召開大會白崇禧昨晨在國大報告軍事
page 2	北大被搗毀教授罷教要求懲兇將發表宣言呼籲保障人權
page 2	川大等校罷課被捕學生一部獲釋
page 2	土地問題一本報滬版時事座談會
page 2	土地問題並不嚴重耕者有其田也可以不必
page 2	西工學生被拉壯丁同學往救軍隊開槍雖然救回但已身負重傷
page 2	政院今天開會共商生活指數
page 2	滬當局要繼續捉人學生惶惶終日不敢返校
page 2	杭立武談話各地學潮是治安問題
page 2	台灣新軍昨天演習二○五師將擴成軍
page 2	國大花絮女代表產九磅嬰兒馬鴻逵被記者包圍有人說不要聽伙食問題
page 2	羅卓英等抵平
page 2	民社黨反對修憲對選舉極表不滿
page 2	梅農昨返印
page 2	開封外圍緊張豫南國軍進駐確山駐馬店臨汾撤守張垣以南有戰事
page 2	自己探測積石山科學家今天啟程記者多人隨行一週後返滬
page 2	菲公使抵滬即晉京呈遞國書
page 2	美國商人源源來華美國務院大開方便之門
page 2	粵漢北段秩序壞極穿軍裝的霸王們無票搭車挾帶私貨把車廂都壓壞了副局長劉傳書的話
page 2	東北糧荒嚴重飛機已運了百廿五次
page 3	大選前義總理斷然表示倘選舉失敗也不讓權政必要時將以武力維持政府
page 3	總工會一聲號召全國罷工一小時
page 3	無根之花下論輿論的社會背景
page 3	特港問題英美法　蘇南覆牒
page 3	小甘地越邊界反對南非排印
page 3	緬甸共黨活動在境內佔有頗廣大區域可能發生長期性的內戰
page 3	英雄長眠英雄墓昂山遺體安葬送葬者有七八千人
page 3	東條無罪美辯護律師竟代力爭
page 3	少談戰爭努力和平賴伊籲請各國遵奉羅斯福主張和平必須建築在全世界合作上
page 3	哥倫比亞聯合新閣執政全國戒嚴盡力恢復秩序泛美會議將續在波高達舉行
page 3	蘇統制奧境交通截斷奧京與各管區通路蘇請英美撤銷柏林外修車站
page 3	英美法將集議籌商西德合併決實行經濟政治聯合
page 3	鑾披汶也組聯合政府羅致親王多人入他的新閣據說要研究處理華僑問題
page 3	粵警保處設刑警隊共分五組分布全省各區
page 3	用農貸興水利粵建廳將進行廣九沿線旱象已成
page 3	各縣農貸款額日內即可決定
page 3	胡適等對日寬大論大受日本與論歡迎
page 3	美原子科學家呼籲組織世界政府建議杜魯門與史太林會晤
page 3	夏令時間五一開始粵省府奉到命令
page 3	外人投資日工業盟總將頒布辦法
page 3	德萊柏訪日後日財閥有辦法解散金融組織可能作罷
page 3	美第三黨運動蓬勃定期召開全國大會正式組黨抨擊政府對義大利總選作法
page 3	日本皇帝得禮物廣島囚犯賞櫻花
page 4	工商供應處平抑糧價拋售麵粉千五百包政府躉賣價格每斤五毫四仙
page 4	月底如無充分雨量五月實施三級制水水務局負責人對記者說
page 4	中港澳民航代理人合格的可能有九家國際航協昨開代理人審查會
page 4	央航京港線十五日開航
page 4	國府授勳何明華藉酬其戰時辦理救濟功績授勳儀式昨由郭德華主持
page 4	被炸地區急待清除希望業主提供意見郭贊昨在記者招待會中表示
page 4	櫻島輪抵港
page 4	開鹹魚店要具備那些條件衛生局今天討論
page 4	九廣早晨加班車三四天內仍照舊
page 4	有酒無人要帶歸警署充公
page 4	被人假冒匯兌存根合興利行幾乎上當兩人因有圖騙嫌疑被捕
page 4	因非禮嫌疑葉安昨被審
page 4	陷期債務清償意見華商總會昨呈華民政務司
page 4	昨一日內三人自殺跳海上吊服毒兩死一危
page 4	乘車不付錢五個人被罰
page 4	司機毆女郎今日上公堂
page 4	華人置業公司去年賺了廿萬
page 4	港九飲食業要求配給燃料
page 4	賊窺藏寶和尚被劫
page 4	馬國亮結婚福建人開會
page 4	廟街破獲秘密電台案兩男子判罰萬元
page 4	商店二百餘家昨致函華商會發表對改選意見
page 4	三毛下週來港會見這裏的小朋友
page 4	海軍船塢工人四人准予復職
page 5	金融市場醞釀變化西歐各國可能重定幣值
page 5	開放糧貸收購春繭
page 5	美匯美鈔金單落申匯現鈔期鈔穩
page 5	股市活躍貢紙下游新舊荷蘭紙一致猛起
page 5	全國日拆萬縣最高錦州最低
page 5	英國鋼鐵輸出遠東中國首位共三千一百噸印度巴基斯坦合四千噸
page 5	港地商人反應希望英鎊貶值害怕英鎊貶值
page 5	日銅產品力謀輸出
page 5	黃金賣多買少
page 5	貿易政策可能變更外匯開放待決
page 5	穗臨參會提出改善訴願標準函輸管會華南分會採擇
page 5	生絲減少豬鬃增加上海三月分出口數字
page 5	廣州游資泛濫金鈔升物價漲央行穗分行提高日拆
page 5	在西歐各國調整幣值前港比五金貿易困難港財政司公布停供比利時英鎊外匯
page 5	港日貨販運商向黑市找美元
page 5	港穗藤商一家包辦
page 5	港穗沙籐業第四季七千美元配額已決定放棄二千美元
page 5	日布傾銷星洲避免消耗美元外匯再度拒絕申請輸入
page 5	敵偽壓迫成立公會
page 5	沙籐進口十三萬擔
