page 2	反侵略陣線與遠東
page 3	粵晉戰局搏鬥甚烈我軍昨日奮勇衝入新會城龍主席公忠愛國工作努力
page 3	粵省激戰我軍衝入新會
page 3	晉綏戰烈我軍控制中離
page 3	平漢斷絕石莊新鄉激戰
page 3	我軍積極活動獲重要戰果四月一日至二十日克復重要城鎮統計
page 3	濫炸問題下四月十八日在香港大學講稿
page 3	沐猴而冠偽武漢市府出現
page 3	樊克令連任滬工部局總董
page 3	前三水縣長陳卓霖解韶關省府正搜集貪污證據
page 3	滬市民眾努力精神總動員
page 3	鋤奸血案滬又發生一宗
page 3	蘇北我軍展開總反攻我已轉入主動地位吳淞Ｘ軍戒備加嚴
page 3	滬被捕商人昨全部釋放法租界華人納稅會力爭懸掛國旗自由
page 3	國府明令褒揚吳梅特給卹金三千元
page 3	陳嘉庚電請懲汪
page 3	孔院長盛讚美總統和平計劃郭大使發表演說頌揚胡大使曾赴白宮晉謁
page 3	華北偽鈔暴跌法幣信用益穩固
page 3	李耀邦在滬逝世
page 3	英使訪王外長
page 4	集體安全又一環英土成立協定保願加入巴爾幹協商英蘇談判有重大進步
page 4	英國對德政策一手拿糖一手執鞭
page 4	蘇與英法合作東歐遠東應互援助
page 4	美否認將向日提和平聲請
page 4	義首相發表演說欲求合乎正義之和平對美國建議認為不當
page 4	歐局暫鬆弛德義在外交方面活動但澤坦吉爾可望苟安
page 4	蘇俄舉行防空演習遍及六十餘城為期達十餘日
page 4	Ｘ在華北之宣傳工作下四月十日北平通信
page 4	德對羅土兩國盡拉攏能事羅外長在德商經濟問題巴本使土圖作最後努力
page 4	繼美國海軍調動後英增強遠東實力以新艦代替駐華舊艦日海軍當局故作鎮靜
page 4	邱吉爾傳將入閣
page 4	瑞典召集後備兵受訓
page 4	慶祝希特勒生辰柏林舉行閱兵耀武揚威嚇嚇老百姓戈培爾著文諂佞備至
page 4	法郵船被焚寶物幸無恙飛機八架亦免遭回祿諾曼第號曾發現炸彈
page 4	美參院通過預算為建設海空根據地費用眾院通過訓練航空人才
page 4	日本自顧不暇何能幫助他人法報傳因義堅持允派艦赴地中海
page 4	美國將委派新駐西大使羅斯福已推荐駐阿大使調任
page 4	粵省懲治貪汚
page 4	雲南的好氣象
page 4	南國將增加現役軍額使足三十萬人
page 4	平沼近衛重要會談交換對外交意見
page 4	美參院擱置菲島獨立案
page 5	我正部署反攻新鶴中山尚無大戰Ｘ屢犯杜阮均被我擊退我逆襲潭洲Ｘ陣已動搖
page 5	中樞要人電僑胞繼續輸將前方之炮火一日不得止後方之芻粟一日不得停
page 5	粵參議會將成立秘書長鄭豐已回粵
page 5	繆培南已就任軍長職
page 5	天津北洋保商銀行被迫停業Ｘ擾亂金融之故技
page 5	西江最前線勞軍行一
page 5	中山救濟難民
page 5	汕頭戰地救護
page 6	大雨連綿雨量創新紀錄水塘存水增加六萬萬加侖食水供給時間有延長可能
page 6	廠商聯會昨召開理事會議
page 6	當局建議市民建築防空設備已分函各建築設計師醫院之空防擬定計劃
page 6	兒童保育會明日賣花籌款各銀行先在戶內勸銷學賑會派出學生服務
page 6	傾盆大雨中昨晨三宗劫案上海的士車房三賊光顧損失三百餘元駕車逃去
page 6	一九三八年國際攝影賽我國人獲獎者連同星加坡共廿三人成績之佳為各國之冠
page 6	克尼爾醫生由韶返港讚揚我戰士精神
page 6	錦田難民營孕婦被毆斃案羅旭和將親往調查治安問題亦極關注
page 6	鍾景棠氏在港逝世今日大殮明日出殯
page 6	婦女慰勞會今晚化裝跳舞會為籌款救濟傷兵難民不能看作尋常的娛樂
page 6	婦女兵災會昨慰勞深圳傷兵反攻石龍之戰英勇壯烈Ｘ中伏被擊斃八十餘人
page 7	香港埠際足球隊廿八日啟程赴菲預定比賽三場奧馬昨已先行
page 7	公開草地網球賽下週新訂秩序連日淫雨綿綿比賽均告展期
page 7	倫敦決意承辦下屆世運現已開始積極進行
page 7	香港學界排球修正章則二十七日截止報告
page 7	港女子壘球隊擬訪問菲律賓
page 7	談乒乓運動
page 7	海外風光
page 7	美菲荷匯略回縮英匯市況沉寂美匯微緊但靜申匯市況穩靜買賣仍然不多
page 7	八九金市穩而沉寂買賣仍少價格微降
page 7	股票市較穩定買戶略多但給價仍不高賣家不願多拋成交尚少
page 7	體壇奇蹟三
