page 2	社評最後掙扎中日閥的企圖
page 3	晉南大捷後晉西我軍克復柳林軍渡殘Ｘ肅清交通恢復湘北Ｘ軍增援企圖南犯
page 3	Ｘ機九日襲渝我損失極微被擊落之重轟炸機已有三架殘體尋獲
page 3	我軍襲杭州市郊多處起火焚燒Ｘ軍恐慌不敢應戰
page 3	Ｘ機襲金華
page 3	慰勞代表趕辦出發事宜
page 3	從航空工業說到日本空軍力量二
page 3	省府紀念週林友松報告振濟會工作
page 3	甘貝爾在桂視察中
page 3	Ｘ犯中條山傷亡達萬人俘獲戰利品清查中
page 3	查勘金沙江覆舟中外專家同遇難國聯水利顧問蒲得利等屍體已尋獲政府將優卹
page 3	津Ｘ定明日起封鎖兩租界在七個出口施行檢查
page 3	英不應坐視日本橫行遠東英報著論督促政府聯合美法採取行動
page 3	日圓價格仍較法幣低落法幣匯率應隨機應變倫敦金融時報之觀察
page 3	北大研究院下年度恢復招生辦法業已擬定西南聯大收轉學生
page 3	漢奸之報傳逆小庵祖墳亦被Ｘ機炸毀
page 4	英外相定昨在貴院重申外交政策傳英向法聲明不妥協龐萊在閣議報告時局
page 4	英王英后美遊告終昨日離哈德公園羅斯福親自送別
page 4	丹麥地理學會近作中亞探險傑可伯森行抵大連談在內蒙所獲極多
page 4	德國在東西邊境增築防禦工事特別配備新式重軍器工人缺乏起用猶太人
page 4	德對捷克兩省將正式兼併改歸德政府直接管轄斯洛伐克將同此遭遇
page 4	英飛機工業產量逐漸增加然猶不足與德義抗衡美空軍實力亦將增強
page 4	英議會總選保守黨主席預測約今年秋後舉行
page 4	波蘭但澤間發生新糾紛波籍關員被秘密逮捕波當局正進行調查中
page 4	德黨政要人絡繹赴匈牙利圖加強德匈原有關係
page 5	Ｘ艦砲轟中山九區竄擾古鎮被我擊退昨午尚來肆虐連發五砲第五游擊區範圍擴大
page 5	Ｘ機濫炸壘石鄉婦孺慘死被投七彈毀屋甚多
page 5	粵政四個半月續完工作歷程李主席在省參議會的報告
page 5	粵劃四處闢墾殖區可收容義民數萬教養團下月開學
page 5	粵教廳維持抗戰教育撥游擊區學校補助費
page 5	粵九區專員吳道南已抵瓊崖就職
page 5	Ｘ在廣州漢口製造間諜美其名為商業學校我當局令嚴防密緝
page 5	瓊崖偽軍投誠
page 6	忠勇殉職之華探尹文昨出殯警司畢道親率所屬執紼華代表為遺孤發起賻贈
page 6	華人代表發起賻贈
page 6	港九各義學編級考試放榜救濟失學難童委會會議商討安置落選登記教師
page 6	華人侍役警方召赴差館問話
page 6	介紹抗戰中國
page 6	本港駐軍英賑華分會
page 6	學賬會昨歡迎菲僑學生代表進行在菲召開遠東青年大會該代表等將赴重慶一行
page 6	修改防止逼遷條例特別委員會議內容暫不發表繼續討論居住糾紛政府公平處理
page 7	港滬菲埠際足球賽正在釀醞組織中俟獲得滬菲同意即可決定本年足球總會贏餘萬餘元
page 7	棒球運動百週年紀念美國的一叚演進史
page 7	滬網球名將王文正加入南華會
page 7	公開水球賽
page 7	女子籃球義賽中華打倒西南實力懸殊知行輕取華雄
page 7	瘋人足球隊比賽獲勝利
page 7	暹匯牌價稍縮其餘匯價均回漲英美匯市況先穩定後趨緊申匯市再略淡銀行多拋出
page 7	買胃略滯股票市稍回淡股價微降市底則仍穩成交總值約十六萬元
page 7	八九金市略形鬆弛買賣較少價格低降
page 7	英金不動英銀俱平
