page 2	關於青年的彷徨與煩悶
page 3	越南氫氣依然低迷傳法方正增強防力我顧大使再訪法外長商談華盛頓明星報評論英撤軍
page 3	日機到處肆虐外僑財產受損襲渝日機被我空軍痛擊
page 3	廣西的麵粉業
page 3	關麟徵由渝過桂返防
page 3	陝省當局厲行禁煙舉行禁毒總檢查至十二月底完成
page 3	渝學術界組考察團業已抵桂將分組出發
page 3	紀念雷鳴遠渝已成立委員會擬募款一百萬元
page 3	非常時期管理銀行暫行辦法財政部正式公布施行 
page 3	軍校決招考苗傜學生桂省已開始辦理
page 3	統一公債甲種債票還本十次抽籤揭曉
page 3	桂聞彙報
page 3	川康邊區特別法規當局著手編製並將訓練人才
page 3	湘省壯丁踴躍投效湘省府傳令嘉獎
page 3	從技術上的問題談加強西北公路運輸一
page 3	動亂的上海中央捕房竟亦發現炸彈汪方圖攫奪華人納稅 會
page 4	日艦圖犯溫州經我還擊受創遁去蘇北我軍各路告捷
page 4	羅斯福總統視察國防區海軍部長陪同出發擴軍工作在邁進中
page 4	英空軍飛襲德飛機根據地德油池工廠皆遭轟炸英屬索馬利蘭義軍繼續推進
page 4	美財部公布輸入黃金稍減七月份約值七萬萬元 
page 4	義代表團行抵匈京談判經濟問題
page 4	胡佛向英探詢救濟歐陸意見英認如德將存糧分配則歐陸尚無饑饉之虞
page 4	蘇合併三小國英將有表示存款與使節為主要爭點蘇重要運河已開鑿完竣
page 4	法國進行戰時復興工作積極疏散難民返里外部儘量擢用人才
page 4	法萊任新職可口可樂公司已聘為董事長
page 4	德與瑞士簽訂商約八月一日已生效 
page 4	美國援英伍德上校推進中
page 4	美陸軍演習參謀總長參加檢閱陸軍部訓練長途飛行員
page 4	關於越南
page 4	歐戰展望
page 4	豫鄂殲日經過記七
page 4	上週南北各戰場我軍出擊均獲勝
page 5	桂充實縣政人才設候用縣長訓練班昨起報名廿六日測驗受訓及格以縣長候用
page 5	中山日軍竄擾南澳鰵魚沙袁帶派隊增防前線
page 5	厓門保衛加強
page 5	川滇行紀二
page 5	滬西特警局又告難產工部局否認成立說 
page 5	上海泉州間航運漸恢復滬鄞線交通仍困難
page 5	西康日記一四三第七編由梭坡到九龍
page 5	泰國境內軍運頻繁有米不運要運兵曼谷車卡感缺乏
page 5	我軍固守竹洲
page 5	日軍封鎖河道
page 6	明日八一三三周年各僑團獻金紀念商會四大公司設獻金台小販分區義賣一連三天
page 6	四大公司設獻金台
page 6	小販分區舉行義賣
page 6	廣聯商會獻二千元
page 6	中區防空員昨舉行總檢閱八時開始檢閱課程六項上山區甲段亦舉行演習
page 6	輔政司發表談話繼續談判開放珠江談判結束前佛山可返港提談恢復廣九路說不確
page 6	日婦孺返國據稱係自由行動
page 6	當局籌劃建築營棚收容邊境難民
page 6	港越航運安全問題輔政司不表示意見開越各輪仍照常行走
page 6	香港旅行社定十八日舉行茶果嶺海浴會
page 6	西南聯合大學招收轉學借讀生外省學生可用通信申請報名日期定於月底截止
page 6	當局擇地建大屠場較現有者大一倍
page 6	經亨利下月退休繼任人選尚未定 
page 6	堅民公司參觀記由防毒面具說到樹膠鞋
page 7	棒球義賽第一聲美艦隊從容取勝選手隊聯絡欠佳為失敗主因結果六比二全局演出甚輕鬆
page 7	東方遠征追記
page 7	檳城兩捷
page 7	游泳節目 
page 7	學界水運籌備進行中
page 7	球國春秋
page 7	上半年度國產運港增加一萬萬元茶葉與纖維品出口最大宗
page 7	夏令籃球住聯勇克華僑美爾頓勝洪流
page 7	足球總會明日月會聯賽委會同時抽籤
