page 2	英國新政策的成功
page 3	贛戰側重湘贛公路高安混戰後我移錦江南岸粵南我軍反攻昨克復沙坪
page 3	紅星報著論盛讚我士氣日軍攻佔南昌意義並不重大
page 3	克萊琪到滬訪卡爾大使
page 3	Ｘ偽積極反英在淪陷區內組反英會對兒童灌輪反英教育
page 3	由貴陽到香港三
page 3	二次地方金融會議經過財部招待外記者報告
page 3	偽聯合銀行內容極空虛準備金短少信用惡劣
page 3	馬相伯先生百齡慶典渝今日盛大舉行國府頌明令褒嘉
page 3	圍攻武康我軍節節前進
page 3	贛豫桂參議會參議員名單公布
page 3	中央對汪兆銘獎予嚴厲處置認為危害國家不能姑息
page 4	英波談話結果簽訂攻守同盟內閣常會業已通過英法軍事密切聯絡
page 4	英國海陸軍準備應付非常海相曾發表重要演說陸相宣布組織新軍團
page 4	英駐德大使週內將返任不致影響英既定政策德對英相聲明表憤慨
page 4	匈斯邊境發生新糾紛斯總理偕外長已抵柏林討論斯地位及對外關係
page 4	公務員服務規程全文二十三條公布
page 4	墨工人示威反法西斯黨該黨首領三人當局下令驅逐
page 4	義即將派遣大軍進佔阿爾巴尼亞阿當局聲明準備抵抗傳英已間接對義警告
page 4	羅保關係緊張保擬向羅要求歸還土地羅再召後備兵保衛邊境
page 4	美擴充空軍三個月內將增加三千架完成羅斯福六千架計劃
page 4	加拿大承認西國民軍政府德方宣傳弗朗哥將　入反共同盟
page 4	義此舉用意在對付英德
page 4	義照例否認謂正談聯防
page 4	蘇偽邊境又起新衡突日方定宣傳蘇軍越境結果偽軍死傷頗眾
page 4	赫爾抨擊德商業政策有害世界獎自食其果美駐德大使決不回任
page 4	勒伯倫當選連任
page 4	伊拉克英領被刺殞命首相表示歉意儲君繼登大寶
page 4	英政府決派經濟考察團由季滋羅斯領導赴羅馬尼亞談判
page 4	赫德森返倫敦將與柏克有所商談英謀發展北歐貿易
page 4	公務員新服務規程
page 4	英蘇關係
page 5	Ｘ侵入新會城尚有繼續西犯模樣我軍在會城西據險截堵
page 5	香港廠商集團訪澳定十三日成行
page 5	新會城淪陷記Ｘ兵縱火焚燒東門桂軍出動阻Ｘ續犯
page 5	浩劫話江門附近村落盡被匪Ｘ洗劫偽維持會群醜將登場
page 5	中山沿海安謐縣當局佈告闢謠傳Ｘ砲擊登陸均屬不確
page 5	粵南Ｘ艦無異動瓊崖游擊隊活躍潿洲島難民不斷逃奔北海
page 5	粵動員會奉命恢復工作推進精神動員
page 5	粵重要社團奉命移韶以期集中力量
page 5	中山回國服務
page 6	學賑會改選完竣李政耀謝裕德分任正副主席昨晚召開首次執委會議
page 6	華商籌賑會一元還債款經收共數千元推銷黃花崗義演入場券撥助救世軍二百元
page 6	中國婦女會常務會議蔣夫人辦理醫院捐助水壺一千個
page 6	復活節全港基督教徒舉行紀念禮拜七日十日分在港九舉行銀行放假郵局辦公半日
page 6	吳公虎畫展明日在金陵開幕
page 6	婦聯會商請中旅月內義演劇本鳳凰城我們的故鄉全部收入充兵災賑款
page 6	洋務公會焚債運動延期五月五日舉行本港洋務公會自倡行焚
page 6	基督教聯會本年新職員選出
page 6	香港仰光間貨運擠擁各公司增派輪航行
page 6	本港銀行業業餘聯誼會請夏衍先生演講
page 6	酒牌局議員嘉士地氏當選
page 6	防空當局舉辦商行職員防空班函各大商行邀其合作派遣一二人參加訓練
page 7	星中華臨去秋波一比零小挫華聯雪泥鴻爪謝慶福一箭定勝局今晨赴澳小遊明日班師回星
page 7	昨晚公開籃球賽南華力克廣大結果四十比三十二混戰甚烈華南勝港大五十六比三十九
page 7	日台杯選手山岸習海軍
page 7	本屆世運秩序會期十六天七月二十開幕
page 7	奎斯脫改正足錯誤
page 7	何愛英將赴星洲表演
page 7	暹匯回漲六咽其餘均低縮英美匯需求多市況疲弱申匯市緊銀行頗多拋出
page 7	股票市轉趨沉寂買戶多疑慮成交甚稀少但賣戶尚少市底仍穩定
page 7	八九金市頗為堅挺買戶眾多價格稍漲
