page 1	社評闢不合國情說
page 2	憲政程序草案擬定昨日繼續憲草二讀
page 2	二讀通過條文
page 2	行政院與立法院關係之檢討
page 2	會場側寫
page 2	官吏充任代表問題若干代表反對廿八條之限制聞即將聯名提議將此點刪去
page 2	國大女代表昨應蔣夫人宴
page 2	國大粵籍代表昨公祭建國陣亡將士
page 2	延安抨擊國大
page 2	國大閉幕在即代表們紛紛作歸計
page 2	晉境戰事蔓延未已保定外圍連日有砲戰
page 2	蘇北戰鬥持續進行國軍收復沭陽宿遷間一據點魯南共軍五萬餘抵蘇北
page 2	美報論我政局經濟落後為糾紛之因素
page 2	滬十一團體昨歡迎張瀾
page 2	世界名人論民主
page 2	司徒在平演講中國兩大黨派理想很好但互不信任更加積久之仇恨乃成為不易調處之局勢
page 2	建設海軍桂永清招待記者談話
page 2	張東蓀來滬
page 2	陳立夫將談制憲
page 2	中華海員工會呼籲保障海員生活
page 2	鮑埃斯皮箱案港一婦人被捕
page 2	錢昌照談臺灣工業展望十項事業產量均見進步三年後可恢復戰前水準
page 2	祕密監獄殺氣騰騰日戰犯供出在長春近郊
page 2	東北工廠被搬走美蘇關係受影響美報評鮑萊報告
page 2	錢昌照等抵穗即轉瓊島視察
page 2	黃汎損失統計
page 2	減輕新聞郵電費尚有一事待解決
page 2	漢奸馬良判處無期徒刑
page 2	統計學社年會昨日在京舉行
page 3	河內混亂激戰未已法軍占優勢正進行肅清戰噴火戰門機助戰掃射越軍
page 3	越南醞釀分裂前外長籌設國民政府指責胡志明親近共黨美國務院否認被邀調處
page 3	討論德國經濟統一美蘇兩佔領軍當局將談判德境美軍司令麥克納宣布
page 3	異哉所謂內閣制不合國情
page 3	貝當要求重審
page 3	真納談話將開回聯會議
page 3	英邀緬談獨立美國務院表示歡迎邱吉爾抨擊對緬新政策
page 3	莫洛托夫返蘇曾與索柯洛夫斯基在柏林作重要會談
page 3	潘狄德夫人談話責英破壞印向聯之大提議甘地謂歐人內心好戰
page 3	史達林誕辰在沈寂中渡過他的健康仍是一謎
page 3	印制憲會六委會與貴族會議談判
page 3	伊朗選舉前奏
page 3	日本地震成災各報呼籲盟國援助
page 3	波答覆英照會反責英國違背對波義務英官方說明態度
page 3	中東動態黎巴嫩對阿剌伯聯盟關切敘利亞總理臥病發生閣潮倫敦等侯猶太復國會決議
page 3	國大代表上書主席謀在河內海防設中立區
page 3	南韓美軍政廳將還政於韓人
page 3	鈾的新分裂法何慈慧女士在巴黎新發明歐洲科學界都在密切注意
page 3	法財長辦護財政政策
page 4	出社局決心抑平物價奸商違法請市民檢舉食米油糖均大量拋售以抑漲風
page 4	留滬日僑或將久居四月份起照付房租
page 4	從電力看上海工業
page 4	中國化學團體昨開聯合年會
page 4	始亂終棄陳玲弟服毒
page 4	又一種攔路黨專向小漢奸敲竹槓
page 4	拔槍自殺李光璧身死
