page 2	官吏之考選與訓練向中央人事行政會議進一言
page 3	竄擾上思日軍潰逃我軍分途跟蹤追剿晉南同蒲線中條山均有激戰
page 3	軍委會發言人談各線戰況南北我軍猛烈進擊日軍受創均極慘重 
page 3	行都空防加緊充實中
page 3	日汪新把戲雙方已擬就和約汪派歌頌其主子善意
page 3	克利浦爵士今日由渝飛港
page 3	楊亮功談皖視察觀感我軍紀律嚴明人心鎮定日人焚殺搶掠民眾憤恨
page 3	討汪通電
page 3	中蘇文化協會舉行三屆年會梁寒操等當選本屆理事
page 3	滬又一槍殺案律師吳其倫被人擊斃雪園主人袁志莊被綁
page 3	燕大校長司徒雷登抵渝
page 3	人事行政會議開首次大會共收到議案五十件
page 3	甬江覆舟遇難乘客二百餘人
page 3	粵省民食可以無憂米糧獲得接濟中央增撥災區賑款
page 3	經濟軍政兩部組鋼鐵管委會對鋼鐵用途將予統制國營煉鐵廠正式出鐵
page 3	昆明通信滇緬行二
page 3	冀晉綏繼續掃蕩
page 3	贛鄂豫迭挫日軍
page 4	維堡戰役告一段落蘇軍分頭推進芬新陣地佈置完成
page 4	美商務部報告書論日本危機通貨膨脹日趨惡化煤電缺乏工業收縮
page 4	法日商約將期滿日極感焦急亟欲與法進行談判訓令澤田探討意見
page 4	美反日團體呼籲實施禁運畑俊六談開放長江問題須以當地軍人意旨為依歸
page 4	比外長談話決保領土完整德機屢次越比領空邊區發生反英宣傳 
page 4	日本政潮前途險惡齊藤態度突變不肯提出辭職
page 4	粵民食問題
page 4	德國否認與土訂立商約土向英購大批車輛
page 4	德青年團協助農作男女共七百人
page 4	畑俊六之言
page 4	如果芬蘭亡了
page 4	保衛弱小
page 4	英禁德煤外運義提出抗議謂英政府此種決定有違國際法之精神
page 4	中立國家的歧途一個英國人的觀察
page 4	西線空軍活躍一週間柏林五度被襲德機襲英東岸護航輪 
page 4	韋爾斯赴巴黎傳希特勒曾向韋氏提出休戰條款五點
page 5	大良戰事仍猛烈我軍反攻極得手市內便衣隊紛起響應
page 5	禪炭線上激戰再起日軍增援猛犯炭步大窩環山爭奪激烈
page 5	西藏紀行六
page 5	故鄉拉薩
page 5	鳳子女士意外成績
page 5	東北地獄嘆為觀止
page 5	日本浴室中國僅有
page 5	戰地歸來猶穿戎裝
page 5	雄壯活潑當之無愧
page 5	西康日記六七第四編康定及其附近西康風俗概述
page 5	中電攝影場五大新片攝影場內外瑣聞
page 5	泰國故態復萌又大捕華僑謂係組織秘密團體從事活動被補者已達百餘人
page 5	廣州灣考選失業青年派送韶關幹訓所訓練
page 5	川省立圖書館開放閱覽定四月一日正式成立
page 5	重慶國際電台繼續向泰廣播闡明抗戰精神揭發日人陰謀秦國務院長表示感奮
page 6	廣東省銀行表示粵省券準備充足無論多少隨時均可兌換切勿誤信謠言到行擠兌
page 6	香港美術社昨日起舉行畫展作品共百餘幅極為精采港督到場參觀頗為讚賞
page 6	女青年會募損大會第一次報告成績共八千二百餘元
page 6	粵救委會港分處昨成立
page 6	長洲發生水雷爆炸事件前晨三次居民飽受虛驚附近門窗均毀碎石橫飛
page 6	東樂大戲院今晚提早開台
page 6	文藝協會三十一日舉行年會
page 6	天氣變幻無常昨晨降雹大者如拳歷時十餘分鍾為本港有史以來所僅見
page 6	各大學學生聯誼會昨舉行代表大會章程通過二十四日成立並選出理事會各部職員
page 6	華商籌振會昨日募慰勞金成績
page 6	馬薛義學何甘棠慨捐鉅資 
page 6	今晚燈火管制車燈日落後即須遮蔽
page 6	難童免費學校虎戲義演籌款本月十一日至十三日門券今日起開始勸銷
page 6	花卉展覽今日下午開幕
page 6	攝影在軍事上的重要英國遠東情報局播講
page 6	王熙春昨日抵港
page 7	足球總會月會批准兩華南遊派隊聘越事交小組會辦理港澳埠際賽本月廿四舉行
page 7	知音無幾人
page 7	大生杯球賽月中頒獎逍遙穩得冠軍
page 7	協會乒乓賽定九日頒獎
page 7	挹翠軒話別記
page 7	光華會新委會產生
page 7	外匯牌價無變動申匯市況略好轉英匯美匯市況依然靜寂
page 7	股票市況穩定供求相應價格少起落全日成交共十萬餘元
page 7	八九金市昨日仍無成交
page 7	香港足球觀感
