page 1	美國與泛美會議
page 2	蔣主席在臨全會致詞表示不參加總統競選本屆副總統競選採自由方式國大昨休會今天重選主席團
page 2	絕食代表日趨衰疲退讓僵局可望打開國大將通過蔣主席提案承認簽署代表資格准許出席
page 2	中國的經濟病態英國商務訪華團觀感
page 2	代表通宵酣舞酒店生意興隆
page 2	昨開理監會議決支持莫德惠競選
page 2	白崇禧邀豫請願代表會談表示絕不放棄鄭汴
page 2	萬福麟明天離京赴瀋就行轅副主任新職
page 2	電報費加價今天起實行
page 2	綏南共軍攻涼城和林魯中濰縣昌樂續激戰晉境臨汾攻防戰進行未已
page 2	雷諾飛到東京昨天下午離開上海諉稱試飛一去不返飛行許可證也沒有交還
page 2	薩鎮冰九秩榮慶蔣主席將頒壽匾
page 2	抗議當局解散學聯北大學生開控訴會許德珩樊弘等應邀演講南開北洋學生響應罷課
page 2	學校裏第三者的苦悶
page 2	兒童節在上海慶祝會上戡亂之聲盈耳健康比賽兒童多不健康苦命的三毛贏得了同情
page 2	紀念兒童節穗小學生開會
page 2	公路交通老牛破車雖然漲價依然虧本第三運輸處長馮君銳的牢騷
page 2	雨季快來了粵築堤工作不順利
page 2	平師院將復大袁敦禮飛京商洽
page 2	美援華案簽署王外長發表聲明說接受此案心情實十分沉重政府決心實現經濟自助方案
page 2	廣州又捉到壯丁販壯丁黑市逾二千萬有價無市熬不住貧窮的人很願意當兵
page 2	引渡徐繼莊港方將作最後決定政府現已準備公審
page 2	津塌屋慘劇死八人傷六人
page 2	新疆歌舞團首批飛蘭州
page 3	美援外物資即開始輸出法義奧希荷將首先獲得法案簽署時白宮舉行簡單儀式
page 3	日本政府恃寵又向美要糧要草德萊柏代表團飛舊金山
page 3	美國故作緊張超空堡壘曾演習假想戰凱尼要求建立強大空軍
page 3	孔雀舟的寂寞印度的外交政策
page 3	奧國蘇佔領區何來怪機投彈
page 3	華萊士演講指摘杜魯門
page 3	美煤礦罷工風潮杜魯門下令制止
page 3	美洲籌組反共集團智利即將提出建議馬歇爾與智利代表曾密談
page 3	法越戰火禍延旅越僑胞二百餘人自越北逃滇南荷印限制進口僑商處境難困
page 3	柏林局勢已見鬆弛包圍鐵路大廈美兵撤退公路暢通火車也多已開行
page 3	逃毀減萬餘教徒落荒怕日蝕南韓選舉延期
page 3	孟買工人罷工抗議印共領袖被捕加城公務員罷工又餓工
page 3	海南軍墾計劃確定榆林將設立軍墾辦公處
page 3	以刺刀看守民主義國政府採取措施準備武力監視選舉蘇義將談判賠償等協定
page 3	前廣州直稅局長李秉樞案宣判被處徒刑十五年
page 3	新聞自由會議中蘇提案全遭否決
page 3	瓊島漁產增加較半月前增十倍
page 4	華中華北富豪南進新屋宇紛紛興建中畫則師忙於為高貴的住宅設計建築地點集中在九龍新界一帶
page 4	豪華住宅船一艘在筲箕灣建築中
page 4	華商會競選糾紛革新派昨天發表談話
page 4	中華中學學生昨天招待街童被招待的街童約三百人每人都領到了一包禮物
page 4	米行商會重組月內可以完成
page 4	避風塘大道工程停頓
page 4	畫家高謫生義展今日起到本月十五日止得款充福幼孤兒院經費
page 4	周堎年昨廣播為那打素醫院募捐
page 4	狩獵遇匪祖士比利等兩人在新界坪山被劫
page 4	誤飲DDT幾乎害了命
page 4	廣西輪發售來回票
page 4	同樣是個兒童節兒童遭遇各不同有錢人的孩子彩色打扮流浪的小生命與節無緣
page 4	蘇浙同鄉會選出新理監事
page 4	返鄉旅客大部送走九廣車站情形改善候船水客尚多無不大嘆蝕本
page 4	兒童健康賽黃媛珍第一
page 4	海陽輪乘客帶鴉片被捕
page 4	水的警告如果月內無充分雨量三級制水將隨之實施
page 4	警探嚴查砵崙街血案追尋死者丈夫蹤跡
page 4	警署加派員警保護墳場治安兩個墳場昨曾發生火警
page 4	宋子文定今日返穗
page 4	失而復得
page 4	工團註冊開始勞工團體多存觀望態度聯會組織進行尚有困難
page 6	銅鑼灣葡軍慘敗大中華獲國際杯八比三我軍贏來寫意
page 6	五十碼趙富勁射鏡頭美妙
page 6	馬華足球選拔賽北馬不及南馬好
page 6	參加全運項目人數十餘單位陸續報到台選手一一二人受訓三週
page 6	上海足球決賽東華青白昨天戰和
page 6	今天學界籃球賽初級組兩場
page 6	陶淑運動場開幕顏成坤行剪綵禮
page 6	馬華網球選手名單發表
page 6	王正廷抵港
page 6	饒德明定期演講青年問題
page 6	庇理羅士校友會明日舉行聯歡會
page 6	嶺大增加學費後申請助學額不多學救會減少救濟金額
page 6	樓文敖又傳捷報獲五千公尺冠軍
page 6	港九居聯會徵求隊昨出發並舉行游泳比賽
page 6	游泳聯會今晚選將
page 7	粵東各縣趕築省道廣州汕頭間月底可通車普汕路上被焚橋梁由鄉保賠償
page 7	多事的莞樟公路六座木橋全被焚路局不敢修怕再被燒掉
page 7	恩平金汎糧倉被焚開平錦湖鄉公所被搗毀
page 7	寶安近事自衛隊不能自衛分隊部竟被繳械
page 7	上校不如准尉粵各區專署武職人員呼籲合理地調整待遇
page 7	衡寶路上專員被劫
page 7	打仗時期禁扒龍船桂林市政會議的決定
page 7	張鵬飛部便衣一度偷入湘潭
page 7	新會參議會質詢縣政一片感激與多謝之聲議員為吃飯問題卻吵了一陣
page 7	殺婢案已最後宣判桂林小姐喜獲減刑八年徒弄改成兩年監禁
page 7	婚姻不自由結婚要呈准開封防範女間諜
page 7	蘇州農民紛紛抗糧
page 7	湘桂黔路黎家坪至觀間灘支線即以卅五磅輕軌修築
