page 1	社評馬來亞的陣壘拉開了
page 2	蔣總統自西安過鄭返京兗州苦戰國軍奪回泰安豫境續戰冀東國軍進駐昌黎
page 2	翁文灝答覆監院說明政院設法平抑物價經過申述行政當局沒有助長漲風
page 2	廣州通信廣東的縣政改革續完
page 2	國家總預算案今天送交立院
page 2	活不下去了滬小學教員昨冒雨請願警察鎮壓之下未獲結果群情憤慨願意站到天明
page 2	滬生活指數半月發表一次從下月起實施
page 2	反對徵財產稅滬工商界代表在京請願立院財金委會昨續討論決定僑民在國外的財產免徵
page 2	要錢休要命要命不要錢滬治安當局警告商人
page 2	徐堪捐屋一棟作為救濟特捐
page 2	粵改革縣政方案擬定今後縣長職權可望提高
page 2	開封之役責任誰屬豫參議員在京開會要求查究以明賞罰
page 2	幾個軍事機構改名總統明令發表
page 2	設一個機關專門管調查立法院將討論這件事
page 2	關於美援運用中美談判加緊進行下月三日前將在京簽字
page 2	上海被捕學生應該立即釋放立委王兆榮提案
page 2	抗議扶植日本山東大學罷課
page 2	發鈔的絕路及其對策
page 2	美援運用委會下月一日成立
page 2	輪船運費加價
page 2	黃埔港需美援港務局開了一張材料單
page 2	日本私貨湧到台灣台私人貿易團將赴日
page 2	浙贛路恢復通車
page 2	胡善恆赴湘解決購糧問題等懸案
page 2	梅縣糧價飛漲人心惶惶千萬饑民待哺花縣蟲災嚴重收成大受影響
page 2	蔣夢麟應邀抵穗他說基層政治必須收善將提出粵政改革的意見
page 2	徵兵難各縣仍未能徵足很多鄉長辭職了
page 2	佛崗失守之訊粵警保處否認
page 3	美援雙邊協定分別簽字受援國須穩定幣制規定匯率供給美國原料報告花錢情形
page 3	反對美國扶植日本山東大學教授發表宣言
page 3	美加不斷商聯防加國防研究會主席赴美共同計劃如何預防空襲
page 3	社會安全計劃英開始實施每個公民均可獲保障
page 3	英工潮益惡化全國糧食供應大受威脅艾德禮要宣布緊急狀態
page 3	義法共黨表示決以全力反對
page 3	義大利總工會即號召總罷工
page 3	捷克社民黨與共黨合併
page 3	馬來局勢嚴重軍政首長舉行會議各地採取軍事行動
page 3	德萊柏赴柏林將與美軍當局商討局勢
page 3	馬來一幫土人不知日本投降
page 3	日人想要解決生活何不開發本國資源日一經濟學家指出經濟正途
page 3	新德里通訊印度的新總督他是律師政治家和小說家
page 3	日本勞工運動擴大左翼掌握領導地位控制達百萬會員的兩大工會
page 3	日本大地震福井縣受創最重可能死傷數千人
