page 2	民國二十九年國慶紀念辭
page 3	二十九年國慶紀念蔣委長告全國軍民一致奮發矢忠矢信不餒不懈
page 3	中國抗戰到底日閥必遭覆滅
page 3	如欲完成建國大業必須粉碎日閥野心
page 3	印度回教領袖將訪問我陪都渝市各團體籌備熱烈歡迎
page 3	國際任何變化不影響我決心
page 3	各盡應有責任完成莊嚴使命
page 3	日本協助泰國向法施壓力迫令接受泰國對越要求法發言人解釋法國態度
page 3	渝哈佛大學同學會函謝母校教授同情
page 3	滇省振會設立南防難民站救濟學民及歸國僑胞
page 3	日軍佔劉公島後英國照會日本保留地面物業一切權利
page 3	唐生智大義滅親與弟生明脫離關係
page 3	余司令長官節約儲蓄率所屬　儲六萬元
page 3	行政院例會
page 3	陪都兩團體紙傘贈貝當感謝法越對日本妥協使滇人得嘗炸彈滋味
page 3	集中心思才力貢獻自由生命
page 3	革命絕難倖成必須堅忍奮鬥
page 3	恢復國家獨立完整樹立世界信義和平
page 4	美海軍備應付事變英美將取強硬步驟美國撤僑迅捷日本官場驚異
page 4	英美輿論敦促經濟制裁日本
page 4	日報抨擊英美活現焦躁煩悶
page 4	德軍開入羅境影響蘇德關係傳德又在波蘭駐重兵土耳其加緊軍事準備
page 4	德密探部長將訪問西班牙馬德里注意英美遠東合作
page 4	菲願助美參加戰爭菲列賓前鋒報著文
page 4	邱吉爾將繼任保守黨領袖有力黨皆表擁護
page 4	美停止津貼運遠東麵麥
page 4	美日態度的對照
page 4	英國考慮撤回公使
page 4	法艦六艘
page 4	對付蘇聯
page 4	不必重訂
page 4	艱苦危難
page 4	維希黨人
page 4	尚未渡過
page 4	毀滅德國
page 4	開始演說
page 4	英首相報告開放滇緬路經過美政府擁護英方措施並曾將決定通告蘇聯
page 4	三國同盟
page 4	日當局暫無意撤退美境日僑
page 4	滇緬路重開我方感滿意
page 5	闔港僑胞今日慶祝雙十節機關學校團體一律休息九龍聯校舉行操演大會
page 5	英帝國東部集團聯席會議月底在印舉行本港代表團定今晨啟程由史樂詩任代表團領袖
page 5	教聯會贈旗共三十萬枝
page 5	記者圖書館今日開幕王雲五主持開幕禮
page 5	響應將夫人徵募藥品運動婦女兵災會捐款萬元盼僑團捐輸共襄義舉
page 5	今日各區增派警察以防意外事件
page 5	廠商聯會撥捐國幣二千元救濟渝被炸難民
page 5	婦女慰勞會慈善餐舞會昨日開幕盛極一時
page 6	美領奉國務部電勸美僑及早撤退趁目前交通尚保持常態此項勸諭當係預防性質
page 6	港局未至嚴重階段
page 6	節建儲運實收金額超過百萬
page 6	狄四娘聖瑪利亞堂明後日上演
page 6	彩色攝影今天預展在九龍青年會舉行
page 6	品茗請早些來
page 7	桂林各界籌備熱烈慶祝雙十節各校組織街頭突擊宣傳隊抗戰歌聲要充塞整個桂林 
page 7	昆明鱗爪
page 7	桂林籌備防空節游藝會連開三天場內並設獻金台
page 7	滇農本局合作金庫遷黔辦公原設縣金庫仍存在
page 7	川康建設協會舉行會議公路效能增進
page 7	教部注重音樂教育明年創刊樂風誌雜
page 7	中山大學新校長許崇清談校務遷校經費尚有餘款研究工作力予充實
page 7	鄒前校長
page 7	人事方面
page 7	研究工作
page 7	國抗戰後之大學教育
page 8	某戰區設置經濟遊擊指揮處實行經濟遊擊戰術指揮處積極籌備中
page 8	游擊隊活躍衝入小欖劇戰日軍措手不及傷亡甚多南番順一帶亦紛紛出擊
page 8	岐關公路局部行車
page 8	澳大光火柴廠發生火警
page 8	四行農貸貸出已近百萬
page 8	粵三救濟區護送歸胞一週間達三百餘人
page 8	三　日軍控制交通
page 9	華聯西聯會師愉園全港名將薈集一場
page 9	足球總會昨開委員會議東星大戰舊事重提依照規則尚可上訴
page 9	足球友誼比賽聖約瑟和南華
page 11	申匯市況續趨好轉美匯淡靜英匯穩定 
page 11	股票趨勢不定
page 11	遠東形勢緊張國幣價格猛漲昨日最高價到達二六四
page 11	四四金市穩靜金條成交不多
page 12	紀念國慶要加強信心和加緊奮鬥
page 13	節約建國儲蓄運動王正廷在基督教團體演詞
