page 1	社評從捷克普選說起
page 2	兗州外圍戰事益熾烈南陽地區捕鬥進行中熱境承德附近戰況轉趨沉寂
page 2	首都教授發表意見扶植日本後果可慮反對美扶日不能認為是共產黨對新閣人選表示失望
page 2	滬被捕學生未全釋各校學生會商營救辦法平津院校學生組反扶日機構
page 2	美人士重視我學生運動
page 2	在滬交通大學警戒的裝甲車
page 2	自力更生的重建資本鄉土復員論之七下篇
page 2	航空火車運價今天同時增加
page 2	越南華僑組織方式問題法方採取片面行動宣布恢復幫公會制我已向法方提書面抗議
page 2	暹教次談僑教問題叫我僑校先同意遵守規定尊嚴不受損始可考慮要求
page 2	萊普漢即飛滬他說將以銀行家的態度作最聰明而有利的投資
page 2	救濟潮汕米糧即可分批運汕
page 2	監院今晨開預備會討論院長互選辦法張維翰談話決競選副院長立院將討論第一件追認案
page 2	京杭國道將加開直達快車
page 2	陳納德抵瀋
page 2	張群定期返京
page 2	桂西南水災
page 2	黃埔建港貸款已在廣州簽約
page 2	粵穗役政人員忙連日分頭出發各地催徵又要對付捉不完的兵販
page 2	戴傳賢任國史館長
page 2	工程師節昨京穗等地均有慶祝
page 2	穗地院看守所囚犯前昨兩度發生騷動囚犯群撞鐵門呼嘯大作憲警到場彈壓事始平息
page 2	崇明海面封鎖
page 3	聯合國朝鮮委會新擬議想在北韓也來一次普選在滬草擬報告委員即返漢城
page 3	阿猶愈打愈烈陸戰之外並作空前海戰
page 3	日本雜感二
page 3	別把它嚇跑了民族週刊漫畫
page 3	遠東經濟會議四日後決定印尼入會問題
page 3	每抵一城演說一次杜魯門攻擊共和黨自信將可再度當選總統
page 3	星洲工業不安工人鋌而走險
page 3	日本私人煤礦將由國家管理
page 3	日本鐵路工人將罷工爭待遇
page 3	犯罪事件迭起數十人將被逐出境
page 3	自力更生的重建資本鄉土復員論之七下篇
page 3	美減款案造成國內矛盾政府認為影響外交政策范登堡作最後努力以謀挽救
page 3	西班牙游擊隊成長佛朗哥正加緊訓練特務派赴國外對付流亡人士
page 3	印荷協商前途黯淡
page 3	法外部敏感的看法東西集團有妥協徵象以四件國際近事為論據
