page 2	日本的根本苦悶
page 3	襄樊形勢轉趨穩定日軍退集棗陽西北我照預定計劃反攻開始奏捷
page 3	贛北我佔優勢蕭山日軍又增
page 3	晉南猛攻陽城日軍大部退出
page 3	中國字拉丁化根本不切實用教部主管人員發表談話教法可以改文字不能廢
page 3	薛西爾電祝我豫鄂勝利
page 3	重慶莫斯科間將直接通航中蘇航線下月全線啣接
page 3	本年普通考試定八月初舉行考試院制定新考選辦法
page 3	蘭州各界歡迎僑慰團陳嘉庚今日赴陝
page 3	割麥運動某戰區幹訓團發起
page 3	童子軍團員何階平病逝各方紛紛電唁家屬
page 3	行政院嘉獎泌陽縣長
page 3	滇續發現鹽田鹽務當局改用新法提製並呈請財政部撥款補助
page 3	滬盜匪橫行熱鬧區域竟敢持械行劫開槍拒捕結果死傷五人
page 3	包頭日軍搜索現洋人民橫被殘害
page 3	婦女慰勞總會等慰勞空軍將士演話劇唱歌曲情緒歡洽
page 3	桂省努力培養師資
page 3	歐戰通訊之十一荷比被侵與巴黎反應下五月十五日巴黎航信
page 3	從化北犯日軍迄無重大進展
page 4	邱吉爾首相發表德軍侵至波隆英海峽地帶積極戒備聯軍反攻信念堅定
page 4	英機力阻德軍前進海峽區域發出警報
page 4	美兩院通過海軍擴充案共達十四萬萬餘元加緊造艦補充飛機
page 4	威廉二世由荷遷返德國
page 4	英法西斯黨領袖穆思萊被捕根據國防法之規定尚有多人亦被扣留
page 4	英採切實步驟增進對蘇關係外次在眾院明白聲言
page 4	英眾院質問南愛安全問題阿特里代首相答復謂已商有確切辦法
page 4	英法荷規定荷盾匯率荷加入英法金融協定
page 4	托洛茨基險為他人綁去 
page 4	肉麻的捧場日向義獻媚
page 4	印事務大臣陳述英印關係有意解決英印糾紛甘地談話表示贊同
page 4	美議員敦促政府立即援助聯軍美準備應付第五縱隊
page 4	日閥又一失敗
page 4	英蘇增進關係
page 4	英糧食充實伍爾頓作肯定聲明
page 4	挪威當局繼續抗戰谷德已返國
page 4	美加緊完成汎美航空線
page 4	荷蘭女王向荷印廣播抵抗不正義為唯一出路
page 4	義國躍躍欲試墨索里尼召集國防會議遠東義國郵船通告停航英任賀爾為駐西特使
page 4	德國施用最新殺人武器西線發現噴火坦克車
page 5	日軍冒險北竄已陷入危殆之境我軍佈置週密獲得初步勝利最近三日來續殲日軍千餘名
page 5	滬北日軍橫行霸佔虹口經過剝削警權到處大肆搶劫百般留難市民視為畏途
page 5	日在滬北強行搶奪
page 5	協定聲中北區巡視
page 5	虹口區域情景特殊
page 5	保障東江行旅設軍警巡查處推定駐防軍負責籌備
page 5	粵省小學教師星期講習會定期七月下旬分區舉辦全省共設三十五所
page 5	中山糧荒益趨嚴重偽軍改編發生衝突 
page 5	國產出口粵省施行統制
page 5	北區警權尚難恢復
page 5	廣州灣見聞錄
page 6	昨日本港各機關學校紀念英國國慶日懸掛英國旗並放假一天明日為英帝國祈禱勝利
page 6	帝國日之公開信
page 6	港分會主席賀函
page 6	英學校聯合慶祝
page 6	為英國祈禱上帝
page 6	三文化協會藝術觀賞會現代畫展徵集港澳畫家最近作品每人兩張下月月底舉行
page 6	荷蘭郵輪羅芝號中止赴滬
page 6	書家簡琴齋已由赤坎返港
page 6	不合資格大學生教部頒布救濟辦法一律參加統一招生考試不及格者不准繼續入學
page 6	雨芬中學
page 6	華南汽車工程學校
page 6	夜盜紅綃
page 6	火燒舊金山
page 6	美國海空軍
page 6	六國大封相
page 6	名探之子 
page 6	中華聖公會舉行四省教區大會
page 6	今日全港童軍舉行技能比賽下午在拔萃書院舉行露營比賽決暫行取消
page 6	香港舊書店運到大批書籍
page 6	戰時景氣的電手筒業
page 6	國聯同志會港分會昨舉行周年大會選孟甘穆利醫生為會長徵求會員討論國聯問題
page 7	今天加山棒球賽中華對抗香港下午二時半即開戰鑼
page 7	東方十六壯士昨晨飛馬尼拉
page 7	九龍學界籃球今日頒獎
page 7	東方旗開得勝四比三勝菲隊
page 7	銀聯旅行團石澳海泳定明日舉行
page 7	南華游藝部續辦歌詠班
page 7	美菲荷匯牌價回縮英匯呆滯申匯穩靜
page 7	國幣仍穩昨最高價二七○
page 7	八九金市稍趨堅挺
page 7	股票市況穩定匯豐銀行等股略見回漲
page 7	籃球聯會昨開會盧黃糾紛事件昨日已圓滿解決裁判會請求派員負責紀錄牌
page 7	半島到機場
page 7	今晚公開籃球賽鐘聲戰華僑乙組紅鷹對精武預料有劇戰尾場警察對青乙
