page 2	社評日本政治進攻又一
page 3	我國際形勢益樂觀馮副委長講演必勝
page 3	Ｘ機又轟炸連縣繁華市區火燄沖天宜山電白損失亦重
page 3	落鍾祥Ｘ機機師全被擒獲
page 3	委員長蓉行轅本月中旬開始辦公內部重要人選已定
page 3	我軍襲筧橋格斃Ｘ十餘名
page 3	皖Ｘ中地雷死三百餘人
page 3	滬一小漢奸昨死於亂槍下
page 3	關於滇緬公路
page 3	津Ｘ苛索撤除障礙物報效三十萬
page 3	漢Ｘ毆辱英僑英領已提出抗議
page 3	榮祥抵西安
page 3	封鎖珠江
page 3	粵自衛團經費由省府發放嚴禁向地方籌欵
page 3	中英航線定九日試航
page 3	渝各界合辦之工商協進社成立孔院長演說勉勵有加
page 3	Ｘ偽造法幣在各淪陷區內使用我同胞不肯受欺騙
page 3	喜饒嘉錯對西康建省極表示欣慰
page 3	豫東我軍在龍岡獲全勝
page 3	燕大學生
page 3	優待Ｘ俘解送後方收容
page 3	中國在復興中抗戰十八個月以來收穫比較損失為多
page 3	閩省府組織僑胞慰問團出發南洋宣傳
page 3	五路軍學生軍集中訓練期滿深入民間工作
page 4	法西斯黨大會義相表示平凡在西志願軍不撤退對希特勒表示滿意
page 4	美國務部研究修改中立法羅斯福與軍委之談話美國兩方不同的看法
page 4	日政府故放空氣謂與各國談判商約
page 4	西政府軍退出菲格拉叛軍續向法邊境推進逃法難民將送還西境
page 4	且慢越俎庖日有內顧之憂滬著名英商談話
page 4	利物浦炸彈案華爾登監獄磚牆被燬當局着警察加緊防範
page 4	英法購美機兩國共計已達共計已達一千架法討論視察團報告書
page 4	蘇聯宣布第三次五年計劃堅强的發展再進一步注重遠東區經濟建設
page 4	法政府公布法令
page 4	英國新任國防大臣
page 4	英駐法大使會晤龐萊
page 4	奧納粹黨自承政績不佳人民表示不滿
page 4	蘇匈絕交後消息報之評論匈已為侵略國之利刃施努勒中止赴蘇原因
page 4	弗朗哥對法態度法國派使探詢
page 4	德國難民荷蘭收容萬餘名
page 4	南閣總辭後弗哥維支受命組織新閣
page 4	德國家銀行希特勒改派董事
page 4	國際勞工局節省經費大批裁員
page 4	菲糖業工人示威遊行要求加薪減工仲裁後已平息
page 4	菲政府將提出防止歸化法案減少中日向菲島移民
page 4	荷煤油巨商狄透丁逝世
page 4	吳淞之Ｘ佔民地建營房
page 4	滬虹橋路大火
page 4	滬江海關Ｘ謀進一步侵奪
page 4	中大集訓生過桂入滇上課
page 4	西江戰果
page 4	漢奸的下場
page 5	川棉產量激增紗廠漸移四川開工建設廳在川北努力改良品種棉業當局設法高度增加棉產
page 5	福州禁賭破獲南台大賭窟警局處罰百餘罪犯其中竟有公務人員
page 5	Ｘ人瘋狂舉動三埠鶴山又被炸兩處死傷各有數十
page 5	中山縣走私猖獗偷運生絲達萬餘包抗戰時期之怪現象
page 5	粵保安隧裁編一旅鄒洪辭職朱暉日繼任四旅長調充行政專員
page 5	遂溪調查戶口
page 6	要求留省各輪返港聯名電英駐粵總領事向據省Ｘ軍提出交涉
page 6	港漁民呈振委會述迭遭蹂躪概況轉外交部向英提請保護
page 6	澈底改善孤軍生活司徒永覺談稱力謀切實整頓
page 6	婦女空聯會假義軍總部辦公按期講防空知識
page 6	學賑會昨舉行冬季野戰大會各校同學參加者百人並開座談會檢討戰況
page 6	港海關當局嚴緝走稅組電單車騎隧巡邏鐵路公路
page 6	慈善舞賽李華森獲冠軍
page 6	港英警要求改善俸給
page 6	港當局建集中營疏散監獄囚犯利用囚犯從事九龍灣填海工作
page 7	特別銀牌賽東方會軍心振奮南華華卒被淘汰後衛演出鬆懈為慘敗主因結果四比二東方始終遙領
page 7	我仍參加世運大會
page 7	甲組聯賽目下形勢
page 7	台杯第一週賽我國輪空
page 7	光華益戰益勇二比一力克聖約瑟
page 7	滬學生網球隊敗于南華
page 7	去年國產由港輸出達二萬萬元
