page 2	北非新戰場的展開
page 3	美日談話繼續舉行來栖傳已接獲訓令美態度堅強未作一寸退讓
page 3	日機侵入泰領空泰向日提抗議傳泰機兩架曾被擊傷
page 3	美大批機車根據租借法案將運滇緬鐵路
page 3	日議會行閉幕式東條重彈舊調宮澤事件議員同盟分裂各黨派間明爭暗鬥益烈
page 3	不倫不類日報以東亞共榮圈比擬英美大西洋憲章
page 3	為解決日本事件而奮鬥記二屆參政會二次大會開幕
page 3	美參議員主張我極表贊同並認此為日本唯一出路
page 3	美國撤軍更進一步長江砲艦亦將撤退
page 3	美軍火運蘇日本方面頗為不安莫斯科轉播東鄉演詞
page 3	參政會決議各案政府大部已實施駐會委會向大會報告
page 3	教育農林兩部報告施政狀況
page 3	內政部擬組禁煙視察團地價申報積極推行
page 3	蘇南我軍奏捷攻抵宜興近郊南昌外圍敵傷亡慘重
page 3	西北瑞雪預卜豐年
page 3	蘇紳韓國鈞守大義不屈
page 3	國際電台加強對敵宣傳
page 4	英軍進展迅速攻入里比亞達百哩多布魯克即可解圍
page 4	北非戰事開展勢將影響歐亞
page 4	消息傳至土京官方表示忻慰
page 4	德對維希加緊壓迫竟促派兵駐防東線魏剛被撤職北非門戶已洞開
page 4	美破冰船將駛阿昌吉明年將可實現
page 4	英國開闢新戰線北非戰場的瞻顧
page 4	魏剛被撤換為戰略問題
page 4	美新主力艦印第安那下水較原定期提前六月
page 4	法決心降德危及美利益
page 4	美大批糧食運往英國價值幾達二萬萬元
page 4	莫斯科兩翼拉鋸戰愈激烈圖拉德坦克車陷重圍
page 4	克爾治蘇守軍退守海峽對岸
page 4	印度人口調查
page 4	伊拉克斷絕對法關係已正式通知維希外部
page 4	美代表團抵達伊朗
page 4	克爾治失陷
page 5	掃桿埔頭有劇戰星鳥移師剿米軍界限街南華出戰警察會銅鑼灣東方初鬥洋水兵
page 5	游泳女健將陳玉輝病死
page 5	華軍勝利年
page 5	明天甲組獨幕劇聖約瑟戰光華下午四時三刻在嘉露連山場國際軍不懷好意光華要當心
page 5	中青後生可畏榮獲鐵城杯四十一比三十打倒南華福祺德彰出色勇冠全場
page 5	星島搗米論
page 6	防空處宣布在兩週後再度舉行燈火管制屆時將聯合防衛隊舉行檢討防空實力準備程度
page 6	入境限制日嚴曾在港居住及有職業者當局始能發給入境證書
page 6	李石曾由渝抵港談國際文化合作工作分為宣傳出版研究並決定出版自由世界
page 6	史美退休下月離港各界籌設茶會歡送由周壽臣羅旭龢等發起每人六圓李子方處報名
page 6	青年會今日舉行慶祝四十週年紀念
page 6	港警察加緊軍訓每週舉行大操後備警察學習日常勤務特警舉行看守防空洞演習
page 6	培正漢師兩校舉行校友會
page 6	今日賽馬展期馬伕罷工昨日仍未解決勞工司進行調解無結果
page 6	陳策陳慶雲兩氏歡宴司徒美堂司徒氏表示對祖國希望集中國才保障僑胞投資
page 7	展開滑翔運動大公報第二號在柳舉行表演張司令長官出度致辭歡迎柳江支會日內成立
page 7	珠江口一帶泊敵艦十餘艘三灶島又運到敵機五十餘架
page 7	粵慰勞團公畢返韶敵死傷二千餘人善後工作已收效
page 7	革除地方惡習梅縣提請先行禁止製造冥鏹一縣之大年可節省三百餘萬
page 7	粵省臨參會駐會委員會議請中央派員來韶表演滑翔便利及保護華僑歸國服務
page 7	西安零縑
page 7	申匯市況靜穩英美匯仍不振
page 7	美金價格再度低跌
page 7	股票市況微露生氣昨成交九萬餘元
page 7	國幣價格再略上漲最高價為一五四
