page 2	社評美國遠東政策應進一步
page 3	越南形勢突見緊張西貢將開軍事會議泰越休戰協定延長東京談判僵持美公使訪問泰外銳有所商談
page 3	日方依然驕橫仍恫嚇英美大橋竟誇耀其海軍力量
page 3	大島浩在德極活動曾訪晤德外長詳談
page 3	爭執不已日閣應付棘手開始改組機構
page 3	日軍代表團又一批赴德現已抵馬德里
page 3	英美將對日施經濟壓力
page 3	美記者視察馬來亞情形英澳防軍積極準備援軍仍將源源而來
page 3	對主計會議會員林主席墾摯訓勉有操守而無官氣多條理而少大言
page 3	內閣與軍部特別會議討論最近局勢
page 3	日機殘骸運抵昆明展覽
page 3	萬墨林脫險吳修被綁未成
page 3	陪都黨政軍各機關開會追悼殉職同志
page 3	美將輸出飛機二萬架援助各民主國家作戰滬美商會函請威爾基來華
page 3	英相邱吉爾接見日大使
page 3	戈思默離滬
page 3	汪強迫滬商使用手紙以科罰為恫嚇
page 3	李瑞雲殉職
page 3	贛北我軍出擊攻入鳥石街毀日倉庫
page 3	要聞簡報
page 3	粵省發展內河航運
page 3	紅軍建軍節蘇聯大使館冠蓋雲集莫斯科隆重紀念
page 3	諾美亞當局禁日輪運鐵
page 4	墨索里尼悽愴演說自承戰事失敗僅侈言恢復能力至大謂決與英國戰至最後一滴血
page 4	不敢高談進攻處處著重防守
page 4	義國欲蓋彌彰暴露一切弱點
page 4	保京德人故向美使尋釁因奏遙遙長路到狄比德人竟先以酒瓶擊美使
page 4	英國巡邏轟炸機陸續飛南太平洋偵察該區域之德武裝商船美報所傳英美在東方合作計劃
page 4	川政瑣話
page 4	美參議員提修正案限制租借法禁止派遣美軍參加外戰政府領袖表示堅決反對
page 4	阿爾方索尚在人間
page 4	比弗布洛克向加拿大廣播英空軍實力繼續增強籲請加氏眾協力合作
page 4	法戰時海長甘秉基逝世
page 4	印青年海軍訓練完畢後分發艦上服務
page 4	土外長聲明抵抗全面侵略不容外國在國境安全區活動英報預料德即將侵保
page 4	希特勒昨發表演說
page 4	魏剛抵達西非達卡爾法閣將取消三巨頭制義軍要求退入突尼斯
page 4	孟席斯在倫敦廣播支援英抗戰光明與黑暗勢力間絕無可以妥協餘地
page 4	墨索里尼之低調
page 4	德用義勞力擴充生產
