page 2	社評民國三十年國慶獻辭
page 3	勝利聲中又屆國慶蔣委長勗全國軍民民族革命成功之基礎已奠立同胞尤宜各竭其能以竟全攻
page 3	爭取最後勝利何總長國慶日獻辭
page 3	紐約援華捐款募得六十萬元
page 3	全國婦慰會發動雙十節慰勞戰士
page 3	我在湘北大捷英國極感興奮各報著論力加讚揚
page 3	美坦克車運抵菲島
page 3	皖南金礦蘊藏豐富
page 3	緬贈我佛經將在昆明展覽
page 3	黔勞軍團定今日出發
page 3	李國欽在渝酬酢繁忙短期內即返美
page 3	若杉抵美京美日談話僵局無法打開華盛頓認日暫不敢蠢動
page 3	國府明令褒揚張冲
page 3	戰士以勝利祝國慶鄂西我軍克復宜昌軍委會尚待詳細報告
page 3	成都地震約三秒鍾始停
page 3	日糧食恐慌呼籲人民節省
page 3	我軍續向沿海掃蕩克復閩江口黃琦島
page 3	滬海關禁棉紗輸出銀行五家宣告破產
page 3	美土壤專家羅得明來華
page 4	美撥一萬三千萬元供我購買飛機陸部已向國會提議
page 4	希特勒孤注一擲三路撲攻莫斯科蘇京西南百餘里日夜惡戰中蘇軍宣布退出奧累爾
page 4	希特勒發表通告為前線將士打氣
page 4	德軍正與嚴冬競賽
page 4	戈培爾大吹大擂着各報保留篇幅備登勝利之消息
page 4	美總統咨文國會要求修改中立法並將要求通過武裝商輪案
page 4	美總統撰文論海洋完整
page 4	德機械化團屠殺南民眾
page 4	艾登對土表示信任將不至容許義艦過境
page 4	英軍集中埃及西境
page 4	戴樂謁美總統
page 4	德土協定定昨正午簽字
page 4	挪德軍又肆虐因鐵路出軌事件日增竟濫捕挪人以為抵押
page 4	厲風似刃冰戰如鋼
page 5	國慶日足球義演華聯分隊戰西聯下午三時一刻起乙組打頭陣甲組繼之開場嘉山定多熱鬧
page 5	攀山比賽今晨舉行
page 5	甲組聯賽形勢
page 5	心平氣和齊隨筆
page 5	五報水運會今午開場
page 5	星東大戰前夜
page 5	明天甲組足球聯賽光華出擊九龍下午五時在漆咸道九龍會場南華在嘉山戰聖約瑟
page 5	藻泉盾籃球賽廿二揭開戰幕
page 5	米海之戰
page 5	罌花節足球義賽軍聯對聯頭場中西記者聯隊對裁判隊成立埠際賽小線委員會
page 5	青年捧球團旅行深水灣
page 8	美軍事代表團團員三人昨續抵港
page 8	立法局昨日會議通過公務員生活津貼案生活津貼費分五級發給財政委會通過追加預算
page 9	勇冠三軍的故事及其他
page 13	中國建國之目標
page 13	戰後中國政治的改革慶祝三十週雙十國慶
page 15	國慶三十週年
page 15	民國三十誕辰獻言
