page 2	社評泰國與東亞新秩序
page 3	晉南我軍時出襲擊同蒲路日兵車傾覆
page 3	日要員抵西貢商侵越步驟日圖攫取老街燐礦泰越邊界糾紛仍未已
page 3	美籌建兩大郵船航行太平洋可改裝為航空母艦
page 3	最高當局嚴飭健全地方行政嚴格委用縣政人員
page 3	桂省籌建忠烈祠經費二十萬元
page 3	桂省禁酒藉以調劑民食分為三期推行
page 3	日旅行業將向南洋發展
page 3	陝省成立節儲實踐會長沙積極推行節儲
page 3	國府明令褒揚錢昌淦陣烈追晉陸軍中將
page 3	楊全宇囤積鐵證致歐書元之三親筆信當局繼續嚴查囤積
page 3	申報起工潮工人所提條件極苛
page 3	美人送禮贈我戰地孤兒
page 3	日機襲北江濫炸翁源佛岡等地
page 3	緬報界訪華團改定今日飛渝
page 3	美權威軍事雜誌論中日戰局展望認我實力大增前途愈樂觀日陷於泥淖地位益見削弱
page 3	鄂南淪陷之黑暗日傾銷毒品獎勱吸食
page 3	滬懷久女中被汪方攫收
page 3	英大使致謝中英文協
page 3	湘行政會議進行審查報告
page 3	立法院會議修正通過要案多宗
page 3	日本議會休會風見下台後獲得安插商工省內部發生糾紛
page 3	陳綿生獻金五十萬元當局電予嘉勉
page 3	野村抵長春定明日赴平
page 3	滬公共租界又將增稅
page 3	孤島瑣聞
page 3	要聞簡報
page 3	日本之幻滅馬淵撰文自承侵略前途悲觀中國抗戰熱情火熾得道多助外交光明
page 3	美將加緊制日最近民意測驗之結果多數贊成以武力制裁雅納爾呼籲強硬保衛權益
page 4	德機械部隊三師團傳已開入義境援助阿境義軍作戰柏林否認德蘇間增兵
page 4	北非英軍增援圍攻巴第亞機械化部隊組成鐵圍義軍後路均已被截斷
page 4	英國沿岸戒備森嚴提防德軍乘霧突襲空中休戰已告終結
page 4	美對歐戰態度國內兩種呼聲費煦等促以全力擊敗軸心國凡登堡向日宮發起和平動議
page 4	蘇聯捕獲間諜嫌疑犯由波羅的海方面潛入
page 4	國際學生服務大會美總統致祝詞欲戰勝強權維護自由必須竭盡勇氣與犧牲
page 4	新中國的物質建設記中國工程師學會年會
page 4	滬報評論英閣改組
page 4	墨德義輪船升火待發圖衝破英封鎖
page 4	美對歐亞航運兵險費大減
page 4	蘇作曲家撰中國友人歌他們遙遠在崇山峻嶺的那邊我們的心和歌聲與他們相聯
page 4	希特勒在西線對工人演講
page 4	克銀漢任第四海務大臣
page 4	英義將談判美報所傳之維希消息
page 4	埃及議會贊同政府外交政策忠實履行英埃條約
page 4	紐約比領事呼籲僑民從軍準備與英比肩作戰
page 4	英那烏魯島突遭砲轟進襲之船係懸日旗
page 4	英西將談判坦吉爾問題
page 4	德軍開義
page 4	巴爾幹消息多
page 5	川省糧食調查各縣成績揭曉蔣委長令川省府分別獎懲明年一月底將再綜合考績
page 5	新中國的物質建設
page 5	中山八區又起激戰日軍被殲百餘名
page 5	韶關加緊疏散省府派員設站招待
page 5	閩改進農業有長足進展
page 5	股票市況穩靜昨成交部值四萬餘元惟市底仍然堅挺
page 6	遠東英駐軍總司令普法姆昨日抵港日內舉行重要軍事會議遠東英屬實施聯防計劃
page 6	參加國展廠商要求延長會期舉行義賣三日救濟難胞刻與主辦當局在商討中
page 6	重建惠滇醫院募款成績甚佳已捐得港幣三萬餘元明正舉行音樂會募款
page 6	羅明佑視察海外電影業
page 6	獻給國展
page 6	代領證處取銷五所移民局昨日布告
page 6	美國女作家史特朗由渝抵港據談中國軍民精神旺盛蘇聯準備應付事變措置
page 6	港九防空洞工程加緊進行耶穌誕期內並未休工九龍各水渠改建避彈所
page 6	保衛團執行委會催促各區從速成立
page 6	港九難童免費學校增英王道夜校一所
page 6	孫家哲太夫人今日家奠
page 6	中國飛剪號
page 6	銀行牌香煙南洋公司新出品
page 7	東方會重遇蘇軍南華出征九龍跑馬地聖約瑟對大枱客界限街米杜息戰洋水兵
page 7	今日球國大勢
page 7	球圃菜根集七
page 7	元旦日足球義演華聯人選昨產生
page 7	國際杯賽中華淘汰後收入受影響
