page 2	社評泰國與亞洲團結
page 3	日本續作神經攻勢美京又生樂觀幻想
page 3	英主力艦東來英美擬聯合設立海軍統帥部聯軍司令人選正在考慮中
page 3	新加坡憶不啻英帝國之陪都
page 3	敵地方官會議東條說明所謂國策
page 3	麥格魯德離星赴緬
page 3	參政會七次大會通過重要提案廿餘件
page 3	陪都準備演習防毒
page 3	王部長談話民主國意見完全一致泰越衝突日為幕後人
page 3	歐陸的沉淪一
page 3	穩定內地物價滇緬路輸入大量貨品美運華物料日有增加
page 3	贛省提倡滑翔運動
page 3	日即將侵泰所謂小土肥原奉召返日上海外籍人士之觀察
page 3	敵機殘骸在閩境發現
page 3	滬美海軍當局否認砲艦撤退
page 3	西貢美領署突遭炸毀原因及詳情均未宣布日軍又強暴捕我僑胞百名
page 3	前我法律顧問埃斯卡拉赴渝
page 3	中樞紀念週張繼報告西北觀感
page 3	浙東戰事激烈寧波敵軍竄擾受重創豫北我聚殲中牟殘敵
page 3	滬英僑撤退兩輪供給艙位
page 4	莫斯科形勢轉緊德發動新攻勢一部蘇軍被迫後退南路紅軍反攻有進展
page 4	德用全力搏擊兵源漸感枯竭魯佐夫斯基綜述五月戰果
page 4	北路蘇軍活躍把握主動地位發動壯烈反攻重挫德軍
page 4	美國會審議限制罷工法案總統將與國會領袖交換意見
page 4	納粹在柏林出演傀儡戲召集大小嘍囉走卒宣布續訂反共協定
page 4	古巴總統演說將追隨美國對德宣戰
page 4	巴爾的摩猶人會議韋爾斯演說美政府決不逃避責任
page 4	哈里曼演說　　　希特勒主義世界不能獲得和平
page 4	對日禁運的效果一
page 4	北非英軍奏捷俘敵一萬五千
page 4	卡普索又易主德軍敗退竇那
page 4	義圖增援北非船艦多被擊沉
page 4	教皇悲天憫人將再呼籲和平定耶誕向世界廣播
page 4	英國要求葉門驅逐義僑出境
page 4	英艦繼續巡邏搜索義國艦隊
page 4	冬季寒浪襲擊美國
page 4	想入非非
page 5	桂林市臨參會連日作施政報告明年度起村街長決實行民選田賦徵實已開始收糧
page 5	參政會旁聽記
page 5	省立雷州師範學潮告一段落李主席電令嚴辦滋事人犯
page 5	木鳥翱翔記轟動柳州的一幕布盛舉
page 5	文化界一盛會郭沫若創作生活廿五年紀念
page 5	粵省代表三人出席內政會議何彤高信馬耐園臨行前對記者談各方施政情形
page 5	中山敵軍準備他調石岐江門舉拉伕
page 5	江門市內檢查甚嚴
page 5	古井敵偽四出騷擾
page 6	華民政務司昨發出戰時準備緊急通告當局劃定疏散區八處
page 6	清遠同鄉救濟鄉災籌辦游藝會籌款
page 6	麵包繼續漲價每磅增至二毫由於煤炭柴薪漲價所致製造麵包之根麵極缺乏
page 6	名星宿家雅蘭亭抵港預言世界大事謂日美戰事勢所難免續完
page 6	當局儘量運柴來港務求肅清黑市拘捕街邊柴販以杜奸商昨日運到柴薪七萬餘擔
page 6	教部提倡學術研究申請獎勵月底截止分為著作發明及美術等
page 6	我航空員五人昨日飛美深造教育部現向國內外大學徵求學生赴美練習航空
page 6	美鬥牛家昨日抵港曾先後刺斃猛牛六頭每場收入達數萬比索
page 6	馬伕罷工風潮馬伕方面表示願意復工接納月薪共廿五元條件
page 6	青年會慶祝會昨舉行表演青支會開感恩會
page 7	南星大戰將爆發星島積極備戰朱成貴由星來港星期五抵步督憲杯初賽尚無確期
page 7	許崇智老將軍歡宴蔡哈兩氏昨晚假淺水灣麗都舉行陳策刁作謙李惠堂作陪
page 7	乒乓單人賽今晚開代表會
page 7	國際長途跑蔡惠鴻贈獎品
page 7	澳門足球熱烈警察中華奏捷鱆魚良友兩軍遭慘敗中良之戰兩人罰出場
page 7	婦女健康運動在美國瑪博小姐熱心推行着
page 7	申匯市況依然靜穩英匯美匯仍乏生氣
page 7	股票市況好轉買戶需求增加價格略漲昨日成交共十二萬餘元
page 7	八九金價較前日再跌十元
page 7	標金跌價影響國幣價漲
page 7	滬標金價大告低跌
