page 2	關於東亞協同體二
page 3	我空軍昨揚威武漢日機場受重創全毀
page 3	湘贛我軍挺進
page 3	長台關激戰中
page 3	武鬥黨員通電聲討汪逆全國軍民一致誅伐共申正義滅此妖孽
page 3	全國郵局舉辦節約儲蓄
page 3	湘幹大捷記
page 3	日機襲陝投彈漫無目標
page 3	經港輸出國產今年最初八個月內總值法幣二萬萬元
page 3	英政府照舊支持我法幣即定政策絕不變更平準基金依然存在
page 3	滬豪雨成災各馬路一片汪洋汽車電車多停駛
page 3	滬偽市府局長宴客招禍死了妓女傷了日人李逆鼎如倖免於難
page 3	港澳失業老師現在韶關訓練
page 3	法部改進監所設施就九省統籌辦理
page 3	滬交行大樓日方無意讓出
page 3	平漢路偽軍張之印部反正
page 3	晉西南我克蒲縣長治日軍蠢動受創我軍進擊長子城關
page 3	蘇革命博物館搜集我抗戰文獻
page 3	日軍反戰
page 3	英大使在渝酬酢忙碌
page 3	北路慰勞團前往青海勞軍
page 3	憲政期成會擴充委員名額
page 3	五台喇嘛通電擁護抗戰
page 3	李頓爵士電賀我國國慶
page 3	戰區兒童確被擄運赴日
page 4	和平抑戰爭德徬徨無決策一面利用蘇義壯聲勢一面仍望美出面斡旋
page 4	希特勒與僚屬連夜舉行會商柏林預料將有新變化
page 4	歐洲各國輿論多認和平無望張伯倫演說備受擁護
page 4	粵北之行下
page 4	蘇芬局勢嚴重性未減談判仍在進行中英當局密切注意
page 4	美當局發表致蘇聯牒文
page 4	蘇土賡續談判蘇聯態度已較前緩和英蘇談判進行中
page 4	英國民意主張繼續作戰民意學會測驗結果
page 4	北歐四國定十八日開會
page 4	英艦一日間擊沉三德潛艇英航空母艦一艘被毀西線德軍將大舉進攻
page 4	日外務處風潮已獲得解決加藤將繼谷正之任外次貿易省權限已予以規定
page 4	波外長赴法
page 4	比軍事代表團昨日啟程赴美購買軍事用品
page 4	美紅十字會撥款救濟歐難民
page 4	上漲怪劇日本人起內閧
page 4	美參院繼續討論中立法修正案問題集中於軍火禁運贊助與反對各逞辭鋒
page 4	短評我空軍新戰績
page 4	中英關係
page 5	我軍出擊潮城猛攻附近各據點嶺東高級長官召開軍政會議封川縣民眾踴躍入伍
page 5	潮汕日軍迭遭打擊強迫實行聯鄉制度
page 5	活躍在錢塘江兩岸的浙江婦女營
page 5	克復石岐後日軍增防江門中山加緊肅奸重新佈防我出擊新會獲捷
page 5	廣東省銀行盡量吸收游資特將各項存款優加利息兌換大批輔幣調濟流通
page 6	港僑自衛團今日起出動守衛常務理事會發告僑胞書闡述五要義與團員共勉
page 6	香港邊區地元朗
page 6	衛生當局嚴禁販賣禾蟲昨有數百担被傾於海中不潔食物檔亦均行取締
page 6	曇花盛開體信學校昨歡迎參觀
page 6	赴澳旅客不須注射防疫手續明令撤銷
page 6	華人領袖發起召開僑團大會商討英國戰時籌賑事宜英紅會定明日招投捐品
page 6	羅旭和任港大校董
page 6	浸信少年團觀宴鄧錦輝報告隨軍服務經過討論服務工作方針
page 6	港督修正華人入口條例效忠於中英以外之華人須先領得護照方准來港港英僑赴日亦須領護照
page 6	深圳難民派代表來港呼籲迄今已兩月生活極慘苦歸鄉無期請求僑胞救濟
page 6	百新書店今天半價一天
page 6	駐港法領館重簽發越南居留護照海防河內限期居留兩年過境護照限停留一個月
page 6	滬回民祖墳被日方掘去回教僑胞甚憤激
page 7	士葛隊不堪一擊南華南大勝仗五比一惠堂斗文景祥建功李天生倦動惹人想念
page 7	世界中量級拳王加西亞返國明年一月再度赴美洲
page 7	公開排球昨日戰績
page 7	昨日公開籃球賽南華華勝勵行培英興奮大破關光隊港大不夠氣敗於康元
page 7	下半時兵哥調陣應戰
page 7	南華華四比四戰和警察會
page 7	德權鼎小球今天有六場
page 7	今天甲組足球賽聖約瑟鬥東方下午四時半在嘉露連山球場光華在九龍迎戰海軍
page 7	唇槍舌劍
page 7	歐局復緊英鎊下跌港對美匯又趨緊英匯與申匯市況均靜
page 7	股票市仍靜滯昨買賣範圍愈見狹窄半日成交僅三萬餘元
page 7	八九金市略堅但靜
