page 4	正確區分兩類社會矛盾
page 5	愛國同胞有勇有謀港英統治威風盡掃維多利亞銅像臉部昨被塗上漆油石屎躉上漆寫打倒英帝我們必勝打鼓嶺鄉民由寶安紅衛兵民兵配合把大字報貼到警署
page 5	香港抗暴事蹟搬上廣州舞台穗支援香港同胞鬥爭宣傳週揭幕
page 5	廣華醫院羅富國師範學院都出現大幅打倒港英標語
page 5	歡呼雀躍迎接氫彈試爆成功喜訊深圳武裝軍民盛大示威遊行走上羅湖橋頭高呼打倒英帝讓世界上所有帝修反都來吧讓英帝的砲艦也來吧用毛澤東思想武裝起來的七億中國人民有了精神原子彈又有導彈氫彈早就等待着你們來吧來多少消滅多少全部來全部消滅
page 5	解放軍歡呼氫彈爆炸新世界定能迅速建成有了毛澤東思想就有了一切用它來武裝的軍民就最聰明最勇敢用到戰場就能打敗敵人用到研製核武器就能造出原子彈和氫彈
page 5	文匯大公新晚職工在氫爆慶祝會上嚴斥港英港英如敢封閉愛國報館無異是飛蛾撲火笨豬投湯愛國新聞工作者堅守戰鬥崗位且看到底是誰封誰
page 6	各國人民歡呼文化大革命威力無窮中國科技攀登世界高峯核武器進入更先進階段中國的氫彈對美蘇全球性反革命大勾結是當頭一棒
page 6	胡志明和霍查致電毛主席親切祝賀我氫彈爆炸成功越南人民同感歡欣並視為抗美救國的強大鼓舞阿爾巴民亞把中國第一顆氫彈當作是自己成就
page 6	馮維希代表老撾愛國黨祝賀中國氫彈爆炸成功
page 6	就印暴徒襲擊我使館提最強烈抗議中國要求印懲兇道歉賠償外交部昨致印照會指出印必須承擔一切後果
page 6	日科學儀器展覽在天津勝利閉幕為期兩週觀眾逾十萬人
page 6	中國核爆震驚全球西方承認估錯速度中國文化革命未影響科技發展毫無疑問中國早躋入世界強國
page 6	柯西金約翰遜密謀在越再搞停炸誘和擬在美增長越南前再次停炸
page 6	英政府再露原形對我核爆表遺憾
page 6	李光耀飛英商談蘇伊士以東防務
page 6	約翰遜公開支持以色列使用運河
page 6	用鮮血保衛五星紅旗-記中國駐印度大使館人員六月十六日抗暴鬥爭
page 6	北京羣眾連日示威抗議印反動派暴行北京印度使館門牆上貼滿抗議標語
page 7	同胞熱烈歡呼氫爆更具信心鬥垮英帝工人學生及其他行業職工紛紛舉行慶祝會
page 7	港巴工人兩次舉行酒會
page 7	邵氏職工參加影聯酒會
page 7	書店職工聯合舉行慶祝
page 7	陳丕士昨在華革會演說
page 7	培僑師生鼓掌達三分鐘
page 7	我同胞當庭斥鷹犬法官出醜赤膊上陣在電車上被捕八同胞面對敵人英勇不屈
page 7	郵務罷工隊伍益堅強港英威迫利誘難破壞總局通令區分局自覓場地存儲堆積郵件積壓郵件用帆布遮住寧畀人知不讓人見
page 7	打擊港英心臟搗得肝碎肺炸牛奶餐廳工人鬥得好幾十年歷史的告羅士打丟盡港英面子三處領班炒埋才使皇室行局部供應
page 7	紅磡坊會幾個傢伙昨遭小販狠狠教訓他們幫港英干預小販正常營業
page 7	在域多利監獄中
page 7	家屬帶去氫爆喜訊
page 7	在獄中為我氫爆成功而歡呼被捕海事工人堅貞不屈用手勢向家屬表示敵人兇殘旋又擺手譏笑其愚蠢前往探監家屬手扣手示意已組織起來工友感奮
page 7	有這樣的丈夫是光榮
page 7	在獄中等待勝利喜訊
page 8	造謠處的蠢驢們聽着你們不信氫彈爆炸的消息發出以後我報記者淩晨採訪消息那麽迅速那麽不妨把你們偷聽電話的錄音拿來聽聽就知道當時全香港愛國同胞是如何沸騰有多少電話自動地打到報館來我們又打了多少電話出去
page 8	胆敢毆打支持香港同胞鬥爭的遊行者澳葡挑釁再遭痛擊接受懲兇道歉要求在各界同胞強大壓力下昨派員到總商會及醫院道歉
page 8	九龍數間夜校學生兩百餘人控訴港英堅決要判處港英奴化教育死刑
page 8	港英如不交代曾明死因家屬絕不讓其含冤入土父子兩代冤仇劊子手必被清算
page 8	口唸太平經難掩心頭亂港英機構發還護照外籍僱員隨時鬆人一文員來信揭露並勸黃皮走狗回頭是岸
page 9	青坭工人控訴三工賊指出陳松陳秋娣李某做盡壞事盼受蒙騙的工友迅速覺悟回頭
page 9	復工云云原來如此青坭一度擬遷菲港英嚇得忙勸止並派人勸說青坭資方要他們撐持風雨飄搖局面
page 9	信修夜中學校友成立鬥爭委員會熱烈歡呼祖國氫爆成功
page 9	煤氣公司死撐場面科文頂替工人做工鬼頭四出活動工友將之斥退
page 9	沙模工人開控訴會譴責港英血腥暴行港英不斷製造事件使工人生活日益困難
page 9	以雄厚財力支持反英鬥爭工商界抗暴捐款昨日送出第五筆本報代收捐款現已接近五百萬
page 9	大快人心的狗展
page 13	香港局勢日益嚴重日商認為不可樂觀工業生產下半年必呈現退縮進出口貿易亦勢將走向下坡
page 13	匯豐暗盤大跌每股跌破一百三十元關太古煤氣天星無人承受金鈔昨均回順飾金卻企定
page 13	榴花糖期貨大盤昨開出
page 13	星客續購荔枝芙蓉李亦被扯去一批西瓜市銷甚為搶手
page 13	青洲英泥廠擬遷菲港英恐怕影響人心要該廠繼續開工產水泥企圖粉飾局面現仍太平
page 13	食米市靜價卻企硬
page 13	半年結算開始銀行信貸更緊水險投保生意亦比往年淡靜
