page 2	社評援蘇物資的路線
page 3	東京無城意無信用美日談話難有結果陪都各方對近衛私函不重視惟盼美國勿中日本延宕狡計
page 3	英美旅日僑民仍繼續撤退首批美僑過滬返國
page 3	紐總理談話太平洋局勢依然嚴重荷印空軍已大見增強
page 3	敵海軍界人事調動伊藤整一任軍令部次長末次宣稱脫離政治生活
page 3	敵各軍師團設置兵務部
page 3	蘇德戰爭爆發前後二七月二十日牛津航訊
page 3	全國豐收物價趨跌
page 3	越當局甘作虎倀驅逐我僑胞我將再向法越提抗議
page 3	澳駐華商務專員鮑頓調往新加坡滬貿易委會停止辦公
page 3	大後方經建動態國際援助增進大批物資內運各地企業公司仍在陸續成立
page 3	記者節各地舉行紀念
page 3	王家楨談康昌旅行觀感
page 3	緬總理將訪英
page 3	皖南我迭克要地控制長江航運豫湘晉前線捷報頻傳
page 3	敵機濫炸陪都益世報編輯部及工廠被炸毀美孚油棧附近亦中彈
page 3	四行調劑滬市輔幣
page 3	滬西敵趕築障礙物強抽壯丁組護路隊
page 3	財部修正三項法規
page 4	尼勃爾河大戰納粹偷渡計劃失敗紅軍正猛烈反攻中
page 4	伊朗局勢即可澄清英蘇兩軍會師英美飛機將經伊飛蘇
page 4	蘇機飛美京曾在阿拉斯加降落乘客均有外交護照
page 4	荷印太平洋問題的紐結四
page 4	歐洲淪陷區反德潮高漲法人情緒日趨激昂波蘭工人亦起罷工
page 4	西歐一帶有小規模空襲英蘇飛機空襲柏林倫敦外圍砲阻德機
page 4	歐戰兩週年英軍力檢討英國非洲遠東配備更臻鞏固敵人如圖進犯須加鄭重考慮
page 4	邁斯基演說蘇聯作戰到底必將完全粉碎納粹政權英蘇合作可獲致勝利
page 4	阿特里演說勉人民繼續努力
page 4	加駐日公使勃魯斯稱病辭職後迄未任命他人繼任
page 4	土國邊境又緊蘇傳德義皆集中大軍
page 4	英國工聯大會贊成英蘇緊密合作提議召開兩國會員會議
page 4	墨總統表示擁護民主國家建議締結美洲協定美墨談判即將結束
page 4	貝當發表演說陳述組黨失敗裏因
page 4	英蘇軍在伊朗見面
page 4	德國嚴限私人入境已停止簽署護照
page 5	我軍推進江會新開路發生砲戰汾水江殘敵退回城郊廣州方面敵戒備嚴密
page 5	敵軍結集三水防我渡江反攻蘆西線我軍出擊魯村得手
page 5	中國史上之大教育家一
page 5	黨員陸華波生擒敵軍官
page 5	湘改進蠶絲改良場育蠶種桑已著成績現擬增辦繅絲廠增加生產
page 5	海康積極刷新縣政鄧振亞談施政方針
page 5	南雄革後方醫院院長貪污案引用私人侵吞公款屬實本人畏罪潛逃副官被拘
page 5	康省文化建設量的方面成績已屬難得質的方面水準尚待提高
page 5	貴陽動態
page 5	桂林劃設公共墳園
page 6	全港新聞記者昨日紀念記者節集會聚餐遊藝情況熱烈電領袖及殉難同業致敬
page 6	特務警察應徵者踴躍計逾千五百名甄別錄取二百八十二人第一批百零四人訓練中
page 6	本港教育概況英國遠東情報局廣播上
page 6	軍事演習私用車不應渡海
page 6	今日港居民歡送港督
page 6	如雲酒店在松原旅館設立
page 6	港大新科學館昨舉行揭幕禮由羅富國夫人主持剪綵內儀器設備共達十萬元
page 7	傳兩會退出協會事居聯表明態度東方真相如何尚待事實證明聞有人另組織體協會
page 7	球海風光集
page 7	警察兵馬如舊實力依然強勁
page 7	樂斯杯籃球賽今天兩場
page 7	小型球銀牌賽參加者達十隊
page 7	青泳團下週戰星島
page 7	鐵城杯籃球賽南華大捷華僑敗於民大
page 7	星甲級足球聯賽華人顯威風五比一高射砲慘敗北對於奪標形勢更覺有利
page 7	中華溜冰場猜豆賽揭曉
page 7	鍾聲社游泳場二屆水上游藝
page 7	外匯牌價俱無變更申匯市況因略見好轉
page 7	股票市況活躍需求激增價格步步趨漲昨日成交三十三萬餘元
page 7	滬外匯市先淡後緊
page 7	國幣市况先跌後漲
