page 2	抗戰建國與學術研究
page 3	鄂中鏖戰晉西激鬥潛江Ｘ軍被圍攻將遭殲滅中陽西侵Ｘ軍又受我重創
page 3	漢Ｘ倉庫被燬我忠勇志士建功
page 3	渝舉行六三紀念當場宣讀蔣委長訓詞賀國光演說限期禁烟
page 3	六三紀念蔣委長訓詞續政府抱定最大決心從今年起一律禁絕
page 3	十三個俘虜思家厭戰無限悲哀咸認中國不會失敗
page 3	汕市易長巫琦調長潮安由羅獻祥繼任
page 3	滬工人團體請制裁汪兆銘汪在滬進退維谷中
page 3	陳儀闢謠Ｘ人分化政策乃其慣用伎倆
page 3	中央唁蕭蔣孔於均電慰唁
page 3	郭大使向英抗議引渡刺程嫌疑犯津英日當局在談判中
page 3	Ｘ軍家書防備華軍夜襲比防蚊子困難
page 3	鼓浪嶼問題繼續進行談判厦門將改設偽市府偽市長定李逆思賢
page 4	對英法建議案蘇聯提出覆文在原則上已表示同意波羅的海問題仍堅持
page 4	法閣定明日討論蘇覆文
page 4	對波羅的海德乘隙而入
page 4	南攝政訪柏林德殷勤招待圖拉攏南國加入軸心項法對南態度極注意
page 4	美眾院外委會討論中立法總統希望通過赫爾建議
page 4	蘇聯外交政策
page 4	教皇和平呼籲傳得德義信諾倫敦外交界極為注意
page 4	日圓外流Ｘ亡羊補牢以後烟酒進口將加嚴密限止
page 4	國聯駐但澤專員訪德外長談話探詢德對但澤問題意見英外部中歐司長抵華沙
page 4	我抗戰不忘禁烟國際一致稱讚胡世澤對國聯禁委會申述我政府禁烟情形
page 4	英王應比王邀十月間將訪比繼續遊加行程抵愛蒙頓
page 4	丹麥議會批准德丹協定
page 4	英潛艇慘劇當局已中止營救八六人葬身魚腹
page 4	陳介將出遊參觀德工廠
page 4	美國造艦大小二十四艘已與船商簽約
page 4	弗朗哥拒絕與德締結軍事盟約兩國睦誼仍願予保持
page 4	有田謁平沼作重要會議商討對歐政策
page 4	羅普選竣事
page 4	怪消息的分析
page 4	英潛艇的慘劇
page 4	比內閣討論殖民地防務
page 5	Ｘ犯睦州三江失敗偽軍被我生擒百餘張弛部隊正向江門挺進
page 5	Ｘ炸死潮汕民眾我開始撫卹家屬共九十九各得三十元潮汕鐵路下行祇至菴埠
page 5	澳門賽馬今日共賽七場
page 5	Ｘ機再炸襲溪石碼
page 5	廣東新軍骨幹軍官補訓團參觀記
page 5	廣州青年會移設韶關一日舉行成立典禮
page 5	余森文高信返粵繆培赴淪受訓
page 5	鼓浪嶼鋤奸壯士隻身逃泉暢談經過尚有餘彈留饗羣奸
page 5	粵婦女會搶救戰區婦孺
page 5	粵省府設立廣播電台本月正式廣播
page 5	澳門畫展籌賑
page 5	粵公路處
page 6	九龍各社團學校昨舉行國民宣誓參加者三千人情形熱烈昇旗典禮儀節莊嚴隆重
page 6	行昇旗禮全體宣誓
page 6	無線電交通法例修正草案昨日憲報發表賦予公務員以更大權力
page 6	學賬會女學團昨舉行夕陽會
page 6	留港英僑
page 6	中華義學難童今日舉行考試應考者須至原報名處譚伯揚將赴澳辦理招生
page 6	大地公司徵求國語演員
page 6	荔枝角婦女監獄工務司招商承建
page 6	精武體育會音樂班六日開課
page 6	孔聖會議學昨日賣花籌欵成績共得六千三百餘元
page 6	政記公司六輪已由我最高法院頒發扣押命令擅自讓與日本圖謀出航
page 7	昨日公開棒球賽友啤大勝香港會結果六比一場面演出熱鬧南華對中華今天必有激戰
page 7	嶺南對國民小球義賽十日在嘉山舉行
page 7	澳洲田徑不弱男子一百碼成績九秒六女子跳遠十九呎五吋半
page 7	下屆世運會倫敦主辦奧林匹克委會下週開會討論
page 7	芬蘭人以沐浴作為一種訓練
page 7	南方戰同義打個平手一比一戰情激烈
