page 2	春寒料峭
page 3	豫南確山附近激戰日軍兩翼被我重創宜昌附近日軍進犯亦不逞
page 3	日本壓力下泰越休戰雙方昨在日艦簽字將在東京再談和約
page 3	山下在德閃電學不成又想學經濟
page 3	菲島注重國防奎松向國會致辭將資源聽美調度
page 3	蔣委長嘉獎吧城華僑
page 3	英外次申言英國遠東政策與美國保持合作
page 3	英議員質問日人行兇案
page 3	陪都二三事趙顯寄自重慶
page 3	英國援華會致電蔣委長深信中國抗戰勝利已在目前
page 3	日本本部風雪交作
page 3	大角抵滬殃及交通
page 3	上饒擊落日機一架
page 3	野村赴美過夏威夷
page 3	日又遭遇難題政府與軍方再開會
page 3	囗囗囗爭激烈拳師赴日囗囗
page 3	湘更換縣長起用新人才
page 3	特種有獎儲券抽籤結果
page 3	日人野心無止境對荷印提新要求馬來亞應付戰爭危機總督演講促提高警覺
page 4	韋爾斯發表演講嚴厲斥責日本盼國會批准租借法案以便利加緊對華援助
page 4	美國不畏恫嚇堅持一貫主張
page 4	威爾基氏晤英海軍大臣討論整個海軍形勢並與一般民眾飲酒談話
page 4	納粹秉政八週年希特勒發表演說聲言於今春對英發動攻勢以魚雷襲擊商輪恫嚇美國
page 4	南認對希一種警告
page 4	墨索里尼電賀盟兄
page 4	英美傳將互換軍艦美以驅逐艦二十艘換取喬治五世號
page 4	美國大部民意反對對德妥協
page 4	德在阿富汗煽動宣傳德宣傳品普及各地印度邊境亦有發現
page 4	蘇國防委長練軍訓令紀律為軍隊靈魂為勝利先決條件
page 4	古政府嚴禁極權國活動
page 4	美總統壽辰曾作簡單廣播演說
page 4	阿境義軍總反攻失敗被希軍砲轟狼狽潰敗英軍兩路疾趨班加濟
page 4	美官方將設人造橡皮廠
page 4	希特勒氣餒了
page 4	勝利與紀律
page 4	希故總理昨日下葬倫敦下半旗
page 5	南僑籌賑總會決加緊推動賑務定下月底召開首次代表大會三年前華僑偉舉又將重見
page 5	新中國劇團將離馬返國金山奉命離境工作告一結束義演六月籌款七百餘萬
page 5	我游擊隊活躍控制石岐外圍中新邊境連日戰事沉寂岐關路貨車昨一部恢復
page 6	美總統政務助理員寇里下週可抵港將飛渝晉謁蔣委員長美財政專家多人同來
page 6	學生振濟會慈善遊藝換物會昨日開幕情形以微少代價換國產貨物集大眾財力救傷兵難民
page 6	史美談訪渝經過曾謁蔣委長及其他政要討論中國與香港間問題
page 6	春茗費濟難
page 6	電車公司溢利激增上年下半年股息一元
page 6	賭具製造商去年大獲厚利
page 6	中西警探今晚舉行春宴慶祝去年治安成績美滿沙輔頓警司將赴宴獎勵
page 6	廣州日領喜多雄口口抵港
page 6	郵局公布郵件喪失
page 6	中華文化學院積極進行籌備擬定基金為國幣百萬元設立地點在南岳或粵北
page 7	球圃菜根集
page 7	南華捷報
page 7	聯賽獨腳戲海軍戰警察
page 7	鍾聲籃球義演後天開鑼銷券成績佳
page 7	明日甲組銀牌賽東方戰砲聯砲兵聯係集合乙組翹楚而成實力雄厚未可小視
page 7	乒乓聯會召開委員會議
page 7	滬籃球義賽結束華星獲全勝麥令三戰三北低首稱臣女子表演賽混合破藍星
page 7	美菲荷匯牌價略漲英匯沉寂申匯仍淡
page 7	股票市況堅靜蔴纜公司股息行將開派昨日各股成交四萬餘元
page 7	國幣市況仍屬淡靜
page 7	四四金市依然沉寂
page 7	甲組特別銀牌賽國軍三咱出師星島愉園布陣迎抗米軍南華逢香港光華戰九龍
