page 2	社評德軍攻勢又挫弱
page 3	列寧格勒轉危為安德軍新攻勢又失敗基輔附近德坦克隊被包圍
page 3	蘇大型坦克車發揮無比威力
page 3	英首相邱吉爾在眾院之報告
page 3	德圖緩和美國製造和平空氣韋爾斯氏特予揭發美總統談德日如出一轍
page 3	德內部分裂之又一傳說戈林被幽禁將領被調任希特勒實行不流血清黨運動
page 3	德領離美乘西點輪回歐
page 3	美陸軍部上書國會要求延長兵役期間總統示謂國會不應背信反對
page 3	美駐德義領員將赴里斯本乘西點輪返美
page 3	蘇聯政府不擬遷離莫斯科蘇京美使館亦否認已撤退
page 3	美國防工業生產將達最高峯飛機定單現有七萬四千架軍火製造經費達二十萬萬
page 3	霍金斯傳已抵冰島
page 3	波羅的海蘇艦隊揚威擊沉德艦十餘艘
page 4	納粹鼓勵日本北進英美凝視遠東形勢蘇聯宣布濱海一帶為危險區
page 4	英美澳及荷印交換時局意見採取聯合行動應付一切意外
page 4	普法姆將軍表示英軍已準備充分
page 4	倘日本竟然南侵中英將駢肩作戰
page 4	敘利亞英軍開入貝魯特耶路撒冷贊成休戰協定自由法國代表亦曾參加談判
page 4	第四年抗戰經過二
page 4	艾格斯頓爵士任駐華公使澳政府正式任命我召回駐丹吳公使
page 4	日地震地點在長野縣東京感震動
page 4	漢法租界事件日借題勒索向工部局提四項要求
page 4	敵工業生產日漸退化缺乏人工電力
page 4	馬尼拉佈水雷限制船隻出入
page 4	我游擊隊襲蘇州贛鄂皖捷報頻傳
page 4	陳介大使談話中德絕交柏林竟表驚訝將偕錢泰大使轉美返國
page 4	寧偽組織羣奸爭寵
page 4	中國訪緬團人選正在徵詢意中下月出發往返兩星期
page 4	日本之夢想
page 4	普法姆氏談話
page 4	悼楊雲史先生
page 4	格魯訪大橋
page 4	朱家驊抵蘭視察西北黨務
page 4	綏西甘霖普降
page 4	川省營貿易理監會成立秦汾任主任委員
page 4	滬花旗銀行大廈易主美僑房產多出售
page 5	國粹與國學三
page 5	粵省參議會連日通過提案共達五十二件組織全省經濟建設委員會策動僑胞投資及防止貪污
page 5	兩廣地質調查所發現粵北新地層始興南雄一帶鑛藏豐富
page 5	余漢謀嚴令禁止跳舞
page 5	胡銘藻報告全省糧食情形卓振雄報告振濟工作
page 5	張導民報告財政會議經過
page 5	緬記者訪華團致書我新聞界慶祝七七四週年紀念
page 6	美駐華海陸空武官昨日在港會晤新空軍武官前日抵港英使館參贊炸傷來港就醫
page 6	港督離港期約在九月
page 6	海軍當局通告漁民提防誤觸海面浮雷觸雷喪生漁民逾三百人漁協會擬廣播警告漁船
page 6	司徒永覺夫人為我發起捐款救濟殘廢軍民昨日向記者詳細談述貴陽療養院辦理概況
page 6	楊雲史前日病逝明午舉行大殮知友許世英等均往致唁病危仍手撰攘夷頌一篇
page 6	廠聯會要求當局准許女工晚間工作廠聯會代表謁勞工司陳述六項理由及辦法
page 6	商會三日募債得四十五萬昨日得八萬三千餘元
page 6	衛生局在皇后方場內建築新辦公室圖樣已繪妥定今日開投原有地址入口署接用
page 6	港督昨歡宴拉第摩拉氏連日酬應忙
page 6	茶菓嶺海盜劫貨船劫去貨物萬元船上人員被擄至九針島昨有漁船經過救返本港
page 6	紐碧臣離港籌辦糧食日內即可返港
page 6	福建同鄉會改選揭曉
page 6	小販工商聯合會籌備八一三義賣今年果品昂貴難捐本錢現已向當局請求批准中
page 7	本屆足球聯賽九月廿七開鑼定本月廿四開會抽籤排秩序甲組共十二隊工程升級批准
page 7	南華在南洋兩幕慈善賽一和一勝戰和森聯打勝中華隊
page 7	滬名將卡遜返美參加林山大比賽
page 7	星東足球征澳隊殺退煤礦隊五比三戰情緊湊傳星東球員將留澳參加聯賽
page 7	度日如年總裁杯足球中山業餘均捷
page 7	夏令籃球賽育賢戰童訊
page 7	棒球香港勝工程成績十六比二
page 7	外匯牌價俱無變更美匯微淡申匯仍穩
page 7	股票略趨沉寂賣家拋出圖利市況轉趨下游昨日成交總值五萬餘元
