page 2	社評藕斷絲連之美日談話
page 3	英外長延晤顧大使討論遠東最近局勢
page 3	日本內閣更易侵略政策不變蔣秘書長廷黻發表談話
page 3	我在長江佈雷每七枚擊中敵輪一艘兩年來擊沉二百餘艘
page 3	日本新侵略行動必發生嚴重後果傳英美將聯合警告日本
page 3	近衛悄然移交文武官員有大批更動西春彥繼天羽任外次
page 3	緬人態度沉著準備應付事變
page 3	戰時金融問題一
page 3	鄭州敵竄犯受創湘北我分路追擊
page 3	工程師年會開幕蔣委長寄詞訓勉珍重千載一時機會努力報國
page 3	澳駐華公使飛抵陪都謁郭外長作首次拜會並商洽呈遞國書事宜
page 3	政院會議
page 3	滬法輪失慎貨艙棉花被焚
page 3	滬中美日報副總編失蹤
page 4	蘇聯遷都奎比歇夫中路鏖戰甚烈頓河流域局勢轉嚴重
page 4	德軍所發公報強調南路攻勢
page 4	莫斯科與奎比歇夫摩雅斯克馬羅雅洛
page 4	美宗教人士請擴大援蘇
page 4	美參議員促請政府建西伯利亞根據地
page 4	論資金內移二
page 4	北非英軍將進攻里比亞安喀拉人士如是觀察傳德義亦正趕緊增援
page 4	美總統召見哈裏曼訓令竭力援蘇外海陸三部舉行緊急會議美轟炸機不斷飛蘇
page 4	德國又圖中傷美洲友好關係謂美向瓜第馬拉提最後通牒
page 4	美航空母艦黃峰號編隊入伍開始服務今年第五艘艇下水
page 4	日報評論蘇德戰事頂料將成長期戰
page 4	魏剛返北非
page 4	僑滬白俄擁護蘇聯抗戰敵偽企圖壓迫取締
page 4	維希空軍人員駕機投效高爾
page 4	武裝商輪問題美參院外委會秘密諮詢二十四日以前可結束
page 4	庚款留英考試下年度將恢復
page 4	蘇聯遷都
page 4	美教士請援蘇
page 4	巴拿馬已取消禁商輪式裝令
page 4	克爾奈事件赫爾發表聲明希特勒所為無異強盜
page 4	敵施放毒氣戰爭開始以來竟達八百餘次
page 5	廣州敵軍縮短承認度線我軍乘時出擊江會新開新鶴各咱迭克重要據點
page 5	中國抗日戰場上的朝鮮義勇隊上
page 5	粵北貨運恢復物價已趨安定
page 5	華北敵偽發動治強運動排除英美貨品統制華北物資舉行反英美大會及示威遊行
page 5	曲江役政辦理得力獲獎
page 5	日本大革命有爆發可能國內經濟破產民生凋敝旅日英僑抵星談話
page 5	桂省行政會議李宗仁致電訓勉勗各幹部堅毅刻苦努力建設
page 5	韶關各界捐款獻機熱曲江勸募會已成立全市軍樂奏演響應
page 5	粵企業公司收購桂類商人可自由販運
page 6	考克蘭昨飛返港將赴菲向美報告在陪都曾晉謁蔣委員長
page 6	戴德撫昨談述請領護照辦法謂簽證處人員無勒索事對保證人勒索當予查究
page 6	賑聯會響應一元獻機歐亞機工機款彙齊共得三百四十三元
page 6	美軍事代表國團員四人續到港飛重慶
page 6	周壽臣向蔣委長報告本港募債狀況四年來本港救債總成績國幣千餘萬港幣十八萬
page 6	公平糶米會開會宣布決開辦第二所飯堂暫停止在旺角街市售菜再請政府減低各種米價
page 6	輔政司史美決定年底退休繼任人員十二月間來港
page 6	防空工程案昨未舉行公開庭訊
page 6	今晚舉行燈火管制演習期間對銷港口禁船出入渡海小輪警報期內停止來往
page 6	渡輪交通
page 6	港化學會今日舉行聚餐
page 6	特務警察總部委出警目五十一人第一批受訓者名單公布深造班已於十四日開課
page 6	一毫輔幣券今晨開始發行但數日後始能流通市面五仙券印刷中續行發出
page 7	總會緊急小級委會定後天開會議審訊黃瑞祺柯路特犯規事件判決如何對該場比賽無影響
page 7	居聯會繼續舉辦國際長途跑全程一三五二七公尺即日開始報名下月廿日截止
page 7	協會田徑部定明晚開會
page 7	今日足球星島出戰七營
page 7	廣大附小舉行校運會
page 7	滬籃球慈善賽滬星破百樂門五三比四三相差五球表演賽同仁力挫南洋
page 7	獻機籃球賽重編秩序星期六晚上演
page 7	公開籃球賽下月一日開始
page 7	桂市爬山比賽特師得錦標苗傜同胞有能耐前十名中占八席
page 7	特別銀牌籃球賽黑灰氣走星島三五比三四獲得決賽權
page 7	滬綠燈會網球文正打勝小許
page 7	國幣價格先穩後跌
page 7	申匯黑市再略鬆弛英匯美匯仍乏生氣
page 7	股票市況穩定需求續見增加賣戶亦多拋出昨日成交達二十餘萬元
page 7	滬標金何時又略上漲
