page 2	社評冥頑之美國孤立派
page 3	襄垣武鄉先後收復晉南我軍各路挺進潮安附近正加緊肅清殘Ｘ
page 3	滬金融又呈波動英匯跌入六便士以內日元亦暴落物價勢將上漲
page 3	日本經濟枯竭
page 3	英外相接見郭大使討論支持法幣放款交涉順利進展中
page 3	蘇報著論認日已失敗對我抗戰精神備加讚揚謂統一團結係勝利因素
page 3	滬兩銀行兌換華北地名鈔票
page 3	以毒攻毒華北各地市面發現偽造偽鈔
page 3	滬西賭窟炸彈爆發
page 3	滬南市Ｘ軍昨日全部他調
page 3	行政院會議派國聯大會出席代表褒揚安徽故紳汪以道
page 3	褒揚錢玄同
page 3	蘇北成立防汎委會在興化開始辦公
page 3	Ｘ又發通告封鎖三都澳限外輪外僑撤退
page 3	鼓島工部局發表正式公報謂封鎖事件繼續存在使糾紛解決感到困難
page 3	日閣會議商蒙偽衝突有田謂與日無直接關係軍部要挾參加德義同盟
page 3	Ｘ機一架在黃梅被擊落Ｘ重要軍官十餘名喪生
page 3	滬霞飛路發現艶屍
page 3	鄧公玄受傷桂湘公路途中覆車
page 4	東京英日代表今日二次會談英政府訓今昨已到達日仍堅持先解決原則
page 4	西班牙之遊告終齊亞諾返義蓋達對齊氏此行結果危言聳聽恫嚇民主國
page 4	美名牧師啟程來華晉謁我最高當局
page 4	對金霍爾舉動德報惱羞成怒目為煽動家力予攻擊
page 4	天津事件發生後南洋方面之震動
page 4	日輪起火已發出告急電
page 4	法機飛英法航空部否認今日啟程消息
page 4	南攝政抵英
page 4	羅斯福與國會領袖討論中立法問題傳赫爾亦將發表意見一般民意均擁護政府
page 4	南泰羅爾德僑表示不願遷徙英大使瑞公使訪義外次商各該國僑民撤退問題
page 4	莫斯科談判情形無變化不久將繼續舉行
page 4	Ｘ海軍下月初操演
page 4	愛恩塞在波與柏克會談波蘭對德決不妥協
page 4	日德勾結日訪德使節一部昨啟程
page 4	滬外匯黑市之激動
page 4	有田之言
page 4	不接受友誼
page 5	中山情勢穩定岐關車昨恢復常態Ｘ機艦在中會各地仍有小滋擾
page 5	八比一莞城戰果王若周部出擊獲勝Ｘ我傷亡數字發表
page 5	可歌可泣絕食獻金興寧駐軍七七舉行
page 5	粵省黨部改組各民眾團體
page 5	粵積極推進合作運動全省遍組合作社
page 5	莞城夜襲記上
page 5	桂省厲行杜絕Ｘ貨各地組織鑑別會
page 5	番禺擊沉Ｘ艇
page 5	河源扣留隊長
page 6	利源東街劫案劉文珠入獄六年另笞九尾鞭十五籐軍火充公被告供詞狡展不認械劫
page 6	羅文錦建議鑑別入口商品明日立法局會議將提出強迫兵役法將通過一讀
page 6	在海上坐汽車
page 6	賑聯會撥欵賑濟潮汕難民花款已收萬四千餘港元全港烟販發動捐款助賑
page 6	運蘇藝術品定明日截止收件
page 6	後備警察額數尚差三十餘名資格性情嚴格挑選
page 6	婦女慰勞會粵劇義演下月七八日舉行
page 6	香港旅行社組青山旅行團下月六日舉行券售五角遊山游水並有遊擊助興
page 6	中山商會撥毫券萬元救濟鄉梓傷兵難民
page 6	業餘團體組慰勞團將赴東江慰勞將士
page 6	塘西歌姬七七獻金五千餘元財部覆函深表嘉許
page 6	中大服務團贈券運動定明日辦理結束事準備揭曉贈獎事宜
page 6	東院總理人數仍未足
page 7	芬蘭世運大會會場再擴充看台容量面積增加二七六零方公尺各國定座極踴躍求過於供
page 7	澳門足球名將何佐勝病死乒乓能手何儒霖亦身亡
page 7	游泳之意外及救生
page 7	德義田徑對抗德佔優勢
page 7	澳培正乒乓隊昨日凱旋此行戰績佳
page 7	南遊日記
page 7	南華會主辦會友乒乓明日開始報名
page 7	心嘉杯球賽悠思勝南方
page 7	全港單車賽下月開始昨截止報名
page 7	滬昨停售外滙本港滙市亦趨緊英美等匯被牽連低縮申匯市淡各行多拋出
page 7	英金微跌銀價不動
page 7	股票市續鬆弛成交三千餘股全日交易達二十萬元售價被抑匯豐亦低跌
page 7	四邑白銀大量運澳兩月來達十二萬元
page 7	八九金市續趨堅挺買戶頗眾價隨上漲
