page 2	社評日本政治底流之剖視
page 3	羅斯福總統劍及履及宣布空前整軍預算太平洋防務大擴充大量添設工廠增加軍火產量
page 3	對反侵略各國將另撥款借貸
page 3	設國防計劃會促進軍火生產
page 3	布列特演講推翻軸心善策厥為援助中英日報視羅斯福演詞為宣戰書
page 3	話說當今英格蘭之三婦女們在戰爭中倫敦航信
page 3	第十八集團軍將士電統帥致敬愈戰愈強勝利在望每仰崇高益感振奮
page 3	泰軍屢襲越境越政府下週將遷西貢河內海防法日時起衝突
page 3	日派河相使澳野村返回東京
page 3	越日商定扣留外貨
page 3	滬租界工潮澎湃電車交通又停一般相信有政治背景
page 3	湘北鄂南大勝日軍分路犯均被擊潰
page 3	贛慰勞團分三路出發
page 3	加緊取締囤積商人躉存棉花等物須依限向當局登記
page 3	緬記者團抵達成都
page 4	德軍繼續開義傳羅保邊境德軍雲集巴爾幹空氣愈緊張
page 4	多布魯克交通線又被英軍遮斷機械部隊準備作包圍攻擊的黎波裏港被炸一片火光
page 4	希驅逐艦砲轟瓦隆那義軍反攻再度失敗
page 4	世界童子軍首創人貝登鮑維爾逝世世界各國童軍將同時舉行追悼
page 4	法馬丁尼克島存有大批黃金美派艦監視提防被奪
page 4	義閣會議籌措戰費
page 4	澳洲的動態
page 4	金銀運美一週數字
page 4	美紅十字會將運糧食赴法救濟未淪陷區婦孺英當局料將表同意
page 4	英空軍新式戰機取名波泰一號
page 4	丹王力抗德國壓迫堅持民選原則拒絕改組政府
page 4	丹麥礦工談格林蘭情况美派出軍警站崗
page 4	英廣播公司毀於空襲職員七人斃命
page 4	英商輪一週損失數字英海部繼續發表
page 4	李海抵法後發表重要宣言傳達美國援英決心要求法人毋庸置疑
page 4	日與巴拉圭訂易貨協定巴以棉花易日商品
page 4	高爾委出遠東代表
page 4	政府積極護僑擬訂護僑指導綱要
page 4	川新兩省匯款救濟桂南
page 4	國大海外代表赴桂視察將向李黃兩氏獻旗
page 4	回國僑胞事業轉導委員規程
page 4	美宣布空前大預算
page 4	保國之命運
page 4	川省捐糧運動成績斐然可觀
page 5	粵省府確定卅年度施政計劃救濟糧食恐慌積極整頓團隊南路行署結束人員分別安置
page 5	湖南籌備創立省立中正大學分期先辦農商工學院開辦費一百五十萬元
page 5	粵振展會參觀記
page 5	澳門殺妻案碎屍繼續發現兇手李興供稱謀殺經過先行勒斃然後支解滅跡
page 5	新鶴路日軍突犯杜阮我軍嚴密堵截中
page 5	徵集抗戰史料教部頒發辦法七項
page 5	最近一年來廣東建設事業在困難中奠下堅固基礎
page 6	年關已近居民須謹慎門戶總偵探幫辦麥馬非談話詳述賊黨賺門入屋狡計
page 6	商振會發起春節節約籌振鼓勵僑胞預祝勝利到來發售年章籌款救濟傷難
page 6	回教徒集團結婚首屆二月舉行以簡易隆重節約為原則集團結婚典禮委會成立
page 6	蕭友梅在滬逝世
page 6	天一輪改航港鯊昨與巡艦相撞二樓圍欄略損
page 6	增加娛樂稅事娛樂事業商擬請政府考慮延請某律師進謁輔政司或請政府變更規定稅率
page 6	未領證牙醫港府均予取締保障市民健康違者受罰在證書之牙醫逾四百人
page 6	霍亂症尚未根絕去年死亡率高於三七年本年至六日止發現一宗
page 6	永樂街生記藥莊三賊白晝行劫童婢應門中計放進賊黨無從反抗被劫共千餘元
page 6	留日同學會定十一日聚餐
page 7	總會開執委會議三華會遠征批准麗華杯足球賽隊伍抽籤排定西文員戰陣昨夜公布
page 7	星南積極練兵準備週末大戰星期六甲組僅得一場
page 7	公開女子籃球賽平正力挫南商三十比二十二爭持頗烈星島退出聯賽南華獲勝
page 7	星洲華僑運動會打開新局面十四項粉碎馬華星華舊戰績兩項創全運紀錄
page 7	南華徵求隊授旗典禮十一日舉行
page 7	學界籃球華仁西南獲勝
page 7	外匯牌價俱無變更美匯沉寂申匯穩定
page 7	股票市況穩靜買賣不多成立六萬餘元
page 7	國幣市況依然穩靜
page 7	四四金市尚稱穩定
