page 2	社評荷日談判與石油問題
page 3	東江我軍克復惠陽中條山戰局愈好轉我軍有利轉進予日軍重創
page 3	美遠東步驟堅決對格魯松岡會談不加重視
page 3	詹森抵菲定明日飛美
page 3	陪都文化團體準備歡迎高斯
page 3	美駐平衛隊一部已撤退
page 3	我擬在港添設發給護照機關
page 3	陳嘉庚發表談話重申擁護中央赤誠嚴斥日方惡意謠言
page 3	本報渝版論晉南戰局
page 3	平準基金委會英美委員將連袂來華
page 3	馬來亞將練新兵招募當地民眾
page 3	整理田賦切實研討中
page 3	旅緬僑胞推廣國貨
page 3	日機襲成都被擊落一架鄂西五峯屬亦遭空襲
page 3	滬正言報昨已復刊
page 3	東北四省旅渝同鄉對蘇日協定之宣言
page 3	名存實亡之保加利亞
page 3	荷日談判嚴重階段日報又施恫嚇荷蘭人士嚴斥日方讕言
page 3	日德利用泰國攫取荷印資源被荷印識破已嚴加拒絕
page 3	行政院會議通過糧食部組織法
page 4	納粹數千傘兵閃擊克里特島冒險展開最新戰術英希軍正猛烈抵抗中
page 4	美國民意測驗結果半數以上贊成護航
page 4	美新聞界將不發表援助中英商輪行動
page 4	美總統特別咨文暫不送交眾院美總統表示
page 4	英相報告戰局
page 4	美國機匠繼續罷工
page 4	美國設立民眾防衛組織於緊急時保護民眾生命財產拉加第亞被委為主任
page 4	冰島決定與丹斷絕關係議會決議廢止合邦法案
page 4	維希親德仇英美再提警告美法邦交恢復之唯一希望在能法嚴守法德休戰協定
page 4	智利破獲親德政黨並陰謀革命
page 4	森順輪美籍乘客已在法國港口登陸
page 4	土義員撰文主與英合作阻止德軍佔敘利亞
page 4	英國官方發表擊落德機數字開戰至今約達萬架
page 4	美撥款五十萬購糧運愛爾蘭
page 4	傳自由法軍攻入敘利亞維希空長突飛抵貝魯特德軍控制境內鐵路機場
page 4	納粹新試驗
page 4	保國醜行
page 4	孟席斯本週可抵澳佛敦已準備交代
page 5	中山日軍四出騷擾新開路砲戰劇烈日方宣布石岐為疫埠水陸交通完全被封鎖
page 5	汪方保鑣在滬西槍傷美籍巡長不服檢查引起大格鬥美防軍開往協助戒備
page 5	汕頭台灣銀行被我便衣隊襲擊損失達數十萬元
page 5	同日雙一血案老閘捕房督察長尤馥賡遭遇狙擊
page 5	榮譽軍人營養缺乏慰勞會撥款救濟
page 5	南洋華僑師校已募得捐款三十六萬擬定七月間開學
page 5	韶關新聞界慶祝本報受獎舉行園遊晚會的縮寫
page 5	粵省各界勞軍競賽汽車司機出錢最多
page 5	新任粵財廳長張導民正式接事李主席親自授印并致訓話
page 5	韶關大批米糧開始東運接濟湘省雜糧麵粉積極運粵
page 6	美大使高斯今晨離港飛重慶俞鴻鈞等到機場歡送詹森昨晨乘飛機返美
page 6	婦女團體昨開會決定響應募債教會團體定期出發募債周壽臣函謝各教會團體
page 6	賭娼末日俞警司着華服出巡監督警探肅清賭娼
page 6	傷寒症週來續有發現霍亂死灰復燃
page 6	全港中學校國語比賽定二十四日舉行
page 6	保良局昨改選總理周錫年醫生任主席羅棟勳代表報告局務詳述一年來局中工作
page 6	上書羅斯福總統簽名者如火如荼某國青年數人參加簽名昨第四日達五萬五千人
page 6	五行商會響應一碗飯運動認一萬碗飯目的過少
page 6	請當局改善　　　　超立社向當局請求港政府取締違無照小
page 6	當局注意衛生問題驅逐天台聚居貧民
page 6	安樂園支店少年跳樓身受重傷性命堪虞
page 6	新界荃灣賊劫農家
page 6	當局警告糞工代表不許再有請願事件否則將四代表被捕糞工釋放只餘一人
page 6	戰稅報告書呈交當局內容未能發表
page 6	司徒永覺建議售賣糙米每元十斤一部米商擬遷澳門營業米店多家被控高價賣米
page 7	南華會將籌組學界水運大會門票收入全數撥作慈善用途游藝部增設體育健身班
page 7	水國健兒活躍各會實力談華人南華兩會最受影響星島異軍突起雄視一切
page 7	卓雄杯小球賽下月六日開幕
page 7	我國網球健將鄭兆佳出風頭榮任米蘇里大學教練
page 7	南華會國術班開課後仍可報名參加
page 7	中級杯乒乓賽南華出陣對抗美星甲
page 7	學界排球賽英皇出戰保羅昨日球賽改期
